EMG EMT1 <- VC MEDIC voice 1/2 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
002	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
003	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
004	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
005	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
006	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
007	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
008	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
009	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
010	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
011	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
012	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
013	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
014	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
015	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
016	DODGE	SOUND_PED_EVADE	silence
017	DODGE	SOUND_PED_EVADE	silence
018	DODGE	SOUND_PED_EVADE	silence
019	DODGE	SOUND_PED_EVADE	silence
020	DODGE	SOUND_PED_EVADE	silence
021	DODGE	SOUND_PED_EVADE	silence
022	FIGHT	SOUND_PED_ATTACK	3162
023	FIGHT	SOUND_PED_ATTACK	3163
024	FIGHT	SOUND_PED_ATTACK	3164
025	FIGHT	SOUND_PED_ATTACK	3165
026	FIGHT	SOUND_PED_ATTACK	3166
027	FIGHT	SOUND_PED_ATTACK	3167
028	FIGHT	SOUND_PED_ATTACK	3162
029	FIGHT	SOUND_PED_ATTACK	3163
030	FIGHT	SOUND_PED_ATTACK	3164
031	FIGHT	SOUND_PED_ATTACK	3165
032	FIGHT	SOUND_PED_ATTACK	3166
033	FIGHT	SOUND_PED_ATTACK	3167
034	FIGHT	SOUND_PED_ATTACK	3162
035	FIGHT	SOUND_PED_ATTACK	3163
036	GUN_RUN	SOUND_PED_GUNAIMEDAT3	silence
037	GUN_RUN	SOUND_PED_GUNAIMEDAT3	silence
038	GUN_RUN	SOUND_PED_GUNAIMEDAT3	silence
039	GUN_RUN	SOUND_PED_GUNAIMEDAT3	silence
040	GUN_RUN	SOUND_PED_GUNAIMEDAT3	silence
041	VAN	SOUND_PED_LEAVE_VEHICLE	3168
042	VAN	SOUND_PED_LEAVE_VEHICLE	3169
043	VAN	SOUND_PED_LEAVE_VEHICLE	3170
044	VAN	SOUND_PED_LEAVE_VEHICLE	3171
045	VAN	SOUND_PED_LEAVE_VEHICLE	3172
046	VAN	SOUND_PED_LEAVE_VEHICLE	3173
047	VAN	SOUND_PED_LEAVE_VEHICLE	3174
048	VAN	SOUND_PED_LEAVE_VEHICLE	3175
049	VAN	SOUND_PED_LEAVE_VEHICLE	3176
050	VAN	SOUND_PED_LEAVE_VEHICLE	3177
051	VICTIM	SOUND_PED_HEALING	3178
052	VICTIM	SOUND_PED_HEALING	3179
053	VICTIM	SOUND_PED_HEALING	3180
054	VICTIM	SOUND_PED_HEALING	3181
055	VICTIM	SOUND_PED_HEALING	3182
056	VICTIM	SOUND_PED_HEALING	3183
057	VICTIM	SOUND_PED_HEALING	3184
058	VICTIM	SOUND_PED_HEALING	3185
059	VICTIM	SOUND_PED_HEALING	3186
060	VICTIM	SOUND_PED_HEALING	3187
061	VICTIM	SOUND_PED_HEALING	3188
062	VICTIM	SOUND_PED_HEALING	3189
