EMG FBI5 <- VC FBI voice 1/3 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
002	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
003	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
004	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
005	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
006	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
007	CRASH_CAR	SOUND_PED_CRASH_CAR	3232
008	CRASH_CAR	SOUND_PED_CRASH_CAR	3233
009	CRASH_CAR	SOUND_PED_CRASH_CAR	3234
010	CRASH_CAR	SOUND_PED_CRASH_CAR	3235
011	CRASH_CAR	SOUND_PED_CRASH_CAR	3232
012	CRASH_CAR	SOUND_PED_CRASH_CAR	3233
013	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	3232
014	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	3233
015	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	3234
016	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	3235
017	DODGE	SOUND_PED_EVADE	silence
018	DODGE	SOUND_PED_EVADE	silence
019	DODGE	SOUND_PED_EVADE	silence
020	DODGE	SOUND_PED_EVADE	silence
021	DODGE	SOUND_PED_EVADE	silence
022	DODGE	SOUND_PED_EVADE	silence
023	DODGE	SOUND_PED_EVADE	silence
024	DODGE	SOUND_PED_EVADE	silence
025	DODGE	SOUND_PED_EVADE	silence
026	DUCK	SOUND_PED_EVADE	silence
027	DUCK	SOUND_PED_EVADE	silence
028	DUCK	SOUND_PED_EVADE	silence
029	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	3237
030	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	3238
031	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	3239
032	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	3237
033	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	3238
034	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	3239
035	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	3237
036	TARGET	SOUND_PED_COP_UNK_129	3240
037	TARGET	SOUND_PED_COP_UNK_129	3241
038	TARGET	SOUND_PED_COP_UNK_129	3242
039	TARGET	SOUND_PED_COP_UNK_129	3243
040	TARGET	SOUND_PED_COP_UNK_129	3240
041	TARGET	SOUND_PED_COP_UNK_129	3241
042	TARGET	SOUND_PED_COP_UNK_129	3242
