EMG LAPD5 <- VC COP voice 5/5 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	ARREST	SOUND_PED_ARREST_COP	8649
002	ARREST	SOUND_PED_ARREST_COP	8650
003	ARREST	SOUND_PED_ARREST_COP	8651
004	ARREST	SOUND_PED_ARREST_COP	8652
005	ARREST	SOUND_PED_ARREST_COP	8649
006	ARREST_CRIM	SOUND_PED_ARREST_COP	8649
007	ARREST_CRIM	SOUND_PED_ARREST_COP	8650
008	ARREST_CRIM	SOUND_PED_ARREST_COP	8651
009	BLOCKED	SOUND_PED_PED_COLLISION	8656
010	BLOCKED	SOUND_PED_PED_COLLISION	8657
011	BLOCKED	SOUND_PED_PED_COLLISION	8658
012	BUMP	SOUND_PED_PED_COLLISION	8656
013	BUMP	SOUND_PED_PED_COLLISION	8657
014	BUMP	SOUND_PED_PED_COLLISION	8658
015	BUMP	SOUND_PED_PED_COLLISION	8659
016	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8661
017	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8662
018	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8663
019	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8664
020	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8661
021	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8662
022	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8663
023	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8664
024	CHAT	-	silence
025	CHAT	-	silence
026	CHAT	-	silence
027	CHAT	-	silence
028	CHAT	-	silence
029	CHAT	-	silence
030	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
031	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
032	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
033	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
034	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
035	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
036	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
037	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
038	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
039	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
040	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
041	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
042	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
043	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
044	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
045	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
046	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
047	DODGE	SOUND_PED_EVADE	8671
048	DODGE	SOUND_PED_EVADE	8672
049	DODGE	SOUND_PED_EVADE	8673
050	DODGE	SOUND_PED_EVADE	8671
051	DODGE	SOUND_PED_EVADE	8672
052	DUCK	SOUND_PED_EVADE	8671
053	DUCK	SOUND_PED_EVADE	8672
054	DUCK	SOUND_PED_EVADE	8673
055	DUCK	SOUND_PED_EVADE	8671
056	DUCK	SOUND_PED_EVADE	8672
057	FIGHT	SOUND_PED_ATTACK	8674
058	FIGHT	SOUND_PED_ATTACK	8675
059	FIGHT	SOUND_PED_ATTACK	8676
060	FIGHT	SOUND_PED_ATTACK	8677
061	FIGHT	SOUND_PED_ATTACK	8674
062	FIGHT	SOUND_PED_ATTACK	8675
063	FIGHT	SOUND_PED_ATTACK	8676
064	FIGHT	SOUND_PED_ATTACK	8677
065	GOOD_CITIZEN	-	silence
066	GOOD_CITIZEN	-	silence
067	GOOD_CITIZEN	-	silence
068	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
069	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8679
070	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
071	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8679
072	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
073	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8679
074	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
075	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
076	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8689
077	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
078	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8689
079	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
080	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8689
081	SOLO	SOUND_PED_COP_ALONE	8684
082	SOLO	SOUND_PED_COP_ALONE	8685
083	SOLO	SOUND_PED_COP_ALONE	8686
084	SOLO	SOUND_PED_COP_ALONE	8687
085	SOLO	SOUND_PED_COP_ALONE	8684
086	SOLO	SOUND_PED_COP_ALONE	8685
087	SOLO	SOUND_PED_COP_ALONE	8686
088	SOLO	SOUND_PED_COP_ALONE	8687
089	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8688
090	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8689
091	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8688
092	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8689
093	TARGET	SOUND_PED_COP_UNK_129	8690
094	TARGET	SOUND_PED_COP_UNK_129	8691
095	TARGET	SOUND_PED_COP_UNK_129	8692
