EMG LVPD2 <- VC COP voice 5/5 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	ARREST	SOUND_PED_ARREST_COP	8649
002	ARREST	SOUND_PED_ARREST_COP	8650
003	ARREST	SOUND_PED_ARREST_COP	8651
004	ARREST	SOUND_PED_ARREST_COP	8652
005	ARREST	SOUND_PED_ARREST_COP	8649
006	ARREST	SOUND_PED_ARREST_COP	8650
007	ARREST	SOUND_PED_ARREST_COP	8651
008	ARREST	SOUND_PED_ARREST_COP	8652
009	ARREST	SOUND_PED_ARREST_COP	8649
010	ARREST	SOUND_PED_ARREST_COP	8650
011	ARREST_CRIM	SOUND_PED_ARREST_COP	8649
012	ARREST_CRIM	SOUND_PED_ARREST_COP	8650
013	ARREST_CRIM	SOUND_PED_ARREST_COP	8651
014	ARREST_CRIM	SOUND_PED_ARREST_COP	8652
015	ARREST_CRIM	SOUND_PED_ARREST_COP	8649
016	BLOCKED	SOUND_PED_PED_COLLISION	8656
017	BLOCKED	SOUND_PED_PED_COLLISION	8657
018	BLOCKED	SOUND_PED_PED_COLLISION	8658
019	BLOCKED	SOUND_PED_PED_COLLISION	8659
020	BLOCKED	SOUND_PED_PED_COLLISION	8660
021	BLOCKED	SOUND_PED_PED_COLLISION	8656
022	BUMP	SOUND_PED_PED_COLLISION	8656
023	BUMP	SOUND_PED_PED_COLLISION	8657
024	BUMP	SOUND_PED_PED_COLLISION	8658
025	BUMP	SOUND_PED_PED_COLLISION	8659
026	BUMP	SOUND_PED_PED_COLLISION	8660
027	BUMP	SOUND_PED_PED_COLLISION	8656
028	BUMP	SOUND_PED_PED_COLLISION	8657
029	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8661
030	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8662
031	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8663
032	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8664
033	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8661
034	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8662
035	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8663
036	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8664
037	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8661
038	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8662
039	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8663
040	CHAT	-	silence
041	CHAT	-	silence
042	CHAT	-	silence
043	CHAT	-	silence
044	CHAT	-	silence
045	CHAT	-	silence
046	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
047	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
048	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
049	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
050	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
051	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
052	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
053	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
054	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
055	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
056	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
057	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
058	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
059	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
060	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
061	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
062	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
063	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
064	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
065	DODGE	SOUND_PED_EVADE	8671
066	DODGE	SOUND_PED_EVADE	8672
067	DODGE	SOUND_PED_EVADE	8673
068	DODGE	SOUND_PED_EVADE	8671
069	DODGE	SOUND_PED_EVADE	8672
070	DUCK	SOUND_PED_EVADE	8671
071	DUCK	SOUND_PED_EVADE	8672
072	DUCK	SOUND_PED_EVADE	8673
073	DUCK	SOUND_PED_EVADE	8671
074	DUCK	SOUND_PED_EVADE	8672
075	DUCK	SOUND_PED_EVADE	8673
076	DUCK	SOUND_PED_EVADE	8671
077	DUCK	SOUND_PED_EVADE	8672
078	FIGHT	SOUND_PED_ATTACK	8674
079	FIGHT	SOUND_PED_ATTACK	8675
080	FIGHT	SOUND_PED_ATTACK	8676
081	FIGHT	SOUND_PED_ATTACK	8677
082	FIGHT	SOUND_PED_ATTACK	8674
083	FIGHT	SOUND_PED_ATTACK	8675
084	FIGHT	SOUND_PED_ATTACK	8676
085	FIGHT	SOUND_PED_ATTACK	8677
086	FIGHT	SOUND_PED_ATTACK	8674
087	FIGHT	SOUND_PED_ATTACK	8675
088	FIGHT	SOUND_PED_ATTACK	8676
089	GOOD_CITIZEN	-	silence
090	GOOD_CITIZEN	-	silence
091	GOOD_CITIZEN	-	silence
092	GOOD_CITIZEN	-	silence
093	GOOD_CITIZEN	-	silence
094	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
095	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8679
096	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
097	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8679
098	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
099	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8679
100	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
101	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
102	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8689
103	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
104	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8689
105	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
106	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8689
107	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
108	SEARCH	SOUND_PED_COP_REACTION	8682
109	SEARCH	SOUND_PED_COP_REACTION	8683
110	SOLO	SOUND_PED_COP_ALONE	8684
111	SOLO	SOUND_PED_COP_ALONE	8685
112	SOLO	SOUND_PED_COP_ALONE	8686
113	SOLO	SOUND_PED_COP_ALONE	8687
114	SOLO	SOUND_PED_COP_ALONE	8684
115	SOLO	SOUND_PED_COP_ALONE	8685
116	SOLO	SOUND_PED_COP_ALONE	8686
117	SOLO	SOUND_PED_COP_ALONE	8687
118	SOLO	SOUND_PED_COP_ALONE	8684
119	SOLO	SOUND_PED_COP_ALONE	8685
120	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8688
121	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8689
122	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8688
123	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8689
124	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8688
125	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8689
126	TARGET	SOUND_PED_COP_UNK_129	8690
127	TARGET	SOUND_PED_COP_UNK_129	8691
128	TARGET	SOUND_PED_COP_UNK_129	8692
129	TARGET	SOUND_PED_COP_UNK_129	8693
130	TARGET	SOUND_PED_COP_UNK_129	8690
131	TARGET	SOUND_PED_COP_UNK_129	8691
132	TARGET	SOUND_PED_COP_UNK_129	8692
133	TARGET	SOUND_PED_COP_UNK_129	8693
134	TARGET	SOUND_PED_COP_UNK_129	8690
