EMG SFPD2 <- VC COP voice 5/5 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	ARREST	SOUND_PED_ARREST_COP	8649
002	ARREST	SOUND_PED_ARREST_COP	8650
003	ARREST	SOUND_PED_ARREST_COP	8651
004	ARREST	SOUND_PED_ARREST_COP	8652
005	ARREST	SOUND_PED_ARREST_COP	8649
006	ARREST	SOUND_PED_ARREST_COP	8650
007	ARREST	SOUND_PED_ARREST_COP	8651
008	ARREST	SOUND_PED_ARREST_COP	8652
009	ARREST	SOUND_PED_ARREST_COP	8649
010	ARREST	SOUND_PED_ARREST_COP	8650
011	ARREST_CRIM	SOUND_PED_ARREST_COP	8649
012	ARREST_CRIM	SOUND_PED_ARREST_COP	8650
013	ARREST_CRIM	SOUND_PED_ARREST_COP	8651
014	ARREST_CRIM	SOUND_PED_ARREST_COP	8652
015	BLOCKED	SOUND_PED_PED_COLLISION	8656
016	BLOCKED	SOUND_PED_PED_COLLISION	8657
017	BLOCKED	SOUND_PED_PED_COLLISION	8658
018	BLOCKED	SOUND_PED_PED_COLLISION	8659
019	BLOCKED	SOUND_PED_PED_COLLISION	8660
020	BLOCKED	SOUND_PED_PED_COLLISION	8656
021	BUMP	SOUND_PED_PED_COLLISION	8656
022	BUMP	SOUND_PED_PED_COLLISION	8657
023	BUMP	SOUND_PED_PED_COLLISION	8658
024	BUMP	SOUND_PED_PED_COLLISION	8659
025	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8661
026	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8662
027	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8663
028	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8664
029	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8661
030	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8662
031	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8663
032	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8664
033	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8661
034	CHASE_FOOT	SOUND_PED_COP_LITTLECOPSAROUND	8662
035	CHAT	-	silence
036	CHAT	-	silence
037	CHAT	-	silence
038	CHAT	-	silence
039	CHAT	-	silence
040	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
041	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
042	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
043	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
044	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
045	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
046	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
047	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	silence
048	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
049	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
050	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
051	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
052	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
053	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
054	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
055	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
056	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
057	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	silence
058	DODGE	SOUND_PED_EVADE	8671
059	DODGE	SOUND_PED_EVADE	8672
060	DODGE	SOUND_PED_EVADE	8673
061	DODGE	SOUND_PED_EVADE	8671
062	DODGE	SOUND_PED_EVADE	8672
063	DODGE	SOUND_PED_EVADE	8673
064	DODGE	SOUND_PED_EVADE	8671
065	DODGE	SOUND_PED_EVADE	8672
066	DUCK	SOUND_PED_EVADE	8671
067	DUCK	SOUND_PED_EVADE	8672
068	DUCK	SOUND_PED_EVADE	8673
069	DUCK	SOUND_PED_EVADE	8671
070	DUCK	SOUND_PED_EVADE	8672
071	DUCK	SOUND_PED_EVADE	8673
072	FIGHT	SOUND_PED_ATTACK	8674
073	FIGHT	SOUND_PED_ATTACK	8675
074	FIGHT	SOUND_PED_ATTACK	8676
075	FIGHT	SOUND_PED_ATTACK	8677
076	FIGHT	SOUND_PED_ATTACK	8674
077	FIGHT	SOUND_PED_ATTACK	8675
078	FIGHT	SOUND_PED_ATTACK	8676
079	FIGHT	SOUND_PED_ATTACK	8677
080	FIGHT	SOUND_PED_ATTACK	8674
081	GOOD_CITIZEN	-	silence
082	GOOD_CITIZEN	-	silence
083	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
084	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8679
085	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
086	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8679
087	GUN_COOL	SOUND_PED_GUNAIMEDAT2	8678
088	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
089	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8689
090	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8688
091	MOVE_IN	SOUND_PED_COP_MANYCOPSAROUND	8689
092	SOLO	SOUND_PED_COP_ALONE	8684
093	SOLO	SOUND_PED_COP_ALONE	8685
094	SOLO	SOUND_PED_COP_ALONE	8686
095	SOLO	SOUND_PED_COP_ALONE	8687
096	SOLO	SOUND_PED_COP_ALONE	8684
097	SOLO	SOUND_PED_COP_ALONE	8685
098	SOLO	SOUND_PED_COP_ALONE	8686
099	SOLO	SOUND_PED_COP_ALONE	8687
100	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8688
101	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8689
102	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8688
103	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8689
104	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	8688
105	TARGET	SOUND_PED_COP_UNK_129	8690
106	TARGET	SOUND_PED_COP_UNK_129	8691
107	TARGET	SOUND_PED_COP_UNK_129	8692
108	TARGET	SOUND_PED_COP_UNK_129	8693
109	TARGET	SOUND_PED_COP_UNK_129	8690
110	TARGET	SOUND_PED_COP_UNK_129	8691
111	TARGET	SOUND_PED_COP_UNK_129	8692
