EMG SWAT6 <- VC SWAT voice 1/3 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	3285
002	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	3286
003	COVER_ME	SOUND_PED_COP_HELIPILOTPHRASE	3287
004	DODGE	SOUND_PED_EVADE	3282
005	DODGE	SOUND_PED_EVADE	3283
006	DODGE	SOUND_PED_EVADE	3284
007	DODGE	SOUND_PED_EVADE	3282
008	DUCK	SOUND_PED_EVADE	3282
009	DUCK	SOUND_PED_EVADE	3283
010	DUCK	SOUND_PED_EVADE	3284
011	ROPE	-	silence
012	ROPE	-	silence
013	ROPE	-	silence
014	ROPE	-	silence
015	ROPE	-	silence
016	ROPE	-	silence
017	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	silence
018	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	silence
019	SURROUNDED	SOUND_PED_COP_MANYCOPSAROUND	silence
020	TARGET	SOUND_PED_COP_UNK_129	3292
021	TARGET	SOUND_PED_COP_UNK_129	3293
022	TARGET	SOUND_PED_COP_UNK_129	3294
