GEN BFORI <- VC BFORI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	silence
002	BAR_CHAT	SOUND_PED_CHAT	silence
003	BAR_CHAT	SOUND_PED_CHAT	silence
004	BAR_CHAT	SOUND_PED_CHAT	silence
005	BAR_CHAT	SOUND_PED_CHAT	silence
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7070
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7071
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7072
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7073
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7074
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7075
012	BUMP	SOUND_PED_PED_COLLISION	7078
013	BUMP	SOUND_PED_PED_COLLISION	7079
014	BUMP	SOUND_PED_PED_COLLISION	7080
015	BUMP	SOUND_PED_PED_COLLISION	7081
016	BUMP	SOUND_PED_PED_COLLISION	7082
017	BUMP	SOUND_PED_PED_COLLISION	7083
018	BUMP	SOUND_PED_PED_COLLISION	7084
019	BUMP	SOUND_PED_PED_COLLISION	7085
020	BUMP	SOUND_PED_PED_COLLISION	7086
021	BUMP	SOUND_PED_PED_COLLISION	7078
022	BUMP	SOUND_PED_PED_COLLISION	7079
023	CHAT	SOUND_PED_CHAT	silence
024	CHAT	SOUND_PED_CHAT	silence
025	CHAT	SOUND_PED_CHAT	silence
026	CHAT	SOUND_PED_CHAT	silence
027	CHAT	SOUND_PED_CHAT	silence
028	CHAT	SOUND_PED_CHAT	silence
029	CHAT	SOUND_PED_CHAT	silence
030	CHAT	SOUND_PED_CHAT	silence
031	CHAT	SOUND_PED_CHAT	silence
032	CONV_DISL_CLOTHES	-	silence
033	CONV_DISL_CLOTHES	-	silence
034	CONV_DISL_CLOTHES	-	silence
035	CONV_DISL_CLOTHES	-	silence
036	CONV_DISL_PHYS	-	silence
037	CONV_DISL_PHYS	-	silence
038	CONV_DISL_PHYS	-	silence
039	CONV_DISL_SHOES	-	silence
040	CONV_DISL_SHOES	-	silence
041	CONV_DISL_SHOES	-	silence
042	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7119
043	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7120
044	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7119
045	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7120
046	CONV_LIKE_CLOTHES	-	silence
047	CONV_LIKE_CLOTHES	-	silence
048	CONV_LIKE_CLOTHES	-	silence
049	CONV_LIKE_PHYS	-	silence
050	CONV_LIKE_PHYS	-	silence
051	CONV_LIKE_PHYS	-	silence
052	CONV_LIKE_PHYS	-	silence
053	CONV_LIKE_SHOES	-	silence
054	CONV_LIKE_SHOES	-	silence
055	CONV_LIKE_SHOES	-	silence
056	CONV_LIKE_SHOES	-	silence
057	CRASH_CAR	SOUND_PED_CRASH_CAR	7087
058	CRASH_CAR	SOUND_PED_CRASH_CAR	7088
059	CRASH_CAR	SOUND_PED_CRASH_CAR	7089
