GEN BFOST <- VC BFOST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	7017
002	BAR_CHAT	SOUND_PED_CHAT	7018
003	BAR_CHAT	SOUND_PED_CHAT	7019
004	BAR_CHAT	SOUND_PED_CHAT	7020
005	BAR_CHAT	SOUND_PED_CHAT	7021
006	BAR_CHAT	SOUND_PED_CHAT	7022
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6992
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6993
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6994
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6995
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6996
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6997
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6998
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6992
015	BUMP	SOUND_PED_PED_COLLISION	6999
016	BUMP	SOUND_PED_PED_COLLISION	7000
017	BUMP	SOUND_PED_PED_COLLISION	7001
018	BUMP	SOUND_PED_PED_COLLISION	7002
019	BUMP	SOUND_PED_PED_COLLISION	7003
020	BUMP	SOUND_PED_PED_COLLISION	7004
021	BUMP	SOUND_PED_PED_COLLISION	7005
022	BUMP	SOUND_PED_PED_COLLISION	7006
023	BUMP	SOUND_PED_PED_COLLISION	7007
024	CHAT	SOUND_PED_CHAT	7017
025	CHAT	SOUND_PED_CHAT	7018
026	CHAT	SOUND_PED_CHAT	7019
027	CHAT	SOUND_PED_CHAT	7020
028	CHAT	SOUND_PED_CHAT	7021
029	CHAT	SOUND_PED_CHAT	7022
030	CHAT	SOUND_PED_CHAT	7023
031	CHAT	SOUND_PED_CHAT	7024
032	CHAT	SOUND_PED_CHAT	7025
033	CONV_DISL_SMELL	-	silence
034	CONV_DISL_SMELL	-	silence
035	CONV_DISL_SMELL	-	silence
036	CONV_DISL_SMELL	-	silence
037	CONV_DISL_TATTOO	-	silence
038	CONV_DISL_TATTOO	-	silence
039	CONV_DISL_WEATHER	-	silence
040	CONV_DISL_WEATHER	-	silence
041	CONV_DISL_WEATHER	-	silence
042	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7059
043	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7060
044	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7059
045	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7060
046	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7059
047	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7060
048	CONV_LIKE_SMELL	-	silence
049	CONV_LIKE_SMELL	-	silence
050	CONV_LIKE_SMELL	-	silence
051	CONV_LIKE_SMELL	-	silence
052	CONV_LIKE_TATTOO	-	silence
053	CONV_LIKE_TATTOO	-	silence
054	CONV_LIKE_WEATHER	-	silence
055	CONV_LIKE_WEATHER	-	silence
056	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	7038
057	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	7039
058	CRASH_CAR	SOUND_PED_CRASH_CAR	7009
059	CRASH_CAR	SOUND_PED_CRASH_CAR	7010
060	CRASH_CAR	SOUND_PED_CRASH_CAR	7011
061	CRASH_CAR	SOUND_PED_CRASH_CAR	7012
062	CRASH_CAR	SOUND_PED_CRASH_CAR	7013
063	CRASH_CAR	SOUND_PED_CRASH_CAR	7014
064	CRASH_CAR	SOUND_PED_CRASH_CAR	7015
065	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	7038
066	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	7039
067	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	7040
068	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	7041
069	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	7042
070	DODGE	SOUND_PED_EVADE	7027
071	DODGE	SOUND_PED_EVADE	7028
072	DODGE	SOUND_PED_EVADE	7029
073	DODGE	SOUND_PED_EVADE	7030
074	DODGE	SOUND_PED_EVADE	7031
075	DODGE	SOUND_PED_EVADE	7032
076	DODGE	SOUND_PED_EVADE	7033
077	DODGE	SOUND_PED_EVADE	7034
078	DODGE	SOUND_PED_EVADE	7035
079	DODGE	SOUND_PED_EVADE	7036
080	DRUGS_BUY	-	silence
081	DRUGS_BUY	-	silence
082	DRUGS_BUY	-	silence
083	DRUGS_BUY	-	silence
084	DRUGS_BUY	-	silence
085	DRUGS_BUY	-	silence
086	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
087	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
088	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
089	FIGHT	SOUND_PED_ATTACK	silence
090	FIGHT	SOUND_PED_ATTACK	silence
091	FIGHT	SOUND_PED_ATTACK	silence
092	FIGHT	SOUND_PED_ATTACK	silence
093	FIGHT	SOUND_PED_ATTACK	silence
094	FIGHT	SOUND_PED_ATTACK	silence
095	FIGHT	SOUND_PED_ATTACK	silence
096	FIGHT	SOUND_PED_ATTACK	silence
097	FIGHT	SOUND_PED_ATTACK	silence
098	FIGHT	SOUND_PED_ATTACK	silence
099	FIGHT	SOUND_PED_ATTACK	silence
100	FIGHT	SOUND_PED_ATTACK	silence
101	GUN_COOL	SOUND_PED_HANDS_UP	silence
102	GUN_COOL	SOUND_PED_HANDS_UP	silence
103	GUN_COOL	SOUND_PED_HANDS_UP	silence
104	GUN_COOL	SOUND_PED_HANDS_UP	silence
105	GUN_COOL	SOUND_PED_HANDS_UP	silence
106	GUN_RUN	SOUND_PED_FLEE_RUN	7063
107	GUN_RUN	SOUND_PED_FLEE_RUN	7064
108	GUN_RUN	SOUND_PED_FLEE_RUN	7065
109	GUN_RUN	SOUND_PED_FLEE_RUN	7066
110	GUN_RUN	SOUND_PED_FLEE_RUN	7063
111	GUN_RUN	SOUND_PED_FLEE_RUN	7064
112	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7051
113	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7052
114	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7053
115	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7054
116	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7055
117	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7056
118	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7057
119	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7058
120	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7051
121	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7052
122	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7053
123	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	7054
124	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	7051
125	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	7052
126	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	7053
127	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	7054
128	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	7055
129	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	7056
130	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	7057
131	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	7058
132	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
133	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
134	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
135	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
136	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
137	LIKE_DISMISS_REPLY	-	silence
138	LIKE_DISMISS_REPLY	-	silence
139	LIKE_DISMISS_REPLY	-	silence
140	LIKE_DISMISS_REPLY	-	silence
141	LIKE_DISMISS_REPLY	-	silence
142	LIKE_DISMISS_REPLY	-	silence
143	LIKE_DISMISS_REPLY	-	silence
144	MUGGED	SOUND_PED_ROBBED	7061
145	MUGGED	SOUND_PED_ROBBED	7062
146	MUGGED	SOUND_PED_ROBBED	7061
147	MUGGED	SOUND_PED_ROBBED	7062
148	PCONV_AGREE_BAD	-	silence
149	PCONV_AGREE_BAD	-	silence
150	PCONV_AGREE_BAD	-	silence
151	PCONV_AGREE_BAD	-	silence
152	PCONV_AGREE_GOOD	-	silence
153	PCONV_AGREE_GOOD	-	silence
154	PCONV_AGREE_GOOD	-	silence
155	PCONV_AGREE_GOOD	-	silence
156	PCONV_ANS_NO	-	silence
157	PCONV_ANS_NO	-	silence
158	PCONV_ANS_NO	-	silence
159	PCONV_ANS_NO	-	silence
160	PCONV_DISMISS	-	silence
161	PCONV_DISMISS	-	silence
162	PCONV_DISMISS	-	silence
163	PCONV_GREET_FEM	-	silence
164	PCONV_GREET_FEM	-	silence
165	PCONV_GREET_FEM	-	silence
166	PCONV_GREET_MALE	-	silence
167	PCONV_GREET_MALE	-	silence
168	PCONV_GREET_MALE	-	silence
169	PCONV_PART_FEM	-	silence
170	PCONV_PART_FEM	-	silence
171	PCONV_PART_FEM	-	silence
172	PCONV_PART_MALE	-	silence
173	PCONV_PART_MALE	-	silence
174	PCONV_PART_MALE	-	silence
175	PCONV_QUESTION	-	silence
176	PCONV_QUESTION	-	silence
177	PCONV_QUESTION	-	silence
178	PCONV_QUESTION	-	silence
179	PCONV_QUESTION	-	silence
180	PCONV_STATE_BAD	-	silence
181	PCONV_STATE_BAD	-	silence
182	PCONV_STATE_BAD	-	silence
183	PCONV_STATE_GOOD	-	silence
184	PCONV_STATE_GOOD	-	silence
185	PCONV_STATE_GOOD	-	silence
186	SAVED	-	silence
187	SAVED	-	silence
188	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7067
189	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7068
190	SHOP_BROWSE	-	silence
191	SHOP_BROWSE	-	silence
192	SHOP_BROWSE	-	silence
193	SHOP_BROWSE	-	silence
194	SHOP_BROWSE	-	silence
195	SHOP_BROWSE	-	silence
196	SHOP_BROWSE	-	silence
197	SHOP_BUY	-	silence
198	SHOP_BUY	-	silence
199	SHOP_BUY	-	silence
200	SHOP_BUY	-	silence
201	SHOP_BUY	-	silence
202	SPRAYED	-	silence
203	SPRAYED	-	silence
204	SPRAYED	-	silence
205	SPRAYED	-	silence
206	SPRAYED	-	silence
207	TAXI_HAIL	SOUND_PED_TAXI_WAIT	7069
208	TAXI_HAIL	SOUND_PED_TAXI_WAIT	7069
209	TRAPPED	SOUND_PED_HANDS_COWER	7046
210	TRAPPED	SOUND_PED_HANDS_COWER	7047
211	TRAPPED	SOUND_PED_HANDS_COWER	7048
212	TRAPPED	SOUND_PED_HANDS_COWER	7049
213	TRAPPED	SOUND_PED_HANDS_COWER	7050
214	TRAPPED	SOUND_PED_HANDS_COWER	7046
215	TRAPPED	SOUND_PED_HANDS_COWER	7047
216	VALET_BAD	-	silence
217	VALET_BAD	-	silence
218	VALET_BAD	-	silence
219	VALET_GOOD	-	silence
220	VALET_GOOD	-	silence
221	VALET_GOOD	-	silence
222	VALET_PARK_CAR	-	silence
223	VALET_PARK_CAR	-	silence
224	VALET_PARK_CAR	-	silence
225	VALET_PARK_CAR	-	silence
