GEN BFYBE <- VC BFYBE voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	silence
002	BUMP	SOUND_PED_PED_COLLISION	silence
003	BUMP	SOUND_PED_PED_COLLISION	silence
004	BUMP	SOUND_PED_PED_COLLISION	silence
005	BUMP	SOUND_PED_PED_COLLISION	silence
006	CHAT	SOUND_PED_CHAT	6217
007	CHAT	SOUND_PED_CHAT	6218
008	CHAT	SOUND_PED_CHAT	6219
009	CHAT	SOUND_PED_CHAT	6220
010	CHAT	SOUND_PED_CHAT	6221
011	CHAT	SOUND_PED_CHAT	6222
012	CHAT	SOUND_PED_CHAT	6223
013	CONV_DISL_HAIR	-	silence
014	CONV_DISL_HAIR	-	silence
015	CONV_DISL_HAIR	-	silence
016	CONV_DISL_PHYS	-	silence
017	CONV_DISL_PHYS	-	silence
018	CONV_DISL_PHYS	-	silence
019	CONV_DISL_PHYS	-	silence
020	CONV_DISL_SMELL	-	silence
021	CONV_DISL_SMELL	-	silence
022	CONV_DISL_SMELL	-	silence
023	CONV_DISL_WEATHER	-	silence
024	CONV_DISL_WEATHER	-	silence
025	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6269
026	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6270
027	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6271
028	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6272
029	CONV_LIKE_HAIR	-	silence
030	CONV_LIKE_HAIR	-	silence
031	CONV_LIKE_HAIR	-	silence
032	CONV_LIKE_HAIR	-	silence
033	CONV_LIKE_PHYS	-	silence
034	CONV_LIKE_PHYS	-	silence
035	CONV_LIKE_PHYS	-	silence
036	CONV_LIKE_SMELL	-	silence
037	CONV_LIKE_SMELL	-	silence
038	CONV_LIKE_WEATHER	-	silence
039	CONV_LIKE_WEATHER	-	silence
040	DODGE	SOUND_PED_EVADE	6233
041	DODGE	SOUND_PED_EVADE	6234
042	DODGE	SOUND_PED_EVADE	6235
043	DODGE	SOUND_PED_EVADE	6236
044	DODGE	SOUND_PED_EVADE	6237
045	DODGE	SOUND_PED_EVADE	6238
046	EYEING_PED	SOUND_PED_CHAT_SEXY	6243
047	EYEING_PED	SOUND_PED_CHAT_SEXY	6244
048	EYEING_PED	SOUND_PED_CHAT_SEXY	6245
049	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	6243
050	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	6244
051	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	6245
052	FIGHT	SOUND_PED_ATTACK	silence
053	FIGHT	SOUND_PED_ATTACK	silence
054	FIGHT	SOUND_PED_ATTACK	silence
055	FIGHT	SOUND_PED_ATTACK	silence
056	FIGHT	SOUND_PED_ATTACK	silence
057	FIGHT	SOUND_PED_ATTACK	silence
058	FIGHT	SOUND_PED_ATTACK	silence
059	GUN_RUN	SOUND_PED_FLEE_RUN	6278
060	GUN_RUN	SOUND_PED_FLEE_RUN	6279
061	GUN_RUN	SOUND_PED_FLEE_RUN	6280
062	LIKE_DISMISS_REPLY	-	silence
063	LIKE_DISMISS_REPLY	-	silence
064	LIKE_DISMISS_REPLY	-	silence
065	LIKE_DISMISS_REPLY	-	silence
066	PCONV_AGREE_BAD	-	silence
067	PCONV_AGREE_BAD	-	silence
068	PCONV_AGREE_BAD	-	silence
069	PCONV_AGREE_BAD	-	silence
070	PCONV_AGREE_GOOD	-	silence
071	PCONV_AGREE_GOOD	-	silence
072	PCONV_AGREE_GOOD	-	silence
073	PCONV_AGREE_GOOD	-	silence
074	PCONV_ANS_NO	-	silence
075	PCONV_ANS_NO	-	silence
076	PCONV_DISMISS	-	silence
077	PCONV_DISMISS	-	silence
078	PCONV_DISMISS	-	silence
079	PCONV_GREET_FEM	-	silence
080	PCONV_GREET_FEM	-	silence
081	PCONV_GREET_FEM	-	silence
082	PCONV_GREET_MALE	-	silence
083	PCONV_GREET_MALE	-	silence
084	PCONV_GREET_MALE	-	silence
085	PCONV_PART_FEM	-	silence
086	PCONV_PART_FEM	-	silence
087	PCONV_PART_FEM	-	silence
088	PCONV_PART_MALE	-	silence
089	PCONV_PART_MALE	-	silence
090	PCONV_PART_MALE	-	silence
091	PCONV_QUESTION	-	silence
092	PCONV_QUESTION	-	silence
093	PCONV_QUESTION	-	silence
094	PCONV_QUESTION	-	silence
095	PCONV_STATE_BAD	-	silence
096	PCONV_STATE_BAD	-	silence
097	PCONV_STATE_BAD	-	silence
098	PCONV_STATE_BAD	-	silence
099	PCONV_STATE_GOOD	-	silence
100	PCONV_STATE_GOOD	-	silence
101	PCONV_STATE_GOOD	-	silence
102	PCONV_STATE_GOOD	-	silence
103	SAVED	-	silence
104	SAVED	-	silence
105	SHOCKED	SOUND_PED_ACCIDENTREACTION1	6284
106	SHOCKED	SOUND_PED_ACCIDENTREACTION1	6285
107	SHOCKED	SOUND_PED_ACCIDENTREACTION1	6284
108	SHOCKED	SOUND_PED_ACCIDENTREACTION1	6285
109	SPRAYED	-	silence
110	SPRAYED	-	silence
111	SPRAYED	-	silence
