GEN BFYPRO <- VC BFYPR voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	5335
002	BAR_CHAT	SOUND_PED_CHAT	5336
003	BAR_CHAT	SOUND_PED_CHAT	5337
004	BAR_CHAT	SOUND_PED_CHAT	5338
005	BUMP	SOUND_PED_PED_COLLISION	5324
006	BUMP	SOUND_PED_PED_COLLISION	5325
007	BUMP	SOUND_PED_PED_COLLISION	5326
008	BUMP	SOUND_PED_PED_COLLISION	5327
009	BUMP	SOUND_PED_PED_COLLISION	5328
010	BUMP	SOUND_PED_PED_COLLISION	5329
011	BUMP	SOUND_PED_PED_COLLISION	5330
012	BUMP	SOUND_PED_PED_COLLISION	5331
013	BUMP	SOUND_PED_PED_COLLISION	5332
014	BUMP	SOUND_PED_PED_COLLISION	5333
015	BUMP	SOUND_PED_PED_COLLISION	5334
016	BUMP	SOUND_PED_PED_COLLISION	5324
017	CHAT	SOUND_PED_CHAT	5335
018	CHAT	SOUND_PED_CHAT	5336
019	CHAT	SOUND_PED_CHAT	5337
020	CHAT	SOUND_PED_CHAT	5338
021	CHAT	SOUND_PED_CHAT	5339
022	CHAT	SOUND_PED_CHAT	5340
023	CHAT	SOUND_PED_CHAT	5341
024	CHAT	SOUND_PED_CHAT	5342
025	CHAT	SOUND_PED_CHAT	5343
026	CHAT	SOUND_PED_CHAT	5344
027	CHAT	SOUND_PED_CHAT	5345
028	CHAT	SOUND_PED_CHAT	5346
029	CONV_DISL_CAR	-	silence
030	CONV_DISL_CAR	-	silence
031	CONV_DISL_CAR	-	silence
032	CONV_DISL_PHYS	-	silence
033	CONV_DISL_PHYS	-	silence
034	CONV_DISL_PHYS	-	silence
035	CONV_DISL_PHYS	-	silence
036	CONV_DISL_TATTOO	-	silence
037	CONV_DISL_TATTOO	-	silence
038	CONV_DISL_TATTOO	-	silence
039	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
040	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
041	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
042	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
043	CONV_LIKE_CAR	-	silence
044	CONV_LIKE_CAR	-	silence
045	CONV_LIKE_CAR	-	silence
046	CONV_LIKE_CAR	-	silence
047	CONV_LIKE_PHYS	-	silence
048	CONV_LIKE_PHYS	-	silence
049	CONV_LIKE_PHYS	-	silence
050	CONV_LIKE_TATTOO	-	silence
051	CONV_LIKE_TATTOO	-	silence
052	CONV_LIKE_TATTOO	-	silence
053	CONV_LIKE_TATTOO	-	silence
054	CRIMINAL_PLEAD	-	silence
055	CRIMINAL_PLEAD	-	silence
056	CRIMINAL_PLEAD	-	silence
057	CRIMINAL_PLEAD	-	silence
058	CRIMINAL_PLEAD	-	silence
059	DODGE	SOUND_PED_EVADE	5348
060	DODGE	SOUND_PED_EVADE	5349
061	DODGE	SOUND_PED_EVADE	5350
062	DODGE	SOUND_PED_EVADE	5351
063	DODGE	SOUND_PED_EVADE	5352
064	DODGE	SOUND_PED_EVADE	5353
065	DODGE	SOUND_PED_EVADE	5354
066	DODGE	SOUND_PED_EVADE	5348
067	DRUGS_BUY	-	silence
068	DRUGS_BUY	-	silence
069	DRUGS_BUY	-	silence
070	DRUGS_BUY	-	silence
