GEN BFYRI <- VC BFYRI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6117
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6118
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6119
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6120
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6121
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6122
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6123
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6124
009	BUMP	SOUND_PED_PED_COLLISION	6126
010	BUMP	SOUND_PED_PED_COLLISION	6127
011	BUMP	SOUND_PED_PED_COLLISION	6128
012	BUMP	SOUND_PED_PED_COLLISION	6129
013	BUMP	SOUND_PED_PED_COLLISION	6130
014	BUMP	SOUND_PED_PED_COLLISION	6131
015	BUMP	SOUND_PED_PED_COLLISION	6132
016	BUMP	SOUND_PED_PED_COLLISION	6133
017	BUMP	SOUND_PED_PED_COLLISION	6134
018	BUMP	SOUND_PED_PED_COLLISION	6126
019	CHAT	SOUND_PED_CHAT	silence
020	CHAT	SOUND_PED_CHAT	silence
021	CHAT	SOUND_PED_CHAT	silence
022	CHAT	SOUND_PED_CHAT	silence
023	CHAT	SOUND_PED_CHAT	silence
024	CHAT	SOUND_PED_CHAT	silence
025	CHAT	SOUND_PED_CHAT	silence
026	CHAT	SOUND_PED_CHAT	silence
027	CHAT	SOUND_PED_CHAT	silence
028	CHAT	SOUND_PED_CHAT	silence
029	CHAT	SOUND_PED_CHAT	silence
030	CHAT	SOUND_PED_CHAT	silence
031	CONV_DISL_CAR	-	silence
032	CONV_DISL_CAR	-	silence
033	CONV_DISL_CAR	-	silence
034	CONV_DISL_HAIR	-	silence
035	CONV_DISL_HAIR	-	silence
036	CONV_DISL_HAIR	-	silence
037	CONV_DISL_SHOES	-	silence
038	CONV_DISL_SHOES	-	silence
039	CONV_DISL_SHOES	-	silence
040	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6177
