GEN BFYST <- VC BFYST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	7158
002	BAR_CHAT	SOUND_PED_CHAT	7159
003	BAR_CHAT	SOUND_PED_CHAT	7160
004	BAR_CHAT	SOUND_PED_CHAT	7161
005	BAR_CHAT	SOUND_PED_CHAT	7162
006	BAR_CHAT	SOUND_PED_CHAT	7163
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7132
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7133
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7134
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7135
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7136
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7137
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7138
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7139
015	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7132
016	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7133
017	BUMP	SOUND_PED_PED_COLLISION	7140
018	BUMP	SOUND_PED_PED_COLLISION	7141
019	BUMP	SOUND_PED_PED_COLLISION	7142
020	BUMP	SOUND_PED_PED_COLLISION	7143
021	BUMP	SOUND_PED_PED_COLLISION	7144
022	BUMP	SOUND_PED_PED_COLLISION	7145
023	BUMP	SOUND_PED_PED_COLLISION	7146
024	BUMP	SOUND_PED_PED_COLLISION	7147
025	BUMP	SOUND_PED_PED_COLLISION	7148
026	BUMP	SOUND_PED_PED_COLLISION	7140
027	BUMP	SOUND_PED_PED_COLLISION	7141
028	BUMP	SOUND_PED_PED_COLLISION	7142
029	BUMP	SOUND_PED_PED_COLLISION	7143
030	CHAT	SOUND_PED_CHAT	7158
031	CHAT	SOUND_PED_CHAT	7159
032	CHAT	SOUND_PED_CHAT	7160
033	CHAT	SOUND_PED_CHAT	7161
034	CHAT	SOUND_PED_CHAT	7162
035	CHAT	SOUND_PED_CHAT	7163
036	CHAT	SOUND_PED_CHAT	7164
037	CHAT	SOUND_PED_CHAT	7165
038	CONV_DISL_CLOTHES	-	silence
039	CONV_DISL_CLOTHES	-	silence
040	CONV_DISL_CLOTHES	-	silence
041	CONV_DISL_PHYS	-	silence
042	CONV_DISL_PHYS	-	silence
043	CONV_DISL_PHYS	-	silence
044	CONV_DISL_PHYS	-	silence
045	CONV_DISL_SMELL	-	silence
046	CONV_DISL_SMELL	-	silence
047	CONV_DISL_SMELL	-	silence
048	CONV_DISL_SMELL	-	silence
049	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7193
050	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7194
051	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7193
052	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7194
053	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7193
054	CONV_LIKE_CLOTHES	-	silence
055	CONV_LIKE_CLOTHES	-	silence
056	CONV_LIKE_CLOTHES	-	silence
057	CONV_LIKE_CLOTHES	-	silence
058	CONV_LIKE_PHYS	-	silence
059	CONV_LIKE_PHYS	-	silence
060	CONV_LIKE_PHYS	-	silence
061	CONV_LIKE_SMELL	-	silence
062	CONV_LIKE_SMELL	-	silence
