GEN BMOST <- VC BMOST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	4240
002	BAR_CHAT	SOUND_PED_CHAT	4241
003	BAR_CHAT	SOUND_PED_CHAT	4242
004	BAR_CHAT	SOUND_PED_CHAT	4243
005	BAR_CHAT	SOUND_PED_CHAT	4244
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
015	BUMP	SOUND_PED_PED_COLLISION	4215
016	BUMP	SOUND_PED_PED_COLLISION	4216
017	BUMP	SOUND_PED_PED_COLLISION	4217
018	BUMP	SOUND_PED_PED_COLLISION	4218
019	BUMP	SOUND_PED_PED_COLLISION	4219
020	BUMP	SOUND_PED_PED_COLLISION	4220
021	BUMP	SOUND_PED_PED_COLLISION	4221
022	BUMP	SOUND_PED_PED_COLLISION	4222
023	BUMP	SOUND_PED_PED_COLLISION	4223
024	BUMP	SOUND_PED_PED_COLLISION	4224
025	BUMP	SOUND_PED_PED_COLLISION	4225
026	BUMP	SOUND_PED_PED_COLLISION	4226
027	CHAT	SOUND_PED_CHAT	4240
028	CHAT	SOUND_PED_CHAT	4241
029	CHAT	SOUND_PED_CHAT	4242
030	CHAT	SOUND_PED_CHAT	4243
031	CHAT	SOUND_PED_CHAT	4244
032	CHAT	SOUND_PED_CHAT	4245
033	CONV_DISL_SMELL	-	silence
034	CONV_DISL_SMELL	-	silence
035	CONV_DISL_SMELL	-	silence
036	CONV_DISL_SMELL	-	silence
037	CONV_DISL_TATTOO	-	silence
038	CONV_DISL_TATTOO	-	silence
039	CONV_DISL_TATTOO	-	silence
040	CONV_DISL_WEATHER	-	silence
041	CONV_DISL_WEATHER	-	silence
042	CONV_DISL_WEATHER	-	silence
043	CONV_DISL_WEATHER	-	silence
044	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4301
045	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4302
046	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4303
047	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4304
048	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4305
049	CONV_LIKE_SMELL	-	silence
050	CONV_LIKE_SMELL	-	silence
051	CONV_LIKE_TATTOO	-	silence
052	CONV_LIKE_TATTOO	-	silence
053	CONV_LIKE_TATTOO	-	silence
054	CONV_LIKE_WEATHER	-	silence
055	CONV_LIKE_WEATHER	-	silence
056	CONV_LIKE_WEATHER	-	silence
057	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	4279
058	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	4280
059	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	4281
060	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	4282
061	CRASH_CAR	SOUND_PED_CRASH_CAR	4232
062	CRASH_CAR	SOUND_PED_CRASH_CAR	4233
063	CRASH_CAR	SOUND_PED_CRASH_CAR	4234
064	CRASH_CAR	SOUND_PED_CRASH_CAR	4235
