GEN BMOTR1 <- VC BMOTR voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	6303
002	BAR_CHAT	SOUND_PED_CHAT	6304
003	BAR_CHAT	SOUND_PED_CHAT	6305
004	BAR_CHAT	SOUND_PED_CHAT	6306
005	BAR_CHAT	SOUND_PED_CHAT	6307
006	BAR_CHAT	SOUND_PED_CHAT	6308
007	BUM_BACK_OFF	-	silence
008	BUM_BACK_OFF	-	silence
009	BUM_BACK_OFF	-	silence
010	BUM_BACK_OFF	-	silence
011	BUM_BACK_OFF	-	silence
012	BUM_BACK_OFF	-	silence
013	BUM_BACK_OFF_2	-	silence
014	BUM_BACK_OFF_2	-	silence
015	BUM_BACK_OFF_2	-	silence
016	BUM_BACK_OFF_2	-	silence
017	BUM_BACK_OFF_2	-	silence
018	BUM_BACK_OFF_2	-	silence
019	BUM_LATCH	-	silence
020	BUM_LATCH	-	silence
021	BUM_LATCH	-	silence
022	BUM_LATCH	-	silence
023	BUM_LATCH	-	silence
024	BUM_LATCH	-	silence
025	BUM_LATCH	-	silence
026	BUM_LATCH	-	silence
027	BUMP	SOUND_PED_PED_COLLISION	6293
028	BUMP	SOUND_PED_PED_COLLISION	6294
029	BUMP	SOUND_PED_PED_COLLISION	6295
030	BUMP	SOUND_PED_PED_COLLISION	6296
031	BUMP	SOUND_PED_PED_COLLISION	6297
032	BUMP	SOUND_PED_PED_COLLISION	6298
033	BUMP	SOUND_PED_PED_COLLISION	6299
034	BUMP	SOUND_PED_PED_COLLISION	6300
035	BUMP	SOUND_PED_PED_COLLISION	6301
036	BUMP	SOUND_PED_PED_COLLISION	6302
037	BUMP	SOUND_PED_PED_COLLISION	6293
038	BUMP	SOUND_PED_PED_COLLISION	6294
039	BUMP	SOUND_PED_PED_COLLISION	6295
040	CHAT	SOUND_PED_CHAT	6303
041	CHAT	SOUND_PED_CHAT	6304
042	CHAT	SOUND_PED_CHAT	6305
043	CHAT	SOUND_PED_CHAT	6306
044	CHAT	SOUND_PED_CHAT	6307
045	CHAT	SOUND_PED_CHAT	6308
046	CHAT	SOUND_PED_CHAT	6309
047	CHAT	SOUND_PED_CHAT	6310
048	CHAT	SOUND_PED_CHAT	6311
049	CHAT	SOUND_PED_CHAT	6312
050	CHAT	SOUND_PED_CHAT	6303
051	CHAT	SOUND_PED_CHAT	6304
052	CHAT	SOUND_PED_CHAT	6305
053	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
054	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
055	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
056	DODGE	SOUND_PED_EVADE	6313
057	DODGE	SOUND_PED_EVADE	6314
058	DODGE	SOUND_PED_EVADE	6315
059	DODGE	SOUND_PED_EVADE	6316
060	DODGE	SOUND_PED_EVADE	6317
061	DODGE	SOUND_PED_EVADE	6318
062	DODGE	SOUND_PED_EVADE	6319
063	DODGE	SOUND_PED_EVADE	6320
064	FIGHT	SOUND_PED_ATTACK	silence
065	FIGHT	SOUND_PED_ATTACK	silence
066	FIGHT	SOUND_PED_ATTACK	silence
067	FIGHT	SOUND_PED_ATTACK	silence
068	FIGHT	SOUND_PED_ATTACK	silence
069	FIGHT	SOUND_PED_ATTACK	silence
070	FIGHT	SOUND_PED_ATTACK	silence
071	FIGHT	SOUND_PED_ATTACK	silence
072	GUN_COOL	SOUND_PED_HANDS_UP	6327
073	GUN_COOL	SOUND_PED_HANDS_UP	6328
074	GUN_COOL	SOUND_PED_HANDS_UP	6329
075	GUN_COOL	SOUND_PED_HANDS_UP	6330
076	GUN_COOL	SOUND_PED_HANDS_UP	6331
077	GUN_COOL	SOUND_PED_HANDS_UP	6327
078	GUN_RUN	SOUND_PED_FLEE_RUN	6336
079	GUN_RUN	SOUND_PED_FLEE_RUN	6337
080	GUN_RUN	SOUND_PED_FLEE_RUN	6338
081	GUN_RUN	SOUND_PED_FLEE_RUN	6339
082	GUN_RUN	SOUND_PED_FLEE_RUN	6340
083	GUN_RUN	SOUND_PED_FLEE_RUN	6341
084	LIKE_DISMISS_REPLY	-	silence
085	LIKE_DISMISS_REPLY	-	silence
086	LIKE_DISMISS_REPLY	-	silence
087	LIKE_DISMISS_REPLY	-	silence
088	LIKE_DISMISS_REPLY	-	silence
089	LIKE_DISMISS_REPLY	-	silence
090	MUGGED	SOUND_PED_ROBBED	silence
091	MUGGED	SOUND_PED_ROBBED	silence
092	MUGGED	SOUND_PED_ROBBED	silence
093	MUGGED	SOUND_PED_ROBBED	silence
094	PCONV_AGREE_BAD	-	silence
095	PCONV_AGREE_BAD	-	silence
096	PCONV_AGREE_BAD	-	silence
097	PCONV_AGREE_GOOD	-	silence
098	PCONV_AGREE_GOOD	-	silence
