GEN BMYBE <- VC BMYBE voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	900
002	BUMP	SOUND_PED_PED_COLLISION	901
003	BUMP	SOUND_PED_PED_COLLISION	902
004	BUMP	SOUND_PED_PED_COLLISION	903
005	BUMP	SOUND_PED_PED_COLLISION	904
006	BUMP	SOUND_PED_PED_COLLISION	905
007	BUMP	SOUND_PED_PED_COLLISION	906
008	BUMP	SOUND_PED_PED_COLLISION	907
009	BUMP	SOUND_PED_PED_COLLISION	908
010	CHAT	SOUND_PED_CHAT	918
011	CHAT	SOUND_PED_CHAT	919
012	CHAT	SOUND_PED_CHAT	920
013	CHAT	SOUND_PED_CHAT	921
014	CHAT	SOUND_PED_CHAT	922
015	CHAT	SOUND_PED_CHAT	923
016	CHAT	SOUND_PED_CHAT	924
017	CHAT	SOUND_PED_CHAT	925
018	CONV_DISL_HAIR	-	silence
019	CONV_DISL_HAIR	-	silence
020	CONV_DISL_HAIR	-	silence
021	CONV_DISL_PHYS	-	silence
022	CONV_DISL_PHYS	-	silence
023	CONV_DISL_PHYS	-	silence
024	CONV_DISL_SMELL	-	silence
025	CONV_DISL_SMELL	-	silence
026	CONV_DISL_SMELL	-	silence
027	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	969
028	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	969
029	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	969
030	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	969
031	CONV_LIKE_HAIR	-	silence
032	CONV_LIKE_HAIR	-	silence
033	CONV_LIKE_PHYS	-	silence
034	CONV_LIKE_PHYS	-	silence
035	CONV_LIKE_PHYS	-	silence
036	CONV_LIKE_PHYS	-	silence
037	CONV_LIKE_SMELL	-	silence
038	CONV_LIKE_SMELL	-	silence
039	CONV_LIKE_SMELL	-	silence
040	DODGE	SOUND_PED_EVADE	928
041	DODGE	SOUND_PED_EVADE	929
042	DODGE	SOUND_PED_EVADE	930
043	DODGE	SOUND_PED_EVADE	931
044	DODGE	SOUND_PED_EVADE	932
045	DODGE	SOUND_PED_EVADE	933
046	DODGE	SOUND_PED_EVADE	934
047	DODGE	SOUND_PED_EVADE	935
048	DODGE	SOUND_PED_EVADE	936
049	DODGE	SOUND_PED_EVADE	937
050	EYEING_PED	SOUND_PED_CHAT_SEXY	938
051	EYEING_PED	SOUND_PED_CHAT_SEXY	939
052	EYEING_PED	SOUND_PED_CHAT_SEXY	938
053	EYEING_PED	SOUND_PED_CHAT_SEXY	939
054	EYEING_PED	SOUND_PED_CHAT_SEXY	938
055	EYEING_PED	SOUND_PED_CHAT_SEXY	939
056	FIGHT	SOUND_PED_ATTACK	940
057	FIGHT	SOUND_PED_ATTACK	941
058	FIGHT	SOUND_PED_ATTACK	942
059	FIGHT	SOUND_PED_ATTACK	943
060	FIGHT	SOUND_PED_ATTACK	944
061	FIGHT	SOUND_PED_ATTACK	945
062	FIGHT	SOUND_PED_ATTACK	946
063	FIGHT	SOUND_PED_ATTACK	947
064	FIGHT	SOUND_PED_ATTACK	940
065	FIGHT	SOUND_PED_ATTACK	941
066	GUN_RUN	SOUND_PED_FLEE_RUN	silence
067	GUN_RUN	SOUND_PED_FLEE_RUN	silence
068	GUN_RUN	SOUND_PED_FLEE_RUN	silence
069	GUN_RUN	SOUND_PED_FLEE_RUN	silence
070	GUN_RUN	SOUND_PED_FLEE_RUN	silence
071	GUN_RUN	SOUND_PED_FLEE_RUN	silence
072	LIKE_DISMISS_REPLY	-	silence
073	LIKE_DISMISS_REPLY	-	silence
074	LIKE_DISMISS_REPLY	-	silence
075	LIKE_DISMISS_REPLY	-	silence
076	LIKE_DISMISS_REPLY	-	silence
077	PCONV_AGREE_BAD	-	silence
078	PCONV_AGREE_BAD	-	silence
079	PCONV_AGREE_BAD	-	silence
080	PCONV_AGREE_BAD	-	silence
081	PCONV_AGREE_GOOD	-	silence
082	PCONV_AGREE_GOOD	-	silence
083	PCONV_AGREE_GOOD	-	silence
084	PCONV_AGREE_GOOD	-	silence
085	PCONV_ANS_NO	-	silence
086	PCONV_ANS_NO	-	silence
087	PCONV_ANS_NO	-	silence
088	PCONV_ANS_NO	-	silence
089	PCONV_DISMISS	-	silence
090	PCONV_DISMISS	-	silence
091	PCONV_DISMISS	-	silence
092	PCONV_DISMISS	-	silence
093	PCONV_GREET_FEM	-	silence
094	PCONV_GREET_FEM	-	silence
095	PCONV_GREET_FEM	-	silence
096	PCONV_GREET_MALE	-	silence
097	PCONV_GREET_MALE	-	silence
098	PCONV_GREET_MALE	-	silence
099	PCONV_GREET_MALE	-	silence
100	PCONV_PART_FEM	-	silence
101	PCONV_PART_FEM	-	silence
102	PCONV_PART_FEM	-	silence
103	PCONV_PART_FEM	-	silence
104	PCONV_PART_MALE	-	silence
105	PCONV_PART_MALE	-	silence
106	PCONV_PART_MALE	-	silence
107	PCONV_PART_MALE	-	silence
108	PCONV_QUESTION	-	silence
109	PCONV_QUESTION	-	silence
110	PCONV_QUESTION	-	silence
111	PCONV_QUESTION	-	silence
112	PCONV_STATE_BAD	-	silence
113	PCONV_STATE_BAD	-	silence
114	PCONV_STATE_BAD	-	silence
115	PCONV_STATE_BAD	-	silence
116	PCONV_STATE_GOOD	-	silence
117	PCONV_STATE_GOOD	-	silence
118	PCONV_STATE_GOOD	-	silence
119	SAVED	-	silence
120	SAVED	-	silence
121	SAVED	-	silence
122	SHOCKED	SOUND_PED_ACCIDENTREACTION1	971
123	SHOCKED	SOUND_PED_ACCIDENTREACTION1	971
124	SHOCKED	SOUND_PED_ACCIDENTREACTION1	971
125	SHOCKED	SOUND_PED_ACCIDENTREACTION1	971
