GEN BMYBU <- VC BMYBU voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5454
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5455
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5456
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5457
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5458
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5459
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5460
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5461
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5454
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5455
011	BUMP	SOUND_PED_PED_COLLISION	5462
012	BUMP	SOUND_PED_PED_COLLISION	5463
013	BUMP	SOUND_PED_PED_COLLISION	5464
014	BUMP	SOUND_PED_PED_COLLISION	5465
015	BUMP	SOUND_PED_PED_COLLISION	5466
016	BUMP	SOUND_PED_PED_COLLISION	5467
017	BUMP	SOUND_PED_PED_COLLISION	5468
018	BUMP	SOUND_PED_PED_COLLISION	5462
019	BUMP	SOUND_PED_PED_COLLISION	5463
020	BUMP	SOUND_PED_PED_COLLISION	5464
021	BUMP	SOUND_PED_PED_COLLISION	5465
022	CHAT	SOUND_PED_CHAT	silence
023	CHAT	SOUND_PED_CHAT	silence
024	CHAT	SOUND_PED_CHAT	silence
025	CHAT	SOUND_PED_CHAT	silence
026	CHAT	SOUND_PED_CHAT	silence
027	CHAT	SOUND_PED_CHAT	silence
028	CHAT	SOUND_PED_CHAT	silence
029	CHAT	SOUND_PED_CHAT	silence
030	CONV_DISL_CAR	-	silence
031	CONV_DISL_CAR	-	silence
032	CONV_DISL_CLOTHES	-	silence
033	CONV_DISL_CLOTHES	-	silence
034	CONV_DISL_PHYS	-	silence
035	CONV_DISL_PHYS	-	silence
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
037	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
039	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
040	CONV_LIKE_CAR	-	silence
041	CONV_LIKE_CAR	-	silence
042	CONV_LIKE_CLOTHES	-	silence
043	CONV_LIKE_CLOTHES	-	silence
044	CONV_LIKE_PHYS	-	silence
045	CONV_LIKE_PHYS	-	silence
046	CRASH_CAR	SOUND_PED_CRASH_CAR	5469
047	CRASH_CAR	SOUND_PED_CRASH_CAR	5470
048	CRASH_CAR	SOUND_PED_CRASH_CAR	5471
049	CRASH_CAR	SOUND_PED_CRASH_CAR	5472
050	CRASH_CAR	SOUND_PED_CRASH_CAR	5473
051	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5493
052	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5494
053	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5495
054	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5496
055	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5497
056	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5498
057	DODGE	SOUND_PED_EVADE	5476
058	DODGE	SOUND_PED_EVADE	5477
059	DODGE	SOUND_PED_EVADE	5478
060	DODGE	SOUND_PED_EVADE	5479
061	DODGE	SOUND_PED_EVADE	5480
062	DODGE	SOUND_PED_EVADE	5481
063	DODGE	SOUND_PED_EVADE	5482
064	DODGE	SOUND_PED_EVADE	5483
065	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	5486
066	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	5487
067	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	5486
068	FIGHT	SOUND_PED_ATTACK	5488
069	FIGHT	SOUND_PED_ATTACK	5489
070	FIGHT	SOUND_PED_ATTACK	5490
071	FIGHT	SOUND_PED_ATTACK	5491
072	FIGHT	SOUND_PED_ATTACK	5492
073	FIGHT	SOUND_PED_ATTACK	5488
074	FIGHT	SOUND_PED_ATTACK	5489
075	FIGHT	SOUND_PED_ATTACK	5490
076	GAMB_BJ_HIT	-	silence
077	GAMB_BJ_HIT	-	silence
078	GAMB_BJ_HIT	-	silence
079	GAMB_BJ_HIT	-	silence
080	GAMB_BJ_HIT	-	silence
081	GAMB_BJ_LOSE	-	silence
082	GAMB_BJ_LOSE	-	silence
083	GAMB_BJ_LOSE	-	silence
084	GAMB_BJ_LOSE	-	silence
085	GAMB_BJ_LOSE	-	silence
086	GAMB_BJ_STAY	-	silence
087	GAMB_BJ_STAY	-	silence
088	GAMB_BJ_STAY	-	silence
089	GAMB_BJ_WIN	-	silence
090	GAMB_BJ_WIN	-	silence
091	GAMB_BJ_WIN	-	silence
092	GAMB_CONGRATS	-	silence
093	GAMB_CONGRATS	-	silence
094	GAMB_CONGRATS	-	silence
095	GAMB_ROUL_CHAT	-	silence
096	GAMB_ROUL_CHAT	-	silence
097	GAMB_ROUL_CHAT	-	silence
098	GAMB_SLOT_WIN	-	silence
099	GAMB_SLOT_WIN	-	silence
100	GUN_RUN	SOUND_PED_FLEE_RUN	silence
101	GUN_RUN	SOUND_PED_FLEE_RUN	silence
102	GUN_RUN	SOUND_PED_FLEE_RUN	silence
103	GUN_RUN	SOUND_PED_FLEE_RUN	silence
104	GUN_RUN	SOUND_PED_FLEE_RUN	silence
105	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5507
106	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5508
107	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5509
108	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5510
109	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5511
110	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5512
111	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5507
112	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5508
113	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5507
114	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5508
115	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5509
116	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5510
117	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5511
118	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5512
119	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5507
120	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5508
121	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5509
122	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
123	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
124	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
125	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
126	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
127	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
128	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
129	LIKE_DISMISS_REPLY	-	silence
130	LIKE_DISMISS_REPLY	-	silence
131	LIKE_DISMISS_REPLY	-	silence
132	LIKE_DISMISS_REPLY	-	silence
133	LIKE_DISMISS_REPLY	-	silence
134	LIKE_DISMISS_REPLY	-	silence
135	MUGGED	SOUND_PED_ROBBED	5513
136	MUGGED	SOUND_PED_ROBBED	5514
137	MUGGED	SOUND_PED_ROBBED	5513
138	MUGGED	SOUND_PED_ROBBED	5514
139	PCONV_AGREE_BAD	-	silence
140	PCONV_AGREE_BAD	-	silence
141	PCONV_AGREE_BAD	-	silence
142	PCONV_AGREE_BAD	-	silence
143	PCONV_AGREE_GOOD	-	silence
144	PCONV_AGREE_GOOD	-	silence
145	PCONV_AGREE_GOOD	-	silence
146	PCONV_ANS_NO	-	silence
147	PCONV_ANS_NO	-	silence
148	PCONV_ANS_NO	-	silence
149	PCONV_ANS_NO	-	silence
150	PCONV_ANS_NO	-	silence
151	PCONV_DISMISS	-	silence
152	PCONV_DISMISS	-	silence
153	PCONV_DISMISS	-	silence
154	PCONV_DISMISS	-	silence
155	PCONV_DISMISS	-	silence
156	PCONV_GREET_FEM	-	silence
157	PCONV_GREET_FEM	-	silence
158	PCONV_GREET_FEM	-	silence
159	PCONV_GREET_FEM	-	silence
160	PCONV_GREET_MALE	-	silence
161	PCONV_GREET_MALE	-	silence
162	PCONV_GREET_MALE	-	silence
163	PCONV_GREET_MALE	-	silence
164	PCONV_PART_FEM	-	silence
165	PCONV_PART_FEM	-	silence
166	PCONV_PART_FEM	-	silence
167	PCONV_PART_MALE	-	silence
168	PCONV_PART_MALE	-	silence
169	PCONV_PART_MALE	-	silence
170	PCONV_PART_MALE	-	silence
171	PCONV_QUESTION	-	silence
172	PCONV_QUESTION	-	silence
173	PCONV_QUESTION	-	silence
174	PCONV_QUESTION	-	silence
175	PCONV_QUESTION	-	silence
176	PCONV_STATE_BAD	-	silence
177	PCONV_STATE_BAD	-	silence
178	PCONV_STATE_BAD	-	silence
179	PCONV_STATE_BAD	-	silence
180	PCONV_STATE_GOOD	-	silence
181	PCONV_STATE_GOOD	-	silence
182	PCONV_STATE_GOOD	-	silence
183	PCONV_STATE_GOOD	-	silence
184	SAVED	-	silence
185	SAVED	-	silence
186	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5515
187	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5515
188	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5515
189	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5515
190	SHOP_BROWSE	-	silence
191	SHOP_BROWSE	-	silence
192	SHOP_BROWSE	-	silence
193	SHOP_BROWSE	-	silence
194	SHOP_BROWSE	-	silence
195	SHOP_BROWSE	-	silence
