GEN BMYCR <- VC BMYKR voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	ARRESTED	-	silence
002	ARRESTED	-	silence
003	ARRESTED	-	silence
004	ARRESTED	-	silence
005	ARRESTED	-	silence
006	ARRESTED	-	silence
007	BAR_CHAT	SOUND_PED_CHAT	silence
008	BAR_CHAT	SOUND_PED_CHAT	silence
009	BAR_CHAT	SOUND_PED_CHAT	silence
010	BAR_CHAT	SOUND_PED_CHAT	silence
011	BAR_CHAT	SOUND_PED_CHAT	silence
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6521
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6522
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6523
015	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6524
016	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6525
017	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6526
018	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6527
019	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6528
020	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6529
021	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6530
022	BUMP	SOUND_PED_PED_COLLISION	6533
023	BUMP	SOUND_PED_PED_COLLISION	6534
024	BUMP	SOUND_PED_PED_COLLISION	6535
025	BUMP	SOUND_PED_PED_COLLISION	6536
026	BUMP	SOUND_PED_PED_COLLISION	6537
027	BUMP	SOUND_PED_PED_COLLISION	6538
028	BUMP	SOUND_PED_PED_COLLISION	6539
029	BUMP	SOUND_PED_PED_COLLISION	6540
030	BUMP	SOUND_PED_PED_COLLISION	6541
031	BUMP	SOUND_PED_PED_COLLISION	6542
032	BUMP	SOUND_PED_PED_COLLISION	6543
033	BUMP	SOUND_PED_PED_COLLISION	6533
034	BUMP	SOUND_PED_PED_COLLISION	6534
035	CHAT	SOUND_PED_CHAT	silence
036	CHAT	SOUND_PED_CHAT	silence
037	CHAT	SOUND_PED_CHAT	silence
038	CHAT	SOUND_PED_CHAT	silence
039	CHAT	SOUND_PED_CHAT	silence
040	CHAT	SOUND_PED_CHAT	silence
041	CHAT	SOUND_PED_CHAT	silence
042	CHAT	SOUND_PED_CHAT	silence
043	CHAT	SOUND_PED_CHAT	silence
044	CONV_DISL_CAR	-	silence
045	CONV_DISL_CAR	-	silence
046	CONV_DISL_CAR	-	silence
047	CONV_DISL_CAR	-	silence
048	CONV_DISL_CAR	-	silence
