GEN BMYRI <- VC BMYRI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	silence
002	BAR_CHAT	SOUND_PED_CHAT	silence
003	BAR_CHAT	SOUND_PED_CHAT	silence
004	BAR_CHAT	SOUND_PED_CHAT	silence
005	BAR_CHAT	SOUND_PED_CHAT	silence
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5394
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5395
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5396
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5397
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5398
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5399
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5394
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5395
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5396
015	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5397
016	BUMP	SOUND_PED_PED_COLLISION	5400
017	BUMP	SOUND_PED_PED_COLLISION	5401
018	BUMP	SOUND_PED_PED_COLLISION	5402
019	BUMP	SOUND_PED_PED_COLLISION	5403
020	BUMP	SOUND_PED_PED_COLLISION	5404
021	BUMP	SOUND_PED_PED_COLLISION	5405
022	BUMP	SOUND_PED_PED_COLLISION	5406
023	BUMP	SOUND_PED_PED_COLLISION	5400
024	BUMP	SOUND_PED_PED_COLLISION	5401
025	BUMP	SOUND_PED_PED_COLLISION	5402
026	BUMP	SOUND_PED_PED_COLLISION	5403
027	BUMP	SOUND_PED_PED_COLLISION	5404
028	BUMP	SOUND_PED_PED_COLLISION	5405
029	BUMP	SOUND_PED_PED_COLLISION	5406
030	CONV_DISL_CAR	-	silence
031	CONV_DISL_CAR	-	silence
032	CONV_DISL_CAR	-	silence
033	CONV_DISL_CAR	-	silence
034	CONV_DISL_CLOTHES	-	silence
035	CONV_DISL_CLOTHES	-	silence
036	CONV_DISL_CLOTHES	-	silence
037	CONV_DISL_CLOTHES	-	silence
038	CONV_DISL_HAIR	-	silence
039	CONV_DISL_HAIR	-	silence
040	CONV_DISL_HAIR	-	silence
041	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5441
042	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5442
043	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5441
044	CONV_LIKE_CAR	-	silence
045	CONV_LIKE_CAR	-	silence
046	CONV_LIKE_CAR	-	silence
047	CONV_LIKE_CAR	-	silence
048	CONV_LIKE_CLOTHES	-	silence
049	CONV_LIKE_CLOTHES	-	silence
050	CONV_LIKE_CLOTHES	-	silence
051	CONV_LIKE_HAIR	-	silence
052	CONV_LIKE_HAIR	-	silence
053	CONV_LIKE_HAIR	-	silence
054	CONV_LIKE_HAIR	-	silence
055	CRASH_CAR	SOUND_PED_CRASH_CAR	5407
056	CRASH_CAR	SOUND_PED_CRASH_CAR	5408
057	CRASH_CAR	SOUND_PED_CRASH_CAR	5409
058	CRASH_CAR	SOUND_PED_CRASH_CAR	5410
