GEN BMYST <- VC BMYST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	6380
002	BAR_CHAT	SOUND_PED_CHAT	6381
003	BAR_CHAT	SOUND_PED_CHAT	6382
004	BAR_CHAT	SOUND_PED_CHAT	6383
005	BAR_CHAT	SOUND_PED_CHAT	6384
006	BAR_CHAT	SOUND_PED_CHAT	6385
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6352
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6353
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6354
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6355
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6356
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6357
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6358
014	BUMP	SOUND_PED_PED_COLLISION	6360
015	BUMP	SOUND_PED_PED_COLLISION	6361
016	BUMP	SOUND_PED_PED_COLLISION	6362
017	BUMP	SOUND_PED_PED_COLLISION	6363
018	BUMP	SOUND_PED_PED_COLLISION	6364
019	BUMP	SOUND_PED_PED_COLLISION	6365
020	BUMP	SOUND_PED_PED_COLLISION	6366
021	BUMP	SOUND_PED_PED_COLLISION	6367
022	BUMP	SOUND_PED_PED_COLLISION	6368
023	BUMP	SOUND_PED_PED_COLLISION	6369
024	BUMP	SOUND_PED_PED_COLLISION	6370
025	CHAT	SOUND_PED_CHAT	6380
026	CHAT	SOUND_PED_CHAT	6381
027	CHAT	SOUND_PED_CHAT	6382
028	CHAT	SOUND_PED_CHAT	6383
029	CHAT	SOUND_PED_CHAT	6384
030	CHAT	SOUND_PED_CHAT	6385
031	CHAT	SOUND_PED_CHAT	6386
032	CONV_DISL_CLOTHES	-	silence
033	CONV_DISL_CLOTHES	-	silence
034	CONV_DISL_CLOTHES	-	silence
035	CONV_DISL_PHYS	-	silence
036	CONV_DISL_PHYS	-	silence
037	CONV_DISL_SMELL	-	silence
038	CONV_DISL_SMELL	-	silence
039	CONV_DISL_SMELL	-	silence
040	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
041	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
042	CONV_LIKE_CLOTHES	-	silence
043	CONV_LIKE_CLOTHES	-	silence
044	CONV_LIKE_CLOTHES	-	silence
045	CONV_LIKE_PHYS	-	silence
046	CONV_LIKE_PHYS	-	silence
047	CONV_LIKE_SMELL	-	silence
048	CONV_LIKE_SMELL	-	silence
049	CONV_LIKE_SMELL	-	silence
050	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	6406
051	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	6407
052	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	6408
053	CRASH_CAR	SOUND_PED_CRASH_CAR	6371
054	CRASH_CAR	SOUND_PED_CRASH_CAR	6372
055	CRASH_CAR	SOUND_PED_CRASH_CAR	6373
056	CRASH_CAR	SOUND_PED_CRASH_CAR	6374
057	CRASH_CAR	SOUND_PED_CRASH_CAR	6375
058	CRASH_CAR	SOUND_PED_CRASH_CAR	6376
059	DODGE	SOUND_PED_EVADE	6392
060	DODGE	SOUND_PED_EVADE	6393
061	DODGE	SOUND_PED_EVADE	6394
062	DODGE	SOUND_PED_EVADE	6395
063	DODGE	SOUND_PED_EVADE	6396
064	DODGE	SOUND_PED_EVADE	6397
065	DODGE	SOUND_PED_EVADE	6398
066	DRUGS_BUY	-	silence
067	DRUGS_BUY	-	silence
068	DRUGS_BUY	-	silence
069	DRUGS_BUY	-	silence
070	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
071	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
072	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
073	FIGHT	SOUND_PED_ATTACK	6400
074	FIGHT	SOUND_PED_ATTACK	6401
075	FIGHT	SOUND_PED_ATTACK	6402
076	FIGHT	SOUND_PED_ATTACK	6403
077	FIGHT	SOUND_PED_ATTACK	6404
078	GAMB_BJ_HIT	-	silence
079	GAMB_BJ_HIT	-	silence
080	GAMB_BJ_HIT	-	silence
081	GAMB_BJ_HIT	-	silence
082	GAMB_BJ_HIT	-	silence
083	GAMB_BJ_HIT	-	silence
084	GAMB_BJ_HIT	-	silence
085	GAMB_BJ_LOSE	-	silence
086	GAMB_BJ_LOSE	-	silence
