GEN BYMPI <- VC BMYPI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	ARRESTED	-	silence
002	ARRESTED	-	silence
003	ARRESTED	-	silence
004	ARRESTED	-	silence
005	BAR_CHAT	SOUND_PED_CHAT	silence
006	BAR_CHAT	SOUND_PED_CHAT	silence
007	BAR_CHAT	SOUND_PED_CHAT	silence
008	BAR_CHAT	SOUND_PED_CHAT	silence
009	BUMP	SOUND_PED_PED_COLLISION	3984
010	BUMP	SOUND_PED_PED_COLLISION	3985
011	BUMP	SOUND_PED_PED_COLLISION	3986
012	BUMP	SOUND_PED_PED_COLLISION	3987
013	BUMP	SOUND_PED_PED_COLLISION	3988
014	BUMP	SOUND_PED_PED_COLLISION	3989
015	BUMP	SOUND_PED_PED_COLLISION	3990
016	BUMP	SOUND_PED_PED_COLLISION	3991
017	BUMP	SOUND_PED_PED_COLLISION	3992
018	CHAT	SOUND_PED_CHAT	silence
019	CHAT	SOUND_PED_CHAT	silence
020	CHAT	SOUND_PED_CHAT	silence
021	CHAT	SOUND_PED_CHAT	silence
022	CHAT	SOUND_PED_CHAT	silence
023	CHAT	SOUND_PED_CHAT	silence
024	CHAT	SOUND_PED_CHAT	silence
025	CHAT	SOUND_PED_CHAT	silence
026	CONV_DISL_CAR	-	silence
027	CONV_DISL_CAR	-	silence
028	CONV_DISL_CAR	-	silence
029	CONV_DISL_CLOTHES	-	silence
030	CONV_DISL_CLOTHES	-	silence
031	CONV_DISL_CLOTHES	-	silence
032	CONV_DISL_PHYS	-	silence
033	CONV_DISL_PHYS	-	silence
034	CONV_DISL_PHYS	-	silence
035	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
037	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
039	CONV_LIKE_CAR	-	silence
040	CONV_LIKE_CAR	-	silence
041	CONV_LIKE_CAR	-	silence
042	CONV_LIKE_CAR	-	silence
043	CONV_LIKE_CLOTHES	-	silence
044	CONV_LIKE_CLOTHES	-	silence
045	CONV_LIKE_CLOTHES	-	silence
046	CONV_LIKE_PHYS	-	silence
047	CONV_LIKE_PHYS	-	silence
048	CONV_LIKE_PHYS	-	silence
049	CONV_LIKE_PHYS	-	silence
050	CRIMINAL_PLEAD	-	silence
051	CRIMINAL_PLEAD	-	silence
