GEN HFORI <- VC HFORI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	silence
002	BAR_CHAT	SOUND_PED_CHAT	silence
003	BAR_CHAT	SOUND_PED_CHAT	silence
004	BAR_CHAT	SOUND_PED_CHAT	silence
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7206
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7207
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7208
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7209
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7210
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7211
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7206
012	BUMP	SOUND_PED_PED_COLLISION	7212
013	BUMP	SOUND_PED_PED_COLLISION	7213
014	BUMP	SOUND_PED_PED_COLLISION	7214
015	BUMP	SOUND_PED_PED_COLLISION	7215
016	BUMP	SOUND_PED_PED_COLLISION	7216
017	BUMP	SOUND_PED_PED_COLLISION	7217
018	BUMP	SOUND_PED_PED_COLLISION	7218
019	BUMP	SOUND_PED_PED_COLLISION	7219
020	BUMP	SOUND_PED_PED_COLLISION	7220
021	BUMP	SOUND_PED_PED_COLLISION	7221
022	BUMP	SOUND_PED_PED_COLLISION	7212
023	BUMP	SOUND_PED_PED_COLLISION	7213
024	BUMP	SOUND_PED_PED_COLLISION	7214
025	BUMP	SOUND_PED_PED_COLLISION	7215
026	BUMP	SOUND_PED_PED_COLLISION	7216
027	CHAT	SOUND_PED_CHAT	silence
028	CHAT	SOUND_PED_CHAT	silence
029	CHAT	SOUND_PED_CHAT	silence
030	CHAT	SOUND_PED_CHAT	silence
031	CHAT	SOUND_PED_CHAT	silence
032	CONV_DISL_CAR	-	silence
033	CONV_DISL_CAR	-	silence
034	CONV_DISL_CAR	-	silence
035	CONV_DISL_CAR	-	silence
036	CONV_DISL_CLOTHES	-	silence
037	CONV_DISL_CLOTHES	-	silence
038	CONV_DISL_PHYS	-	silence
039	CONV_DISL_PHYS	-	silence
040	CONV_DISL_PHYS	-	silence
041	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7259
042	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7260
043	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7259
044	CONV_LIKE_CAR	-	silence
045	CONV_LIKE_CAR	-	silence
046	CONV_LIKE_CAR	-	silence
047	CONV_LIKE_CAR	-	silence
048	CONV_LIKE_CLOTHES	-	silence
049	CONV_LIKE_CLOTHES	-	silence
050	CONV_LIKE_PHYS	-	silence
051	CONV_LIKE_PHYS	-	silence
052	CONV_LIKE_PHYS	-	silence
053	CONV_LIKE_PHYS	-	silence
054	CRASH_CAR	SOUND_PED_CRASH_CAR	7222
055	CRASH_CAR	SOUND_PED_CRASH_CAR	7223
056	CRASH_CAR	SOUND_PED_CRASH_CAR	7224
057	CRASH_CAR	SOUND_PED_CRASH_CAR	7225
058	DODGE	SOUND_PED_EVADE	7229
059	DODGE	SOUND_PED_EVADE	7230
