GEN HFOST <- VC HFOST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	4342
002	BAR_CHAT	SOUND_PED_CHAT	4343
003	BAR_CHAT	SOUND_PED_CHAT	4344
004	BAR_CHAT	SOUND_PED_CHAT	4345
005	BAR_CHAT	SOUND_PED_CHAT	4346
006	BAR_CHAT	SOUND_PED_CHAT	4347
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4313
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4314
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4315
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4316
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4317
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4318
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4319
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4320
015	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4321
016	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4313
017	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4314
018	BUMP	SOUND_PED_PED_COLLISION	4322
019	BUMP	SOUND_PED_PED_COLLISION	4323
020	BUMP	SOUND_PED_PED_COLLISION	4324
021	BUMP	SOUND_PED_PED_COLLISION	4325
022	BUMP	SOUND_PED_PED_COLLISION	4326
023	BUMP	SOUND_PED_PED_COLLISION	4327
024	BUMP	SOUND_PED_PED_COLLISION	4328
025	BUMP	SOUND_PED_PED_COLLISION	4329
026	CHAT	SOUND_PED_CHAT	4342
027	CHAT	SOUND_PED_CHAT	4343
028	CHAT	SOUND_PED_CHAT	4344
029	CHAT	SOUND_PED_CHAT	4345
030	CONV_DISL_SMELL	-	silence
031	CONV_DISL_SMELL	-	silence
032	CONV_DISL_SMELL	-	silence
033	CONV_DISL_SMELL	-	silence
034	CONV_DISL_TATTOO	-	silence
035	CONV_DISL_TATTOO	-	silence
036	CONV_DISL_TATTOO	-	silence
037	CONV_DISL_WEATHER	-	silence
038	CONV_DISL_WEATHER	-	silence
039	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4396
040	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4397
041	CONV_LIKE_SMELL	-	silence
042	CONV_LIKE_SMELL	-	silence
043	CONV_LIKE_SMELL	-	silence
044	CONV_LIKE_TATTOO	-	silence
045	CONV_LIKE_TATTOO	-	silence
046	CONV_LIKE_TATTOO	-	silence
047	CONV_LIKE_WEATHER	-	silence
048	CONV_LIKE_WEATHER	-	silence
049	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	4371
050	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	4372
051	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	4373
052	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	4374
053	CRASH_CAR	SOUND_PED_CRASH_CAR	4334
054	CRASH_CAR	SOUND_PED_CRASH_CAR	4335
055	CRASH_CAR	SOUND_PED_CRASH_CAR	4336
056	CRASH_CAR	SOUND_PED_CRASH_CAR	4337
057	CRASH_CAR	SOUND_PED_CRASH_CAR	4338
058	CRASH_CAR	SOUND_PED_CRASH_CAR	4339
059	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	4371
060	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	4372
061	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	4373
062	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	4374
063	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	4375
064	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	4376
065	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	4377
066	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	4378
067	DODGE	SOUND_PED_EVADE	4353
068	DODGE	SOUND_PED_EVADE	4354
069	DODGE	SOUND_PED_EVADE	4355
070	DODGE	SOUND_PED_EVADE	4356
071	DODGE	SOUND_PED_EVADE	4357
072	DODGE	SOUND_PED_EVADE	4358
073	DODGE	SOUND_PED_EVADE	4359
074	DODGE	SOUND_PED_EVADE	4360
075	DODGE	SOUND_PED_EVADE	4361
076	DRUGS_BUY	-	silence
077	DRUGS_BUY	-	silence
078	DRUGS_BUY	-	silence
079	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
080	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
081	FIGHT	SOUND_PED_ATTACK	4363
082	FIGHT	SOUND_PED_ATTACK	4364
083	FIGHT	SOUND_PED_ATTACK	4365
084	FIGHT	SOUND_PED_ATTACK	4366
085	FIGHT	SOUND_PED_ATTACK	4367
086	FIGHT	SOUND_PED_ATTACK	4368
087	GUN_RUN	SOUND_PED_FLEE_RUN	silence
088	GUN_RUN	SOUND_PED_FLEE_RUN	silence
089	GUN_RUN	SOUND_PED_FLEE_RUN	silence
090	GUN_RUN	SOUND_PED_FLEE_RUN	silence
091	GUN_RUN	SOUND_PED_FLEE_RUN	silence
092	GUN_RUN	SOUND_PED_FLEE_RUN	silence
093	GUN_RUN	SOUND_PED_FLEE_RUN	silence
094	GUN_RUN	SOUND_PED_FLEE_RUN	silence
095	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4388
096	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4389
097	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4390
098	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4391
099	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4392
100	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4393
101	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4394
102	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4395
103	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4388
104	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4389
105	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4390
106	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4391
107	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4388
108	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4389
109	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4390
110	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4391
111	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4392
112	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4393
113	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4394
114	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4395
115	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4388
116	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4389
117	JACKING_CAR	SOUND_PED_CAR_JACKING	silence
118	JACKING_CAR	SOUND_PED_CAR_JACKING	silence
119	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
120	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
121	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
122	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
123	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
124	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
125	LIKE_DISMISS_REPLY	-	silence
126	LIKE_DISMISS_REPLY	-	silence
127	LIKE_DISMISS_REPLY	-	silence
128	LIKE_DISMISS_REPLY	-	silence
129	MUGGED	SOUND_PED_ROBBED	4398
130	MUGGED	SOUND_PED_ROBBED	4399
131	MUGGED	SOUND_PED_ROBBED	4400
132	PCONV_AGREE_BAD	-	silence
133	PCONV_AGREE_BAD	-	silence
134	PCONV_AGREE_BAD	-	silence
135	PCONV_AGREE_BAD	-	silence
136	PCONV_AGREE_GOOD	-	silence
137	PCONV_AGREE_GOOD	-	silence
138	PCONV_AGREE_GOOD	-	silence
139	PCONV_ANS_NO	-	silence
140	PCONV_ANS_NO	-	silence
141	PCONV_DISMISS	-	silence
142	PCONV_DISMISS	-	silence
143	PCONV_GREET_FEM	-	silence
144	PCONV_GREET_FEM	-	silence
145	PCONV_GREET_FEM	-	silence
146	PCONV_GREET_MALE	-	silence
147	PCONV_GREET_MALE	-	silence
148	PCONV_GREET_MALE	-	silence
149	PCONV_PART_FEM	-	silence
150	PCONV_PART_FEM	-	silence
151	PCONV_PART_FEM	-	silence
152	PCONV_PART_MALE	-	silence
153	PCONV_PART_MALE	-	silence
154	PCONV_QUESTION	-	silence
155	PCONV_QUESTION	-	silence
156	PCONV_QUESTION	-	silence
157	PCONV_STATE_BAD	-	silence
158	PCONV_STATE_GOOD	-	silence
