GEN HFYBE <- VC HFYBE voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	6854
002	BUMP	SOUND_PED_PED_COLLISION	6855
003	BUMP	SOUND_PED_PED_COLLISION	6856
004	BUMP	SOUND_PED_PED_COLLISION	6857
005	BUMP	SOUND_PED_PED_COLLISION	6858
006	BUMP	SOUND_PED_PED_COLLISION	6859
007	BUMP	SOUND_PED_PED_COLLISION	6860
008	BUMP	SOUND_PED_PED_COLLISION	6861
009	BUMP	SOUND_PED_PED_COLLISION	6854
010	BUMP	SOUND_PED_PED_COLLISION	6855
011	BUMP	SOUND_PED_PED_COLLISION	6856
012	CHAT	SOUND_PED_CHAT	6868
013	CHAT	SOUND_PED_CHAT	6869
014	CHAT	SOUND_PED_CHAT	6870
015	CHAT	SOUND_PED_CHAT	6871
016	CHAT	SOUND_PED_CHAT	6872
017	CHAT	SOUND_PED_CHAT	6873
018	CHAT	SOUND_PED_CHAT	6874
019	CHAT	SOUND_PED_CHAT	6875
020	CHAT	SOUND_PED_CHAT	6876
021	CONV_DISL_HAIR	-	silence
022	CONV_DISL_HAIR	-	silence
023	CONV_DISL_HAIR	-	silence
024	CONV_DISL_HAIR	-	silence
025	CONV_DISL_PHYS	-	silence
026	CONV_DISL_PHYS	-	silence
027	CONV_DISL_PHYS	-	silence
028	CONV_DISL_PHYS	-	silence
029	CONV_DISL_SMELL	-	silence
030	CONV_DISL_SMELL	-	silence
031	CONV_DISL_SMELL	-	silence
032	CONV_DISL_SMELL	-	silence
033	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6911
034	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6912
035	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6911
036	CONV_LIKE_HAIR	-	silence
037	CONV_LIKE_HAIR	-	silence
038	CONV_LIKE_HAIR	-	silence
039	CONV_LIKE_HAIR	-	silence
040	CONV_LIKE_PHYS	-	silence
041	CONV_LIKE_PHYS	-	silence
042	CONV_LIKE_SMELL	-	silence
043	CONV_LIKE_SMELL	-	silence
044	CONV_LIKE_SMELL	-	silence
045	DODGE	SOUND_PED_EVADE	6878
046	DODGE	SOUND_PED_EVADE	6879
047	DODGE	SOUND_PED_EVADE	6880
048	DODGE	SOUND_PED_EVADE	6881
049	DODGE	SOUND_PED_EVADE	6882
050	DODGE	SOUND_PED_EVADE	6883
051	DODGE	SOUND_PED_EVADE	6884
052	DODGE	SOUND_PED_EVADE	6885
053	DODGE	SOUND_PED_EVADE	6886
054	DODGE	SOUND_PED_EVADE	6887
055	DODGE	SOUND_PED_EVADE	6888
056	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
057	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
058	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
059	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
060	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
061	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
062	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
063	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
064	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
065	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
066	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
067	FIGHT	SOUND_PED_ATTACK	silence
068	FIGHT	SOUND_PED_ATTACK	silence
069	FIGHT	SOUND_PED_ATTACK	silence
070	FIGHT	SOUND_PED_ATTACK	silence
071	FIGHT	SOUND_PED_ATTACK	silence
072	FIGHT	SOUND_PED_ATTACK	silence
073	FIGHT	SOUND_PED_ATTACK	silence
074	GUN_RUN	SOUND_PED_FLEE_RUN	silence
075	GUN_RUN	SOUND_PED_FLEE_RUN	silence
076	GUN_RUN	SOUND_PED_FLEE_RUN	silence
077	GUN_RUN	SOUND_PED_FLEE_RUN	silence
078	GUN_RUN	SOUND_PED_FLEE_RUN	silence
079	GUN_RUN	SOUND_PED_FLEE_RUN	silence
080	GUN_RUN	SOUND_PED_FLEE_RUN	silence
081	GUN_RUN	SOUND_PED_FLEE_RUN	silence
082	LIKE_DISMISS_REPLY	-	silence
083	LIKE_DISMISS_REPLY	-	silence
084	LIKE_DISMISS_REPLY	-	silence
085	LIKE_DISMISS_REPLY	-	silence
086	LIKE_DISMISS_REPLY	-	silence
087	LIKE_DISMISS_REPLY	-	silence
088	LIKE_DISMISS_REPLY	-	silence
089	LIKE_DISMISS_REPLY	-	silence
090	PCONV_AGREE_BAD	-	silence
091	PCONV_AGREE_BAD	-	silence
092	PCONV_AGREE_BAD	-	silence
093	PCONV_AGREE_BAD	-	silence
094	PCONV_AGREE_GOOD	-	silence
095	PCONV_AGREE_GOOD	-	silence
096	PCONV_AGREE_GOOD	-	silence
097	PCONV_AGREE_GOOD	-	silence
098	PCONV_AGREE_GOOD	-	silence
099	PCONV_ANS_NO	-	silence
100	PCONV_ANS_NO	-	silence
