GEN HFYPRO <- VC HFYPR voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	5912
002	BUMP	SOUND_PED_PED_COLLISION	5913
003	BUMP	SOUND_PED_PED_COLLISION	5914
004	BUMP	SOUND_PED_PED_COLLISION	5915
005	BUMP	SOUND_PED_PED_COLLISION	5916
006	BUMP	SOUND_PED_PED_COLLISION	5917
007	BUMP	SOUND_PED_PED_COLLISION	5918
008	BUMP	SOUND_PED_PED_COLLISION	5919
009	CHAT	SOUND_PED_CHAT	5922
010	CHAT	SOUND_PED_CHAT	5923
011	CHAT	SOUND_PED_CHAT	5924
012	CHAT	SOUND_PED_CHAT	5925
013	CHAT	SOUND_PED_CHAT	5926
014	CHAT	SOUND_PED_CHAT	5927
015	CHAT	SOUND_PED_CHAT	5928
016	CHAT	SOUND_PED_CHAT	5929
017	CONV_DISL_CAR	-	silence
018	CONV_DISL_CAR	-	silence
019	CONV_DISL_CAR	-	silence
020	CONV_DISL_PHYS	-	silence
021	CONV_DISL_PHYS	-	silence
022	CONV_DISL_PHYS	-	silence
023	CONV_DISL_PHYS	-	silence
024	CONV_DISL_TATTOO	-	silence
025	CONV_DISL_TATTOO	-	silence
026	CONV_DISL_TATTOO	-	silence
027	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
028	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
029	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
030	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
031	CONV_LIKE_CAR	-	silence
032	CONV_LIKE_CAR	-	silence
033	CONV_LIKE_PHYS	-	silence
034	CONV_LIKE_PHYS	-	silence
035	CONV_LIKE_PHYS	-	silence
036	CONV_LIKE_PHYS	-	silence
037	CONV_LIKE_TATTOO	-	silence
038	CONV_LIKE_TATTOO	-	silence
039	CONV_LIKE_TATTOO	-	silence
040	CRIMINAL_PLEAD	-	silence
041	CRIMINAL_PLEAD	-	silence
042	CRIMINAL_PLEAD	-	silence
043	CRIMINAL_PLEAD	-	silence
044	DODGE	SOUND_PED_EVADE	5934
045	DODGE	SOUND_PED_EVADE	5935
046	DODGE	SOUND_PED_EVADE	5936
047	DODGE	SOUND_PED_EVADE	5937
048	DODGE	SOUND_PED_EVADE	5938
049	DODGE	SOUND_PED_EVADE	5939
050	DODGE	SOUND_PED_EVADE	5940
051	DRUGS_BUY	-	silence
052	DRUGS_BUY	-	silence
053	DRUGS_BUY	-	silence
054	DRUGS_BUY	-	silence
055	DRUGS_BUY	-	silence
056	DRUGS_BUY	-	silence
057	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
058	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
059	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
060	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
061	FIGHT	SOUND_PED_ATTACK	5946
062	FIGHT	SOUND_PED_ATTACK	5947
063	FIGHT	SOUND_PED_ATTACK	5948
064	FIGHT	SOUND_PED_ATTACK	5949
065	FIGHT	SOUND_PED_ATTACK	5950
066	FIGHT	SOUND_PED_ATTACK	5951
067	FIGHT	SOUND_PED_ATTACK	5952
068	GUN_COOL	SOUND_PED_HANDS_UP	5964
069	GUN_COOL	SOUND_PED_HANDS_UP	5965
070	GUN_COOL	SOUND_PED_HANDS_UP	5966
071	GUN_COOL	SOUND_PED_HANDS_UP	5967
072	GUN_COOL	SOUND_PED_HANDS_UP	5968
073	GUN_COOL	SOUND_PED_HANDS_UP	5969
074	HAVING_SEX	-	silence
075	HAVING_SEX	-	silence
076	HAVING_SEX	-	silence
077	HAVING_SEX	-	silence
078	HAVING_SEX	-	silence
079	HAVING_SEX	-	silence
080	HAVING_SEX	-	silence
081	HAVING_SEX	-	silence
082	HAVING_SEX	-	silence
083	HAVING_SEX	-	silence
084	HAVING_SEX	-	silence
085	HAVING_SEX	-	silence
086	HAVING_SEX	-	silence
087	HAVING_SEX	-	silence
088	HAVING_SEX	-	silence
089	HAVING_SEX	-	silence
090	HAVING_SEX	-	silence
091	LIKE_DISMISS_REPLY	-	silence
092	LIKE_DISMISS_REPLY	-	silence
093	LIKE_DISMISS_REPLY	-	silence
094	MUGGED	SOUND_PED_ROBBED	5970
095	MUGGED	SOUND_PED_ROBBED	5971
096	MUGGED	SOUND_PED_ROBBED	5970
097	PCONV_AGREE_BAD	-	silence
098	PCONV_AGREE_BAD	-	silence
099	PCONV_AGREE_BAD	-	silence
100	PCONV_AGREE_GOOD	-	silence
101	PCONV_AGREE_GOOD	-	silence
102	PCONV_AGREE_GOOD	-	silence
103	PCONV_ANS_NO	-	silence
104	PCONV_ANS_NO	-	silence
105	PCONV_ANS_NO	-	silence
106	PCONV_DISMISS	-	silence
107	PCONV_DISMISS	-	silence
108	PCONV_DISMISS	-	silence
109	PCONV_GREET_FEM	-	silence
110	PCONV_GREET_FEM	-	silence
111	PCONV_GREET_FEM	-	silence
112	PCONV_GREET_MALE	-	silence
113	PCONV_GREET_MALE	-	silence
114	PCONV_GREET_MALE	-	silence
115	PCONV_PART_FEM	-	silence
116	PCONV_PART_FEM	-	silence
117	PCONV_PART_FEM	-	silence
118	PCONV_PART_MALE	-	silence
119	PCONV_PART_MALE	-	silence
120	PCONV_PART_MALE	-	silence
121	PCONV_QUESTION	-	silence
122	PCONV_QUESTION	-	silence
123	PCONV_QUESTION	-	silence
124	PCONV_STATE_BAD	-	silence
125	PCONV_STATE_BAD	-	silence
126	PCONV_STATE_BAD	-	silence
127	PCONV_STATE_BAD	-	silence
128	PCONV_STATE_GOOD	-	silence
129	PCONV_STATE_GOOD	-	silence
130	PCONV_STATE_GOOD	-	silence
131	PCONV_STATE_GOOD	-	silence
132	SAVED	-	silence
133	SAVED	-	silence
134	SAVED	-	silence
135	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5972
136	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5972
137	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5972
138	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5972
139	SOLICIT	SOUND_PED_SOLICIT	5973
140	SOLICIT	SOUND_PED_SOLICIT	5974
141	SOLICIT	SOUND_PED_SOLICIT	5975
142	SOLICIT	SOUND_PED_SOLICIT	5976
143	SOLICIT	SOUND_PED_SOLICIT	5977
144	SOLICIT	SOUND_PED_SOLICIT	5978
145	SOLICIT	SOUND_PED_SOLICIT	5979
146	SOLICIT	SOUND_PED_SOLICIT	5980
147	SOLICIT_THANKS	-	silence
148	SOLICIT_THANKS	-	silence
149	SOLICIT_THANKS	-	silence
