GEN HFYRI <- VC HFYRI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6923
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6924
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6925
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6926
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6927
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6928
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6929
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6930
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6923
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6924
011	BUMP	SOUND_PED_PED_COLLISION	6931
012	BUMP	SOUND_PED_PED_COLLISION	6932
013	BUMP	SOUND_PED_PED_COLLISION	6933
014	BUMP	SOUND_PED_PED_COLLISION	6934
015	BUMP	SOUND_PED_PED_COLLISION	6935
016	BUMP	SOUND_PED_PED_COLLISION	6936
017	BUMP	SOUND_PED_PED_COLLISION	6937
018	BUMP	SOUND_PED_PED_COLLISION	6938
019	BUMP	SOUND_PED_PED_COLLISION	6939
020	BUMP	SOUND_PED_PED_COLLISION	6931
021	CHAT	SOUND_PED_CHAT	silence
022	CHAT	SOUND_PED_CHAT	silence
023	CHAT	SOUND_PED_CHAT	silence
024	CHAT	SOUND_PED_CHAT	silence
025	CHAT	SOUND_PED_CHAT	silence
026	CONV_DISL_CAR	-	silence
027	CONV_DISL_CAR	-	silence
028	CONV_DISL_CAR	-	silence
029	CONV_DISL_CAR	-	silence
030	CONV_DISL_CLOTHES	-	silence
031	CONV_DISL_CLOTHES	-	silence
032	CONV_DISL_CLOTHES	-	silence
033	CONV_DISL_CLOTHES	-	silence
034	CONV_DISL_HAIR	-	silence
035	CONV_DISL_HAIR	-	silence
036	CONV_DISL_HAIR	-	silence
037	CONV_DISL_HAIR	-	silence
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6976
039	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6977
040	CONV_LIKE_CAR	-	silence
041	CONV_LIKE_CAR	-	silence
042	CONV_LIKE_CAR	-	silence
043	CONV_LIKE_CLOTHES	-	silence
044	CONV_LIKE_CLOTHES	-	silence
045	CONV_LIKE_CLOTHES	-	silence
046	CONV_LIKE_CLOTHES	-	silence
047	CONV_LIKE_HAIR	-	silence
048	CONV_LIKE_HAIR	-	silence
049	CONV_LIKE_HAIR	-	silence
050	CONV_LIKE_HAIR	-	silence
051	CRASH_CAR	SOUND_PED_CRASH_CAR	6940
052	CRASH_CAR	SOUND_PED_CRASH_CAR	6941
053	CRASH_CAR	SOUND_PED_CRASH_CAR	6942
054	CRASH_CAR	SOUND_PED_CRASH_CAR	6943
055	DODGE	SOUND_PED_EVADE	6948
056	DODGE	SOUND_PED_EVADE	6949
057	DODGE	SOUND_PED_EVADE	6950
058	DODGE	SOUND_PED_EVADE	6951
059	DODGE	SOUND_PED_EVADE	6952
060	DODGE	SOUND_PED_EVADE	6953
061	DODGE	SOUND_PED_EVADE	6954
062	DODGE	SOUND_PED_EVADE	6955
063	DODGE	SOUND_PED_EVADE	6956
064	DODGE	SOUND_PED_EVADE	6957
065	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
066	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
067	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
068	GAMB_BJ_HIT	-	silence
069	GAMB_BJ_HIT	-	silence
070	GAMB_BJ_HIT	-	silence
071	GAMB_BJ_HIT	-	silence
072	GAMB_BJ_HIT	-	silence
073	GAMB_BJ_HIT	-	silence
074	GAMB_BJ_LOSE	-	silence
075	GAMB_BJ_LOSE	-	silence
076	GAMB_BJ_LOSE	-	silence
077	GAMB_BJ_LOSE	-	silence
078	GAMB_BJ_LOSE	-	silence
079	GAMB_BJ_LOSE	-	silence
080	GAMB_BJ_STAY	-	silence
081	GAMB_BJ_STAY	-	silence
082	GAMB_BJ_STAY	-	silence
083	GAMB_BJ_STAY	-	silence
084	GAMB_BJ_STAY	-	silence
085	GAMB_BJ_STAY	-	silence
086	GAMB_BJ_WIN	-	silence
087	GAMB_BJ_WIN	-	silence
088	GAMB_BJ_WIN	-	silence
089	GAMB_BJ_WIN	-	silence
090	GAMB_CONGRATS	-	silence
091	GAMB_CONGRATS	-	silence
092	GAMB_CONGRATS	-	silence
093	GAMB_CONGRATS	-	silence
094	GAMB_CONGRATS	-	silence
095	GAMB_CONGRATS	-	silence
096	GAMB_ROUL_CHAT	-	silence
097	GAMB_ROUL_CHAT	-	silence
098	GAMB_ROUL_CHAT	-	silence
099	GAMB_ROUL_CHAT	-	silence
100	GAMB_ROUL_CHAT	-	silence
101	GAMB_SLOT_WIN	-	silence
102	GAMB_SLOT_WIN	-	silence
103	GUN_RUN	SOUND_PED_FLEE_RUN	6982
104	GUN_RUN	SOUND_PED_FLEE_RUN	6983
105	GUN_RUN	SOUND_PED_FLEE_RUN	6984
106	GUN_RUN	SOUND_PED_FLEE_RUN	6985
107	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6970
108	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6971
109	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6972
110	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6973
111	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6974
112	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6975
113	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6970
114	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6971
115	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	6972
