GEN HFYST <- VC HFYST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	5703
002	BAR_CHAT	SOUND_PED_CHAT	5704
003	BAR_CHAT	SOUND_PED_CHAT	5705
004	BAR_CHAT	SOUND_PED_CHAT	5706
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5678
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5679
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5680
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5681
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5682
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5683
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5684
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5678
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5679
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5680
015	BUMP	SOUND_PED_PED_COLLISION	5685
016	BUMP	SOUND_PED_PED_COLLISION	5686
017	BUMP	SOUND_PED_PED_COLLISION	5687
018	BUMP	SOUND_PED_PED_COLLISION	5688
019	BUMP	SOUND_PED_PED_COLLISION	5689
020	BUMP	SOUND_PED_PED_COLLISION	5690
021	BUMP	SOUND_PED_PED_COLLISION	5691
022	BUMP	SOUND_PED_PED_COLLISION	5692
023	BUMP	SOUND_PED_PED_COLLISION	5693
024	BUMP	SOUND_PED_PED_COLLISION	5694
025	CHAT	SOUND_PED_CHAT	5703
026	CHAT	SOUND_PED_CHAT	5704
027	CHAT	SOUND_PED_CHAT	5705
028	CHAT	SOUND_PED_CHAT	5706
029	CHAT	SOUND_PED_CHAT	5707
030	CHAT	SOUND_PED_CHAT	5708
031	CHAT	SOUND_PED_CHAT	5709
032	CHAT	SOUND_PED_CHAT	5710
033	CHAT	SOUND_PED_CHAT	5711
034	CONV_DISL_CLOTHES	-	silence
035	CONV_DISL_CLOTHES	-	silence
036	CONV_DISL_CLOTHES	-	silence
037	CONV_DISL_PHYS	-	silence
038	CONV_DISL_PHYS	-	silence
039	CONV_DISL_PHYS	-	silence
040	CONV_DISL_PHYS	-	silence
041	CONV_DISL_PHYS	-	silence
042	CONV_DISL_SMELL	-	silence
043	CONV_DISL_SMELL	-	silence
044	CONV_DISL_SMELL	-	silence
045	CONV_DISL_SMELL	-	silence
046	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5751
047	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5752
048	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5751
049	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5752
050	CONV_LIKE_CLOTHES	-	silence
051	CONV_LIKE_CLOTHES	-	silence
052	CONV_LIKE_CLOTHES	-	silence
053	CONV_LIKE_CLOTHES	-	silence
054	CONV_LIKE_PHYS	-	silence
055	CONV_LIKE_PHYS	-	silence
056	CONV_LIKE_PHYS	-	silence
057	CONV_LIKE_SMELL	-	silence
058	CONV_LIKE_SMELL	-	silence
059	CONV_LIKE_SMELL	-	silence
060	CONV_LIKE_SMELL	-	silence
061	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	5729
062	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	5730
063	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	5731
064	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	5732
065	CRASH_CAR	SOUND_PED_CRASH_CAR	5695
066	CRASH_CAR	SOUND_PED_CRASH_CAR	5696
067	CRASH_CAR	SOUND_PED_CRASH_CAR	5697
068	CRASH_CAR	SOUND_PED_CRASH_CAR	5698
069	CRASH_CAR	SOUND_PED_CRASH_CAR	5699
070	CRASH_CAR	SOUND_PED_CRASH_CAR	5700
071	CRASH_CAR	SOUND_PED_CRASH_CAR	5701
072	DODGE	SOUND_PED_EVADE	5712
073	DODGE	SOUND_PED_EVADE	5713
074	DODGE	SOUND_PED_EVADE	5714
075	DODGE	SOUND_PED_EVADE	5715
076	DODGE	SOUND_PED_EVADE	5716
077	DODGE	SOUND_PED_EVADE	5717
078	DODGE	SOUND_PED_EVADE	5718
079	DODGE	SOUND_PED_EVADE	5719
080	DODGE	SOUND_PED_EVADE	5720
081	DODGE	SOUND_PED_EVADE	5721
082	DRUGS_BUY	-	silence
083	DRUGS_BUY	-	silence
084	DRUGS_BUY	-	silence
085	DRUGS_BUY	-	silence
086	DRUGS_BUY	-	silence
087	DRUGS_BUY	-	silence
088	DRUGS_BUY	-	silence
089	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
090	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
091	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
092	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
093	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
094	FIGHT	SOUND_PED_ATTACK	5722
095	FIGHT	SOUND_PED_ATTACK	5723
096	FIGHT	SOUND_PED_ATTACK	5724
097	FIGHT	SOUND_PED_ATTACK	5725
098	FIGHT	SOUND_PED_ATTACK	5726
099	FIGHT	SOUND_PED_ATTACK	5727
100	FIGHT	SOUND_PED_ATTACK	5728
101	FIGHT	SOUND_PED_ATTACK	5722
102	FIGHT	SOUND_PED_ATTACK	5723
103	FIGHT	SOUND_PED_ATTACK	5724
104	GUN_RUN	SOUND_PED_FLEE_RUN	silence
105	GUN_RUN	SOUND_PED_FLEE_RUN	silence
106	GUN_RUN	SOUND_PED_FLEE_RUN	silence
107	GUN_RUN	SOUND_PED_FLEE_RUN	silence
108	GUN_RUN	SOUND_PED_FLEE_RUN	silence
109	GUN_RUN	SOUND_PED_FLEE_RUN	silence
