GEN HMORI <- VC HMORI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	4428
002	BAR_CHAT	SOUND_PED_CHAT	4429
003	BAR_CHAT	SOUND_PED_CHAT	4430
004	BAR_CHAT	SOUND_PED_CHAT	4431
005	BAR_CHAT	SOUND_PED_CHAT	4432
006	BAR_CHAT	SOUND_PED_CHAT	4433
007	BAR_CHAT	SOUND_PED_CHAT	4434
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4403
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4404
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4405
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4406
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4407
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4408
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4409
015	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4410
016	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4403
017	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4404
018	BUMP	SOUND_PED_PED_COLLISION	4411
019	BUMP	SOUND_PED_PED_COLLISION	4412
020	BUMP	SOUND_PED_PED_COLLISION	4413
021	BUMP	SOUND_PED_PED_COLLISION	4414
022	BUMP	SOUND_PED_PED_COLLISION	4415
023	BUMP	SOUND_PED_PED_COLLISION	4416
024	BUMP	SOUND_PED_PED_COLLISION	4417
025	BUMP	SOUND_PED_PED_COLLISION	4418
026	BUMP	SOUND_PED_PED_COLLISION	4419
027	BUMP	SOUND_PED_PED_COLLISION	4420
028	BUMP	SOUND_PED_PED_COLLISION	4421
029	BUMP	SOUND_PED_PED_COLLISION	4411
030	BUMP	SOUND_PED_PED_COLLISION	4412
031	BUMP	SOUND_PED_PED_COLLISION	4413
032	CHAT	SOUND_PED_CHAT	4428
033	CHAT	SOUND_PED_CHAT	4429
034	CHAT	SOUND_PED_CHAT	4430
035	CHAT	SOUND_PED_CHAT	4431
036	CHAT	SOUND_PED_CHAT	4432
037	CHAT	SOUND_PED_CHAT	4433
038	CHAT	SOUND_PED_CHAT	4434
039	CONV_DISL_CAR	-	silence
040	CONV_DISL_CAR	-	silence
041	CONV_DISL_CAR	-	silence
042	CONV_DISL_CAR	-	silence
043	CONV_DISL_HAIR	-	silence
044	CONV_DISL_HAIR	-	silence
045	CONV_DISL_HAIR	-	silence
046	CONV_DISL_HAIR	-	silence
047	CONV_DISL_WEATHER	-	silence
048	CONV_DISL_WEATHER	-	silence
049	CONV_DISL_WEATHER	-	silence
050	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4467
051	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4468
052	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4467
053	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4468
054	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4467
055	CONV_LIKE_CAR	-	silence
056	CONV_LIKE_CAR	-	silence
057	CONV_LIKE_CAR	-	silence
058	CONV_LIKE_CAR	-	silence
059	CONV_LIKE_HAIR	-	silence
060	CONV_LIKE_HAIR	-	silence
061	CONV_LIKE_HAIR	-	silence
062	CONV_LIKE_WEATHER	-	silence
063	CONV_LIKE_WEATHER	-	silence
064	CONV_LIKE_WEATHER	-	silence
065	CONV_LIKE_WEATHER	-	silence
066	CRASH_CAR	SOUND_PED_CRASH_CAR	4422
067	CRASH_CAR	SOUND_PED_CRASH_CAR	4423
068	CRASH_CAR	SOUND_PED_CRASH_CAR	4424
069	CRASH_CAR	SOUND_PED_CRASH_CAR	4425
070	CRASH_CAR	SOUND_PED_CRASH_CAR	4426
071	CRASH_CAR	SOUND_PED_CRASH_CAR	4427
072	CRASH_CAR	SOUND_PED_CRASH_CAR	4422
073	CRASH_CAR	SOUND_PED_CRASH_CAR	4423
074	CRASH_CAR	SOUND_PED_CRASH_CAR	4424
075	DODGE	SOUND_PED_EVADE	4436
076	DODGE	SOUND_PED_EVADE	4437
077	DODGE	SOUND_PED_EVADE	4438
078	DODGE	SOUND_PED_EVADE	4439
079	DODGE	SOUND_PED_EVADE	4440
080	DODGE	SOUND_PED_EVADE	4441
081	DODGE	SOUND_PED_EVADE	4442
082	DODGE	SOUND_PED_EVADE	4436
083	DODGE	SOUND_PED_EVADE	4437
084	DODGE	SOUND_PED_EVADE	4438
085	DODGE	SOUND_PED_EVADE	4439
086	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
087	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
088	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
089	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
090	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
091	GUN_RUN	SOUND_PED_FLEE_RUN	4472
092	GUN_RUN	SOUND_PED_FLEE_RUN	4473
093	GUN_RUN	SOUND_PED_FLEE_RUN	4474
094	GUN_RUN	SOUND_PED_FLEE_RUN	4475
095	GUN_RUN	SOUND_PED_FLEE_RUN	4476
096	GUN_RUN	SOUND_PED_FLEE_RUN	4477
097	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4459
098	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4460
099	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4461
100	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4462
101	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4463
102	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4464
103	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4465
104	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4466
105	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4459
106	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4460
107	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	4461
108	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4459
109	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4460
110	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4461
111	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4462
112	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4463
113	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4464
114	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4465
115	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4466
116	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4459
117	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	4460
118	LIKE_DISMISS_REPLY	-	silence
119	LIKE_DISMISS_REPLY	-	silence
120	LIKE_DISMISS_REPLY	-	silence
121	LIKE_DISMISS_REPLY	-	silence
122	LIKE_DISMISS_REPLY	-	silence
123	LIKE_DISMISS_REPLY	-	silence
124	LIKE_DISMISS_REPLY	-	silence
125	MUGGED	SOUND_PED_ROBBED	4469
126	MUGGED	SOUND_PED_ROBBED	4470
127	MUGGED	SOUND_PED_ROBBED	4471
128	MUGGED	SOUND_PED_ROBBED	4469
129	MUGGED	SOUND_PED_ROBBED	4470
