GEN HMOST <- VC HMOST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	5784
002	BAR_CHAT	SOUND_PED_CHAT	5785
003	BAR_CHAT	SOUND_PED_CHAT	5786
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5760
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5761
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5762
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5763
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5764
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5765
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5766
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5760
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5761
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5762
014	BUMP	SOUND_PED_PED_COLLISION	5767
015	BUMP	SOUND_PED_PED_COLLISION	5768
016	BUMP	SOUND_PED_PED_COLLISION	5769
017	BUMP	SOUND_PED_PED_COLLISION	5770
018	BUMP	SOUND_PED_PED_COLLISION	5771
019	BUMP	SOUND_PED_PED_COLLISION	5772
020	BUMP	SOUND_PED_PED_COLLISION	5773
021	BUMP	SOUND_PED_PED_COLLISION	5774
022	BUMP	SOUND_PED_PED_COLLISION	5775
023	BUMP	SOUND_PED_PED_COLLISION	5776
024	BUMP	SOUND_PED_PED_COLLISION	5767
025	CHAT	SOUND_PED_CHAT	5784
026	CHAT	SOUND_PED_CHAT	5785
027	CHAT	SOUND_PED_CHAT	5786
028	CHAT	SOUND_PED_CHAT	5787
029	CHAT	SOUND_PED_CHAT	5788
030	CHAT	SOUND_PED_CHAT	5789
031	CHAT	SOUND_PED_CHAT	5790
032	CHAT	SOUND_PED_CHAT	5791
033	CONV_DISL_SMELL	-	silence
034	CONV_DISL_SMELL	-	silence
035	CONV_DISL_SMELL	-	silence
036	CONV_DISL_SMELL	-	silence
037	CONV_DISL_TATTOO	-	silence
038	CONV_DISL_TATTOO	-	silence
039	CONV_DISL_TATTOO	-	silence
040	CONV_DISL_TATTOO	-	silence
041	CONV_DISL_WEATHER	-	silence
042	CONV_DISL_WEATHER	-	silence
043	CONV_DISL_WEATHER	-	silence
044	CONV_DISL_WEATHER	-	silence
045	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5834
046	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5835
047	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5834
048	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5835
049	CONV_LIKE_SMELL	-	silence
050	CONV_LIKE_SMELL	-	silence
051	CONV_LIKE_SMELL	-	silence
052	CONV_LIKE_TATTOO	-	silence
053	CONV_LIKE_TATTOO	-	silence
054	CONV_LIKE_TATTOO	-	silence
055	CONV_LIKE_TATTOO	-	silence
056	CONV_LIKE_WEATHER	-	silence
057	CONV_LIKE_WEATHER	-	silence
058	CONV_LIKE_WEATHER	-	silence
059	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	5813
060	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	5814
061	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	5815
062	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	5816
063	CRASH_CAR	SOUND_PED_CRASH_CAR	5777
064	CRASH_CAR	SOUND_PED_CRASH_CAR	5778
065	CRASH_CAR	SOUND_PED_CRASH_CAR	5779
066	CRASH_CAR	SOUND_PED_CRASH_CAR	5780
067	CRASH_CAR	SOUND_PED_CRASH_CAR	5781
068	CRASH_CAR	SOUND_PED_CRASH_CAR	5782
069	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5813
070	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5814
071	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5815
072	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5816
073	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5817
074	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5818
075	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	5819
076	DODGE	SOUND_PED_EVADE	5795
077	DODGE	SOUND_PED_EVADE	5796
078	DODGE	SOUND_PED_EVADE	5797
079	DODGE	SOUND_PED_EVADE	5798
080	DODGE	SOUND_PED_EVADE	5799
081	DODGE	SOUND_PED_EVADE	5800
082	DODGE	SOUND_PED_EVADE	5801
083	DODGE	SOUND_PED_EVADE	5802
084	DODGE	SOUND_PED_EVADE	5803
085	DODGE	SOUND_PED_EVADE	5795
086	DRUGS_BUY	-	silence
087	DRUGS_BUY	-	silence
088	DRUGS_BUY	-	silence
089	DRUGS_BUY	-	silence
090	DRUGS_BUY	-	silence
091	DRUGS_BUY	-	silence
092	DRUGS_BUY	-	silence
093	DRUGS_BUY	-	silence
094	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	5804
095	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	5804
096	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	5804
097	FIGHT	SOUND_PED_ATTACK	5805
098	FIGHT	SOUND_PED_ATTACK	5806
099	FIGHT	SOUND_PED_ATTACK	5807
100	FIGHT	SOUND_PED_ATTACK	5808
101	FIGHT	SOUND_PED_ATTACK	5809
102	FIGHT	SOUND_PED_ATTACK	5810
103	FIGHT	SOUND_PED_ATTACK	5811
104	FIGHT	SOUND_PED_ATTACK	5812
105	FIGHT	SOUND_PED_ATTACK	5805
106	GUN_COOL	SOUND_PED_HANDS_UP	5820
107	GUN_COOL	SOUND_PED_HANDS_UP	5821
108	GUN_COOL	SOUND_PED_HANDS_UP	5822
109	GUN_COOL	SOUND_PED_HANDS_UP	5823
110	GUN_COOL	SOUND_PED_HANDS_UP	5824
111	GUN_COOL	SOUND_PED_HANDS_UP	5820
112	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5825
113	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5826
114	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5827
