GEN HMYBE <- VC HMYBE voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	4835
002	BUMP	SOUND_PED_PED_COLLISION	4836
003	BUMP	SOUND_PED_PED_COLLISION	4837
004	BUMP	SOUND_PED_PED_COLLISION	4838
005	BUMP	SOUND_PED_PED_COLLISION	4839
006	BUMP	SOUND_PED_PED_COLLISION	4840
007	BUMP	SOUND_PED_PED_COLLISION	4841
008	BUMP	SOUND_PED_PED_COLLISION	4842
009	BUMP	SOUND_PED_PED_COLLISION	4843
010	BUMP	SOUND_PED_PED_COLLISION	4844
011	BUMP	SOUND_PED_PED_COLLISION	4835
012	CHAT	SOUND_PED_CHAT	4852
013	CHAT	SOUND_PED_CHAT	4853
014	CHAT	SOUND_PED_CHAT	4854
015	CHAT	SOUND_PED_CHAT	4855
016	CHAT	SOUND_PED_CHAT	4856
017	CHAT	SOUND_PED_CHAT	4857
018	CHAT	SOUND_PED_CHAT	4858
019	CHAT	SOUND_PED_CHAT	4859
020	CONV_DISL_HAIR	-	silence
021	CONV_DISL_HAIR	-	silence
022	CONV_DISL_HAIR	-	silence
023	CONV_DISL_HAIR	-	silence
024	CONV_DISL_PHYS	-	silence
025	CONV_DISL_PHYS	-	silence
026	CONV_DISL_PHYS	-	silence
027	CONV_DISL_PHYS	-	silence
028	CONV_DISL_SMELL	-	silence
029	CONV_DISL_SMELL	-	silence
030	CONV_DISL_SMELL	-	silence
031	CONV_DISL_SMELL	-	silence
032	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4914
033	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4915
034	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4916
035	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4914
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4915
037	CONV_LIKE_HAIR	-	silence
038	CONV_LIKE_HAIR	-	silence
039	CONV_LIKE_HAIR	-	silence
040	CONV_LIKE_HAIR	-	silence
041	CONV_LIKE_PHYS	-	silence
042	CONV_LIKE_PHYS	-	silence
043	CONV_LIKE_PHYS	-	silence
044	CONV_LIKE_PHYS	-	silence
045	CONV_LIKE_SMELL	-	silence
046	CONV_LIKE_SMELL	-	silence
047	CONV_LIKE_SMELL	-	silence
048	CONV_LIKE_SMELL	-	silence
049	DODGE	SOUND_PED_EVADE	4862
050	DODGE	SOUND_PED_EVADE	4863
051	DODGE	SOUND_PED_EVADE	4864
052	DODGE	SOUND_PED_EVADE	4865
053	DODGE	SOUND_PED_EVADE	4866
054	DODGE	SOUND_PED_EVADE	4867
055	DODGE	SOUND_PED_EVADE	4868
056	DODGE	SOUND_PED_EVADE	4862
057	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	4869
058	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	4870
059	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	4871
060	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	4872
061	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	4873
062	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	4869
063	FIGHT	SOUND_PED_ATTACK	4874
064	FIGHT	SOUND_PED_ATTACK	4875
065	FIGHT	SOUND_PED_ATTACK	4876
066	FIGHT	SOUND_PED_ATTACK	4877
067	FIGHT	SOUND_PED_ATTACK	4878
068	FIGHT	SOUND_PED_ATTACK	4879
069	FIGHT	SOUND_PED_ATTACK	4880
070	FIGHT	SOUND_PED_ATTACK	4881
071	FIGHT	SOUND_PED_ATTACK	4874
072	FIGHT	SOUND_PED_ATTACK	4875
073	GUN_RUN	SOUND_PED_FLEE_RUN	silence
074	GUN_RUN	SOUND_PED_FLEE_RUN	silence
075	GUN_RUN	SOUND_PED_FLEE_RUN	silence
076	GUN_RUN	SOUND_PED_FLEE_RUN	silence
077	GUN_RUN	SOUND_PED_FLEE_RUN	silence
078	GUN_RUN	SOUND_PED_FLEE_RUN	silence
079	GUN_RUN	SOUND_PED_FLEE_RUN	silence
080	LIKE_DISMISS_REPLY	-	silence
081	LIKE_DISMISS_REPLY	-	silence
082	LIKE_DISMISS_REPLY	-	silence
083	LIKE_DISMISS_REPLY	-	silence
084	LIKE_DISMISS_REPLY	-	silence
085	PCONV_AGREE_BAD	-	silence
086	PCONV_AGREE_BAD	-	silence
087	PCONV_AGREE_BAD	-	silence
088	PCONV_AGREE_BAD	-	silence
089	PCONV_AGREE_GOOD	-	silence
090	PCONV_AGREE_GOOD	-	silence
091	PCONV_AGREE_GOOD	-	silence
092	PCONV_AGREE_GOOD	-	silence
093	PCONV_ANS_NO	-	silence
094	PCONV_ANS_NO	-	silence
095	PCONV_ANS_NO	-	silence
096	PCONV_ANS_NO	-	silence
097	PCONV_DISMISS	-	silence
098	PCONV_DISMISS	-	silence
099	PCONV_DISMISS	-	silence
100	PCONV_DISMISS	-	silence
101	PCONV_GREET_FEM	-	silence
102	PCONV_GREET_FEM	-	silence
103	PCONV_GREET_FEM	-	silence
104	PCONV_GREET_MALE	-	silence
105	PCONV_GREET_MALE	-	silence
106	PCONV_GREET_MALE	-	silence
107	PCONV_GREET_MALE	-	silence
108	PCONV_PART_FEM	-	silence
109	PCONV_PART_FEM	-	silence
110	PCONV_PART_FEM	-	silence
111	PCONV_PART_FEM	-	silence
112	PCONV_PART_MALE	-	silence
113	PCONV_PART_MALE	-	silence
114	PCONV_PART_MALE	-	silence
115	PCONV_PART_MALE	-	silence
116	PCONV_QUESTION	-	silence
117	PCONV_QUESTION	-	silence
118	PCONV_QUESTION	-	silence
119	PCONV_QUESTION	-	silence
120	PCONV_STATE_BAD	-	silence
121	PCONV_STATE_BAD	-	silence
122	PCONV_STATE_BAD	-	silence
123	PCONV_STATE_BAD	-	silence
124	PCONV_STATE_GOOD	-	silence
125	PCONV_STATE_GOOD	-	silence
126	PCONV_STATE_GOOD	-	silence
127	PCONV_STATE_GOOD	-	silence
128	SAVED	-	silence
129	SAVED	-	silence
130	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4917
131	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4917
132	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4917
133	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4917
