GEN HMYRI <- VC HMYRI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5839
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5840
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5841
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5842
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5843
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5844
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5845
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5839
009	BUMP	SOUND_PED_PED_COLLISION	5846
010	BUMP	SOUND_PED_PED_COLLISION	5847
011	BUMP	SOUND_PED_PED_COLLISION	5848
012	BUMP	SOUND_PED_PED_COLLISION	5849
013	BUMP	SOUND_PED_PED_COLLISION	5850
014	BUMP	SOUND_PED_PED_COLLISION	5851
015	BUMP	SOUND_PED_PED_COLLISION	5852
016	BUMP	SOUND_PED_PED_COLLISION	5853
017	BUMP	SOUND_PED_PED_COLLISION	5854
018	BUMP	SOUND_PED_PED_COLLISION	5855
019	BUMP	SOUND_PED_PED_COLLISION	5846
020	BUMP	SOUND_PED_PED_COLLISION	5847
021	BUMP	SOUND_PED_PED_COLLISION	5848
022	BUMP	SOUND_PED_PED_COLLISION	5849
023	BUMP	SOUND_PED_PED_COLLISION	5850
024	BUMP	SOUND_PED_PED_COLLISION	5851
025	CHAT	SOUND_PED_CHAT	silence
026	CHAT	SOUND_PED_CHAT	silence
027	CHAT	SOUND_PED_CHAT	silence
028	CHAT	SOUND_PED_CHAT	silence
029	CHAT	SOUND_PED_CHAT	silence
030	CHAT	SOUND_PED_CHAT	silence
031	CHAT	SOUND_PED_CHAT	silence
032	CHAT	SOUND_PED_CHAT	silence
033	CHAT	SOUND_PED_CHAT	silence
034	CONV_DISL_CAR	-	silence
035	CONV_DISL_CAR	-	silence
036	CONV_DISL_CAR	-	silence
037	CONV_DISL_CAR	-	silence
038	CONV_DISL_CAR	-	silence
039	CONV_DISL_CLOTHES	-	silence
040	CONV_DISL_CLOTHES	-	silence
041	CONV_DISL_CLOTHES	-	silence
042	CONV_DISL_CLOTHES	-	silence
043	CONV_DISL_CLOTHES	-	silence
044	CONV_DISL_HAIR	-	silence
045	CONV_DISL_HAIR	-	silence
046	CONV_DISL_HAIR	-	silence
047	CONV_DISL_HAIR	-	silence
048	CONV_DISL_HAIR	-	silence
049	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
050	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
051	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
052	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
053	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
054	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
055	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
056	CONV_LIKE_CAR	-	silence
057	CONV_LIKE_CAR	-	silence
058	CONV_LIKE_CLOTHES	-	silence
059	CONV_LIKE_CLOTHES	-	silence
060	CONV_LIKE_CLOTHES	-	silence
061	CONV_LIKE_CLOTHES	-	silence
062	CONV_LIKE_HAIR	-	silence
063	CONV_LIKE_HAIR	-	silence
064	CONV_LIKE_HAIR	-	silence
065	CONV_LIKE_HAIR	-	silence
066	CRASH_CAR	SOUND_PED_CRASH_CAR	5856
067	CRASH_CAR	SOUND_PED_CRASH_CAR	5857
068	CRASH_CAR	SOUND_PED_CRASH_CAR	5858
069	CRASH_CAR	SOUND_PED_CRASH_CAR	5859
070	CRASH_CAR	SOUND_PED_CRASH_CAR	5860
071	CRASH_CAR	SOUND_PED_CRASH_CAR	5861
072	CRASH_CAR	SOUND_PED_CRASH_CAR	5862
073	CRASH_CAR	SOUND_PED_CRASH_CAR	5863
074	CRASH_CAR	SOUND_PED_CRASH_CAR	5856
075	DODGE	SOUND_PED_EVADE	5864
076	DODGE	SOUND_PED_EVADE	5865
077	DODGE	SOUND_PED_EVADE	5866
078	DODGE	SOUND_PED_EVADE	5867
079	DODGE	SOUND_PED_EVADE	5868
080	DODGE	SOUND_PED_EVADE	5869
081	DODGE	SOUND_PED_EVADE	5870
082	DODGE	SOUND_PED_EVADE	5871
083	DODGE	SOUND_PED_EVADE	5872
084	DODGE	SOUND_PED_EVADE	5864
085	DODGE	SOUND_PED_EVADE	5865
086	GUN_RUN	SOUND_PED_FLEE_RUN	silence
087	GUN_RUN	SOUND_PED_FLEE_RUN	silence
088	GUN_RUN	SOUND_PED_FLEE_RUN	silence
089	GUN_RUN	SOUND_PED_FLEE_RUN	silence
090	GUN_RUN	SOUND_PED_FLEE_RUN	silence
091	GUN_RUN	SOUND_PED_FLEE_RUN	silence
092	GUN_RUN	SOUND_PED_FLEE_RUN	silence
093	GUN_RUN	SOUND_PED_FLEE_RUN	silence
094	GUN_RUN	SOUND_PED_FLEE_RUN	silence
095	GUN_RUN	SOUND_PED_FLEE_RUN	silence
096	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5897
097	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5898
098	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5899
099	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5900
100	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5901
101	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5902
102	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5903
103	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5904
104	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5897
105	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5898
106	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5899
107	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5900
108	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5901
109	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5902
110	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5897
111	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5898
112	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5899
113	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5900
114	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5901
115	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5902
116	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5903
117	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5904
118	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5897
119	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5898
120	LIKE_DISMISS_REPLY	-	silence
121	LIKE_DISMISS_REPLY	-	silence
122	LIKE_DISMISS_REPLY	-	silence
123	LIKE_DISMISS_REPLY	-	silence
124	LIKE_DISMISS_REPLY	-	silence
125	LIKE_DISMISS_REPLY	-	silence
126	MUGGED	SOUND_PED_ROBBED	5908
127	MUGGED	SOUND_PED_ROBBED	5908
128	MUGGED	SOUND_PED_ROBBED	5908
129	MUGGED	SOUND_PED_ROBBED	5908
130	MUGGED	SOUND_PED_ROBBED	5908
131	MUGGED	SOUND_PED_ROBBED	5908
132	MUGGED	SOUND_PED_ROBBED	5908
133	PCONV_AGREE_BAD	-	silence
134	PCONV_AGREE_BAD	-	silence
135	PCONV_AGREE_BAD	-	silence
136	PCONV_AGREE_BAD	-	silence
137	PCONV_AGREE_GOOD	-	silence
138	PCONV_AGREE_GOOD	-	silence
139	PCONV_AGREE_GOOD	-	silence
140	PCONV_AGREE_GOOD	-	silence
141	PCONV_ANS_NO	-	silence
142	PCONV_ANS_NO	-	silence
143	PCONV_ANS_NO	-	silence
144	PCONV_ANS_NO	-	silence
145	PCONV_DISMISS	-	silence
146	PCONV_DISMISS	-	silence
147	PCONV_DISMISS	-	silence
148	PCONV_DISMISS	-	silence
149	PCONV_GREET_FEM	-	silence
150	PCONV_GREET_FEM	-	silence
151	PCONV_GREET_FEM	-	silence
152	PCONV_GREET_MALE	-	silence
153	PCONV_GREET_MALE	-	silence
154	PCONV_GREET_MALE	-	silence
155	PCONV_PART_FEM	-	silence
156	PCONV_PART_FEM	-	silence
157	PCONV_PART_FEM	-	silence
158	PCONV_PART_FEM	-	silence
159	PCONV_PART_MALE	-	silence
160	PCONV_PART_MALE	-	silence
161	PCONV_PART_MALE	-	silence
162	PCONV_PART_MALE	-	silence
163	PCONV_QUESTION	-	silence
164	PCONV_QUESTION	-	silence
165	PCONV_QUESTION	-	silence
166	PCONV_STATE_BAD	-	silence
167	PCONV_STATE_BAD	-	silence
168	PCONV_STATE_BAD	-	silence
169	PCONV_STATE_GOOD	-	silence
170	PCONV_STATE_GOOD	-	silence
171	PCONV_STATE_GOOD	-	silence
172	PCONV_STATE_GOOD	-	silence
173	SAVED	-	silence
174	SAVED	-	silence
175	SAVED	-	silence
176	SAVED	-	silence
177	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
178	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
179	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
180	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
181	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
182	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
183	SPRAYED	-	silence
184	SPRAYED	-	silence
185	SPRAYED	-	silence
186	SPRAYED	-	silence
187	SPRAYED	-	silence
188	SPRAYED	-	silence
189	SPRAYED	-	silence
190	TAXI_BAIL	-	silence
191	TAXI_BAIL	-	silence
192	TAXI_BAIL	-	silence
193	TAXI_BAIL	-	silence
194	TAXI_BAIL	-	silence
195	TAXI_HAIL	SOUND_PED_TAXI_WAIT	silence
196	TAXI_HAIL	SOUND_PED_TAXI_WAIT	silence
197	TAXI_HAIL	SOUND_PED_TAXI_WAIT	silence
198	TAXI_HIT_PED	-	silence
199	TAXI_HIT_PED	-	silence
200	TAXI_HIT_PED	-	silence
201	TAXI_HIT_PED	-	silence
202	TAXI_HIT_PED	-	silence
203	TAXI_HIT_PED	-	silence
204	TAXI_START	-	silence
205	TAXI_START	-	silence
206	TAXI_START	-	silence
207	TAXI_START	-	silence
208	TAXI_START	-	silence
209	TAXI_SUCCESS	-	silence
210	TAXI_SUCCESS	-	silence
211	TAXI_SUCCESS	-	silence
212	TAXI_SUCCESS	-	silence
213	TAXI_TIP	-	silence
214	TAXI_TIP	-	silence
215	TRAPPED	SOUND_PED_HANDS_COWER	5890
216	TRAPPED	SOUND_PED_HANDS_COWER	5891
217	TRAPPED	SOUND_PED_HANDS_COWER	5892
218	TRAPPED	SOUND_PED_HANDS_COWER	5893
219	TRAPPED	SOUND_PED_HANDS_COWER	5894
220	TRAPPED	SOUND_PED_HANDS_COWER	5895
221	VALET_BAD	-	silence
222	VALET_BAD	-	silence
223	VALET_BAD	-	silence
224	VALET_BAD	-	silence
225	VALET_BAD	-	silence
226	VALET_BAD	-	silence
227	VALET_GOOD	-	silence
228	VALET_GOOD	-	silence
229	VALET_GOOD	-	silence
230	VALET_GOOD	-	silence
231	VALET_GOOD	-	silence
232	VALET_PARK_CAR	-	silence
233	VALET_PARK_CAR	-	silence
234	VALET_PARK_CAR	-	silence
235	VALET_PARK_CAR	-	silence
236	VALET_PARK_CAR	-	silence
