GEN HMYST <- VC HMYST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
011	BUMP	SOUND_PED_PED_COLLISION	7922
012	BUMP	SOUND_PED_PED_COLLISION	7923
013	BUMP	SOUND_PED_PED_COLLISION	7924
014	BUMP	SOUND_PED_PED_COLLISION	7925
015	BUMP	SOUND_PED_PED_COLLISION	7926
016	BUMP	SOUND_PED_PED_COLLISION	7927
017	BUMP	SOUND_PED_PED_COLLISION	7928
018	BUMP	SOUND_PED_PED_COLLISION	7929
019	BUMP	SOUND_PED_PED_COLLISION	7930
020	BUMP	SOUND_PED_PED_COLLISION	7931
021	BUMP	SOUND_PED_PED_COLLISION	7932
022	BUMP	SOUND_PED_PED_COLLISION	7933
023	CHAT	SOUND_PED_CHAT	7935
024	CHAT	SOUND_PED_CHAT	7936
025	CHAT	SOUND_PED_CHAT	7937
026	CHAT	SOUND_PED_CHAT	7938
027	CHAT	SOUND_PED_CHAT	7939
028	CHAT	SOUND_PED_CHAT	7940
029	CHAT	SOUND_PED_CHAT	7941
030	CHAT	SOUND_PED_CHAT	7942
031	CHAT	SOUND_PED_CHAT	7943
032	CONV_DISL_CLOTHES	-	silence
033	CONV_DISL_CLOTHES	-	silence
034	CONV_DISL_CLOTHES	-	silence
035	CONV_DISL_CLOTHES	-	silence
036	CONV_DISL_PHYS	-	silence
037	CONV_DISL_PHYS	-	silence
038	CONV_DISL_PHYS	-	silence
039	CONV_DISL_PHYS	-	silence
040	CONV_DISL_SMELL	-	silence
041	CONV_DISL_SMELL	-	silence
042	CONV_DISL_SMELL	-	silence
043	CONV_DISL_SMELL	-	silence
044	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
045	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
046	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
047	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
048	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
049	CONV_LIKE_CLOTHES	-	silence
050	CONV_LIKE_CLOTHES	-	silence
051	CONV_LIKE_CLOTHES	-	silence
052	CONV_LIKE_CLOTHES	-	silence
053	CONV_LIKE_PHYS	-	silence
054	CONV_LIKE_PHYS	-	silence
055	CONV_LIKE_PHYS	-	silence
056	CONV_LIKE_PHYS	-	silence
057	CONV_LIKE_SMELL	-	silence
058	CONV_LIKE_SMELL	-	silence
059	CONV_LIKE_SMELL	-	silence
060	CONV_LIKE_SMELL	-	silence
061	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	7954
062	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	7955
063	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	7956
064	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	7957
065	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	7958
066	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
067	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
068	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
069	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
070	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
071	CRASH_CAR	SOUND_PED_CRASH_CAR	silence
072	DODGE	SOUND_PED_EVADE	7946
073	DODGE	SOUND_PED_EVADE	7947
074	DODGE	SOUND_PED_EVADE	7948
075	DODGE	SOUND_PED_EVADE	7949
076	DODGE	SOUND_PED_EVADE	7950
077	DODGE	SOUND_PED_EVADE	7951
078	DODGE	SOUND_PED_EVADE	7946
079	DODGE	SOUND_PED_EVADE	7947
080	DODGE	SOUND_PED_EVADE	7948
081	DODGE	SOUND_PED_EVADE	7949
082	DODGE	SOUND_PED_EVADE	7950
083	DRUGS_BUY	-	silence
084	DRUGS_BUY	-	silence
085	DRUGS_BUY	-	silence
086	DRUGS_BUY	-	silence
087	DRUGS_BUY	-	silence
088	DRUGS_BUY	-	silence
089	DRUGS_BUY	-	silence
090	EYEING_PED	SOUND_PED_CHAT_SEXY	7952
091	EYEING_PED	SOUND_PED_CHAT_SEXY	7953
092	EYEING_PED	SOUND_PED_CHAT_SEXY	7952
093	EYEING_PED	SOUND_PED_CHAT_SEXY	7953
094	EYEING_PED	SOUND_PED_CHAT_SEXY	7952
095	EYEING_PED	SOUND_PED_CHAT_SEXY	7953
096	FIGHT	SOUND_PED_ATTACK	silence
097	FIGHT	SOUND_PED_ATTACK	silence
098	FIGHT	SOUND_PED_ATTACK	silence
099	FIGHT	SOUND_PED_ATTACK	silence
100	FIGHT	SOUND_PED_ATTACK	silence
101	FIGHT	SOUND_PED_ATTACK	silence
102	FIGHT	SOUND_PED_ATTACK	silence
103	FIGHT	SOUND_PED_ATTACK	silence
104	FIGHT	SOUND_PED_ATTACK	silence
105	FIGHT	SOUND_PED_ATTACK	silence
106	FIGHT	SOUND_PED_ATTACK	silence
107	FIGHT	SOUND_PED_ATTACK	silence
108	FIGHT	SOUND_PED_ATTACK	silence
109	GUN_COOL	SOUND_PED_HANDS_UP	silence
110	GUN_COOL	SOUND_PED_HANDS_UP	silence
111	GUN_COOL	SOUND_PED_HANDS_UP	silence
112	GUN_COOL	SOUND_PED_HANDS_UP	silence
113	GUN_COOL	SOUND_PED_HANDS_UP	silence
114	GUN_COOL	SOUND_PED_HANDS_UP	silence
115	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
116	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
117	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
118	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
119	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
120	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
121	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
122	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
123	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
124	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
125	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	silence
126	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	silence
127	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	silence
128	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	silence
