GEN MALE01 <- VC MALE01 voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	1954
002	BAR_CHAT	SOUND_PED_CHAT	1955
003	BAR_CHAT	SOUND_PED_CHAT	1956
004	BAR_CHAT	SOUND_PED_CHAT	1957
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	1898
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	1899
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	1900
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	1901
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	1902
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	1903
011	BUMP	SOUND_PED_PED_COLLISION	1914
012	BUMP	SOUND_PED_PED_COLLISION	1915
013	BUMP	SOUND_PED_PED_COLLISION	1916
014	BUMP	SOUND_PED_PED_COLLISION	1917
015	BUMP	SOUND_PED_PED_COLLISION	1918
016	BUMP	SOUND_PED_PED_COLLISION	1919
017	CHAT	SOUND_PED_CHAT	1954
018	CHAT	SOUND_PED_CHAT	1955
019	CHAT	SOUND_PED_CHAT	1956
020	CHAT	SOUND_PED_CHAT	1957
021	CHAT	SOUND_PED_CHAT	1958
022	CHAT	SOUND_PED_CHAT	1959
023	CHAT	SOUND_PED_CHAT	1960
024	CHAT	SOUND_PED_CHAT	1961
025	CONV_DISL_CAR	-	silence
026	CONV_DISL_CAR	-	silence
027	CONV_DISL_CAR	-	silence
028	CONV_DISL_CAR	-	silence
029	CONV_DISL_CLOTHES	-	silence
030	CONV_DISL_CLOTHES	-	silence
031	CONV_DISL_CLOTHES	-	silence
032	CONV_DISL_SHOES	-	silence
033	CONV_DISL_SHOES	-	silence
034	CONV_DISL_SHOES	-	silence
035	CONV_DISL_SHOES	-	silence
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	2070
037	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	2071
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	2072
039	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	2073
040	CONV_LIKE_CAR	-	silence
041	CONV_LIKE_CAR	-	silence
042	CONV_LIKE_CAR	-	silence
043	CONV_LIKE_CAR	-	silence
044	CONV_LIKE_CLOTHES	-	silence
045	CONV_LIKE_CLOTHES	-	silence
046	CONV_LIKE_CLOTHES	-	silence
047	CONV_LIKE_CLOTHES	-	silence
048	CONV_LIKE_SHOES	-	silence
049	CONV_LIKE_SHOES	-	silence
050	CONV_LIKE_SHOES	-	silence
051	CONV_LIKE_SHOES	-	silence
052	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	2020
053	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	2021
054	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	2022
055	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	2023
056	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	2024
057	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	2025
058	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	2026
059	CRASH_CAR	SOUND_PED_CRASH_CAR	1939
060	CRASH_CAR	SOUND_PED_CRASH_CAR	1940
061	CRASH_CAR	SOUND_PED_CRASH_CAR	1941
062	CRASH_CAR	SOUND_PED_CRASH_CAR	1942
063	CRASH_CAR	SOUND_PED_CRASH_CAR	1943
064	CRASH_CAR	SOUND_PED_CRASH_CAR	1944
065	CRASH_CAR	SOUND_PED_CRASH_CAR	1945
066	CRASH_CAR	SOUND_PED_CRASH_CAR	1946
067	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	2020
068	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	2021
069	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	2022
070	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	2023
071	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	2024
072	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	2025
073	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	2026
074	DANCE_IMPR_HIGH	-	silence
075	DANCE_IMPR_HIGH	-	silence
076	DANCE_IMPR_HIGH	-	silence
077	DANCE_IMPR_HIGH	-	silence
078	DANCE_IMPR_LOW	-	silence
079	DANCE_IMPR_LOW	-	silence
080	DANCE_IMPR_MED	-	silence
081	DANCE_IMPR_MED	-	silence
082	DANCE_IMPR_MED	-	silence
083	DANCE_IMPR_NOT	-	silence
084	DANCE_IMPR_NOT	-	silence
085	DANCE_IMPR_NOT	-	silence
086	DODGE	SOUND_PED_EVADE	1979
087	DODGE	SOUND_PED_EVADE	1980
088	DODGE	SOUND_PED_EVADE	1981
089	DODGE	SOUND_PED_EVADE	1982
090	DODGE	SOUND_PED_EVADE	1983
091	DODGE	SOUND_PED_EVADE	1984
092	DODGE	SOUND_PED_EVADE	1985
093	DODGE	SOUND_PED_EVADE	1986
094	DODGE	SOUND_PED_EVADE	1987
095	DODGE	SOUND_PED_EVADE	1988
096	DRUGS_BUY	-	silence
097	DRUGS_BUY	-	silence
098	DRUGS_BUY	-	silence
099	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
100	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
101	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
102	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
103	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
104	EYEING_PED	SOUND_PED_CHAT_SEXY	silence
105	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
106	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
107	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
108	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
109	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
110	FIGHT	SOUND_PED_ATTACK	2004
111	FIGHT	SOUND_PED_ATTACK	2005
112	FIGHT	SOUND_PED_ATTACK	2006
113	FIGHT	SOUND_PED_ATTACK	2007
114	FIGHT	SOUND_PED_ATTACK	2008
115	FIGHT	SOUND_PED_ATTACK	2009
116	FIGHT	SOUND_PED_ATTACK	2010
117	FIGHT	SOUND_PED_ATTACK	2011
118	GUN_RUN	SOUND_PED_FLEE_RUN	2079
119	GUN_RUN	SOUND_PED_FLEE_RUN	2080
120	GUN_RUN	SOUND_PED_FLEE_RUN	2081
121	GUN_RUN	SOUND_PED_FLEE_RUN	2082
122	GUN_RUN	SOUND_PED_FLEE_RUN	2083
123	GUN_RUN	SOUND_PED_FLEE_RUN	2084
124	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	2045
125	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	2046
126	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	2047
127	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	2048
128	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	2049
129	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	2050
130	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	2045
131	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	2046
132	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	2047
133	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	2048
134	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	2049
135	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	2050
136	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	2051
137	JACKING_CAR	SOUND_PED_CAR_JACKING	silence
138	JACKING_CAR	SOUND_PED_CAR_JACKING	silence
139	JACKING_CAR	SOUND_PED_CAR_JACKING	silence
140	JACKING_CAR	SOUND_PED_CAR_JACKING	silence
141	JACKING_CAR	SOUND_PED_CAR_JACKING	silence
142	JACKING_CAR	SOUND_PED_CAR_JACKING	silence
143	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
144	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
145	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
146	JACKING_GENERIC	SOUND_PED_CAR_JACKING	silence
147	LIKE_DISMISS_REPLY	-	silence
148	LIKE_DISMISS_REPLY	-	silence
149	LIKE_DISMISS_REPLY	-	silence
150	LIKE_DISMISS_REPLY	-	silence
151	MUGGED	SOUND_PED_ROBBED	2075
152	MUGGED	SOUND_PED_ROBBED	2076
