GEN WFORI <- VC WFORI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	silence
002	BAR_CHAT	SOUND_PED_CHAT	silence
003	BAR_CHAT	SOUND_PED_CHAT	silence
004	BAR_CHAT	SOUND_PED_CHAT	silence
005	BAR_CHAT	SOUND_PED_CHAT	silence
006	BAR_CHAT	SOUND_PED_CHAT	silence
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7771
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7772
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7773
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7774
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7775
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7776
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7777
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	7771
015	BUMP	SOUND_PED_PED_COLLISION	7778
016	BUMP	SOUND_PED_PED_COLLISION	7779
017	BUMP	SOUND_PED_PED_COLLISION	7780
018	BUMP	SOUND_PED_PED_COLLISION	7781
019	BUMP	SOUND_PED_PED_COLLISION	7782
020	BUMP	SOUND_PED_PED_COLLISION	7783
021	BUMP	SOUND_PED_PED_COLLISION	7784
022	BUMP	SOUND_PED_PED_COLLISION	7785
023	BUMP	SOUND_PED_PED_COLLISION	7786
024	CHAT	SOUND_PED_CHAT	silence
025	CHAT	SOUND_PED_CHAT	silence
026	CHAT	SOUND_PED_CHAT	silence
027	CHAT	SOUND_PED_CHAT	silence
028	CHAT	SOUND_PED_CHAT	silence
029	CHAT	SOUND_PED_CHAT	silence
030	CHAT	SOUND_PED_CHAT	silence
031	CHAT	SOUND_PED_CHAT	silence
032	CONV_DISL_CAR	-	silence
033	CONV_DISL_CAR	-	silence
034	CONV_DISL_CAR	-	silence
035	CONV_DISL_CLOTHES	-	silence
036	CONV_DISL_CLOTHES	-	silence
037	CONV_DISL_PHYS	-	silence
038	CONV_DISL_PHYS	-	silence
039	CONV_DISL_PHYS	-	silence
040	CONV_DISL_PHYS	-	silence
041	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7837
042	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7838
043	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7837
044	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7838
045	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	7837
046	CONV_LIKE_CAR	-	silence
047	CONV_LIKE_CAR	-	silence
048	CONV_LIKE_CAR	-	silence
049	CONV_LIKE_CAR	-	silence
050	CONV_LIKE_CLOTHES	-	silence
051	CONV_LIKE_CLOTHES	-	silence
052	CONV_LIKE_CLOTHES	-	silence
053	CONV_LIKE_CLOTHES	-	silence
054	CONV_LIKE_PHYS	-	silence
055	CONV_LIKE_PHYS	-	silence
056	CONV_LIKE_PHYS	-	silence
057	CONV_LIKE_PHYS	-	silence
058	CRASH_CAR	SOUND_PED_CRASH_CAR	7789
059	CRASH_CAR	SOUND_PED_CRASH_CAR	7790
