GEN WFOST <- VC WFOST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	8316
002	BAR_CHAT	SOUND_PED_CHAT	8317
003	BAR_CHAT	SOUND_PED_CHAT	8318
004	BAR_CHAT	SOUND_PED_CHAT	8319
005	BAR_CHAT	SOUND_PED_CHAT	8320
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8274
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8275
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8276
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8277
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8278
011	BUMP	SOUND_PED_PED_COLLISION	8286
012	BUMP	SOUND_PED_PED_COLLISION	8287
013	BUMP	SOUND_PED_PED_COLLISION	8288
014	BUMP	SOUND_PED_PED_COLLISION	8289
015	BUMP	SOUND_PED_PED_COLLISION	8290
016	BUMP	SOUND_PED_PED_COLLISION	8291
017	CHAT	SOUND_PED_CHAT	8316
018	CHAT	SOUND_PED_CHAT	8317
019	CHAT	SOUND_PED_CHAT	8318
020	CHAT	SOUND_PED_CHAT	8319
021	CHAT	SOUND_PED_CHAT	8320
022	CHAT	SOUND_PED_CHAT	8321
023	CHAT	SOUND_PED_CHAT	8322
024	CHAT	SOUND_PED_CHAT	8323
025	CONV_DISL_SMELL	-	silence
026	CONV_DISL_SMELL	-	silence
027	CONV_DISL_SMELL	-	silence
028	CONV_DISL_SMELL	-	silence
029	CONV_DISL_TATTOO	-	silence
030	CONV_DISL_TATTOO	-	silence
031	CONV_DISL_WEATHER	-	silence
032	CONV_DISL_WEATHER	-	silence
033	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8366
034	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8367
035	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8368
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8366
037	CONV_LIKE_SMELL	-	silence
