GEN WFYBE <- VC WFYBE voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	7711
002	BUMP	SOUND_PED_PED_COLLISION	7712
003	BUMP	SOUND_PED_PED_COLLISION	7713
004	BUMP	SOUND_PED_PED_COLLISION	7714
005	BUMP	SOUND_PED_PED_COLLISION	7715
006	BUMP	SOUND_PED_PED_COLLISION	7716
007	BUMP	SOUND_PED_PED_COLLISION	7717
008	BUMP	SOUND_PED_PED_COLLISION	7718
009	BUMP	SOUND_PED_PED_COLLISION	7719
010	BUMP	SOUND_PED_PED_COLLISION	7720
011	BUMP	SOUND_PED_PED_COLLISION	7721
012	BUMP	SOUND_PED_PED_COLLISION	7711
013	CHAT	SOUND_PED_CHAT	7728
014	CHAT	SOUND_PED_CHAT	7729
015	CHAT	SOUND_PED_CHAT	7730
016	CHAT	SOUND_PED_CHAT	7731
017	CONV_DISL_HAIR	-	silence
018	CONV_DISL_HAIR	-	silence
019	CONV_DISL_HAIR	-	silence
020	CONV_DISL_PHYS	-	silence
021	CONV_DISL_PHYS	-	silence
022	CONV_DISL_PHYS	-	silence
023	CONV_DISL_PHYS	-	silence
024	CONV_DISL_SMELL	-	silence
025	CONV_DISL_SMELL	-	silence
026	CONV_DISL_SMELL	-	silence
027	CONV_DISL_SMELL	-	silence
028	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
029	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
030	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
031	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
032	CONV_LIKE_HAIR	-	silence
033	CONV_LIKE_HAIR	-	silence
034	CONV_LIKE_HAIR	-	silence
035	CONV_LIKE_PHYS	-	silence
036	CONV_LIKE_PHYS	-	silence
037	CONV_LIKE_PHYS	-	silence
038	CONV_LIKE_SMELL	-	silence
039	CONV_LIKE_SMELL	-	silence
040	CONV_LIKE_SMELL	-	silence
041	CONV_LIKE_SMELL	-	silence
042	DODGE	SOUND_PED_EVADE	7738
043	DODGE	SOUND_PED_EVADE	7739
044	DODGE	SOUND_PED_EVADE	7740
045	DODGE	SOUND_PED_EVADE	7741
