GEN WFYBU <- VC WFYBU voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	silence
002	BAR_CHAT	SOUND_PED_CHAT	silence
003	BAR_CHAT	SOUND_PED_CHAT	silence
004	BAR_CHAT	SOUND_PED_CHAT	silence
005	BAR_CHAT	SOUND_PED_CHAT	silence
006	BAR_CHAT	SOUND_PED_CHAT	silence
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
015	BUMP	SOUND_PED_PED_COLLISION	7271
016	BUMP	SOUND_PED_PED_COLLISION	7272
017	BUMP	SOUND_PED_PED_COLLISION	7273
018	BUMP	SOUND_PED_PED_COLLISION	7274
019	BUMP	SOUND_PED_PED_COLLISION	7275
020	BUMP	SOUND_PED_PED_COLLISION	7276
021	BUMP	SOUND_PED_PED_COLLISION	7277
022	BUMP	SOUND_PED_PED_COLLISION	7278
023	BUMP	SOUND_PED_PED_COLLISION	7279
024	BUMP	SOUND_PED_PED_COLLISION	7280
025	BUMP	SOUND_PED_PED_COLLISION	7281
026	CHAT	SOUND_PED_CHAT	silence
027	CHAT	SOUND_PED_CHAT	silence
028	CHAT	SOUND_PED_CHAT	silence
029	CHAT	SOUND_PED_CHAT	silence
030	CHAT	SOUND_PED_CHAT	silence
031	CHAT	SOUND_PED_CHAT	silence
032	CHAT	SOUND_PED_CHAT	silence
033	CHAT	SOUND_PED_CHAT	silence
034	CHAT	SOUND_PED_CHAT	silence
035	CHAT	SOUND_PED_CHAT	silence
036	CHAT	SOUND_PED_CHAT	silence
037	CHAT	SOUND_PED_CHAT	silence
038	CONV_DISL_CAR	-	silence
039	CONV_DISL_CAR	-	silence
040	CONV_DISL_CAR	-	silence
041	CONV_DISL_CLOTHES	-	silence
042	CONV_DISL_CLOTHES	-	silence
043	CONV_DISL_CLOTHES	-	silence
044	CONV_DISL_PHYS	-	silence
045	CONV_DISL_PHYS	-	silence
046	CONV_DISL_PHYS	-	silence
047	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
048	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
049	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
050	CONV_LIKE_CAR	-	silence
051	CONV_LIKE_CAR	-	silence
052	CONV_LIKE_CAR	-	silence
053	CONV_LIKE_CLOTHES	-	silence
054	CONV_LIKE_CLOTHES	-	silence
055	CONV_LIKE_CLOTHES	-	silence
056	CONV_LIKE_PHYS	-	silence
057	CONV_LIKE_PHYS	-	silence
058	CONV_LIKE_PHYS	-	silence
059	CRASH_CAR	SOUND_PED_CRASH_CAR	7292
