GEN WFYJG <- VC WFYJG voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	7394
002	BUMP	SOUND_PED_PED_COLLISION	7395
003	BUMP	SOUND_PED_PED_COLLISION	7396
004	BUMP	SOUND_PED_PED_COLLISION	7397
005	BUMP	SOUND_PED_PED_COLLISION	7398
006	BUMP	SOUND_PED_PED_COLLISION	7399
007	BUMP	SOUND_PED_PED_COLLISION	7400
008	BUMP	SOUND_PED_PED_COLLISION	7401
009	BUMP	SOUND_PED_PED_COLLISION	7402
010	BUMP	SOUND_PED_PED_COLLISION	7403
011	BUMP	SOUND_PED_PED_COLLISION	7404
012	BUMP	SOUND_PED_PED_COLLISION	7405
013	BUMP	SOUND_PED_PED_COLLISION	7394
014	BUMP	SOUND_PED_PED_COLLISION	7395
015	CHAT	SOUND_PED_CHAT	silence
016	CHAT	SOUND_PED_CHAT	silence
017	CHAT	SOUND_PED_CHAT	silence
018	CHAT	SOUND_PED_CHAT	silence
019	CHAT	SOUND_PED_CHAT	silence
020	CHAT	SOUND_PED_CHAT	silence
021	CHAT	SOUND_PED_CHAT	silence
022	CHAT	SOUND_PED_CHAT	silence
023	CONV_DISL_HAIR	-	silence
024	CONV_DISL_HAIR	-	silence
025	CONV_DISL_HAIR	-	silence
026	CONV_DISL_HAIR	-	silence
027	CONV_DISL_HAIR	-	silence
028	CONV_DISL_PHYS	-	silence
029	CONV_DISL_PHYS	-	silence
030	CONV_DISL_PHYS	-	silence
031	CONV_DISL_PHYS	-	silence
032	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
033	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
034	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
035	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
037	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
039	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
040	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
041	CONV_LIKE_HAIR	-	silence
042	CONV_LIKE_HAIR	-	silence
043	CONV_LIKE_HAIR	-	silence
044	CONV_LIKE_HAIR	-	silence
045	CONV_LIKE_HAIR	-	silence
046	CONV_LIKE_PHYS	-	silence
047	CONV_LIKE_PHYS	-	silence
048	CONV_LIKE_PHYS	-	silence
049	CONV_LIKE_PHYS	-	silence
050	DODGE	SOUND_PED_EVADE	7406
051	DODGE	SOUND_PED_EVADE	7407
052	DODGE	SOUND_PED_EVADE	7408
053	DODGE	SOUND_PED_EVADE	7409
054	DODGE	SOUND_PED_EVADE	7410
055	DODGE	SOUND_PED_EVADE	7411
056	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
057	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
058	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
059	GUN_RUN	SOUND_PED_FLEE_RUN	7418
060	GUN_RUN	SOUND_PED_FLEE_RUN	7419
061	GUN_RUN	SOUND_PED_FLEE_RUN	7420
062	GUN_RUN	SOUND_PED_FLEE_RUN	7421
063	GUN_RUN	SOUND_PED_FLEE_RUN	7422
064	GUN_RUN	SOUND_PED_FLEE_RUN	7423
065	MUGGED	SOUND_PED_ROBBED	silence
066	MUGGED	SOUND_PED_ROBBED	silence
067	MUGGED	SOUND_PED_ROBBED	silence
068	MUGGED	SOUND_PED_ROBBED	silence
069	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	7418
070	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	7419
071	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	7420
072	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	7421
073	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	7422
074	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	7423
075	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	7418
076	SAVED	-	silence
077	SAVED	-	silence
078	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7424
079	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7424
080	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7424
081	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7424
082	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7424
083	SPRAYED	-	silence
084	SPRAYED	-	silence
085	SPRAYED	-	silence
086	SPRAYED	-	silence
087	SPRAYED	-	silence
088	SPRAYED	-	silence
