GEN WFYLG <- VC WFYLG voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	8232
002	BUMP	SOUND_PED_PED_COLLISION	8233
003	BUMP	SOUND_PED_PED_COLLISION	8234
004	BUMP	SOUND_PED_PED_COLLISION	8235
005	BUMP	SOUND_PED_PED_COLLISION	8236
006	BUMP	SOUND_PED_PED_COLLISION	8237
007	BUMP	SOUND_PED_PED_COLLISION	8238
008	BUMP	SOUND_PED_PED_COLLISION	8239
009	BUMP	SOUND_PED_PED_COLLISION	8240
010	BUMP	SOUND_PED_PED_COLLISION	8241
011	BUMP	SOUND_PED_PED_COLLISION	8232
012	BUMP	SOUND_PED_PED_COLLISION	8233
013	BUMP	SOUND_PED_PED_COLLISION	8234
014	BUMP	SOUND_PED_PED_COLLISION	8235
015	CHAT	SOUND_PED_CHAT	8242
016	CHAT	SOUND_PED_CHAT	8243
017	CHAT	SOUND_PED_CHAT	8244
018	CHAT	SOUND_PED_CHAT	8245
019	CHAT	SOUND_PED_CHAT	8246
020	CHAT	SOUND_PED_CHAT	8247
021	CHAT	SOUND_PED_CHAT	8248
022	CHAT	SOUND_PED_CHAT	8249
023	CONV_DISL_HAIR	-	silence
024	CONV_DISL_HAIR	-	silence
025	CONV_DISL_HAIR	-	silence
026	CONV_DISL_HAIR	-	silence
027	CONV_DISL_HAIR	-	silence
028	CONV_DISL_HAIR	-	silence
029	CONV_DISL_PHYS	-	silence
030	CONV_DISL_PHYS	-	silence
031	CONV_DISL_PHYS	-	silence
032	CONV_DISL_PHYS	-	silence
033	CONV_DISL_PHYS	-	silence
034	CONV_DISL_SMELL	-	silence
035	CONV_DISL_SMELL	-	silence
036	CONV_DISL_SMELL	-	silence
037	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
039	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
040	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
