GEN WFYPRO <- VC WFYPR voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	4063
002	BAR_CHAT	SOUND_PED_CHAT	4064
003	BAR_CHAT	SOUND_PED_CHAT	4065
004	BAR_CHAT	SOUND_PED_CHAT	4066
005	BAR_CHAT	SOUND_PED_CHAT	4067
006	BAR_CHAT	SOUND_PED_CHAT	4068
007	BAR_CHAT	SOUND_PED_CHAT	4069
008	BUMP	SOUND_PED_PED_COLLISION	4052
009	BUMP	SOUND_PED_PED_COLLISION	4053
010	BUMP	SOUND_PED_PED_COLLISION	4054
011	BUMP	SOUND_PED_PED_COLLISION	4055
012	BUMP	SOUND_PED_PED_COLLISION	4056
013	BUMP	SOUND_PED_PED_COLLISION	4057
014	BUMP	SOUND_PED_PED_COLLISION	4058
015	BUMP	SOUND_PED_PED_COLLISION	4059
016	BUMP	SOUND_PED_PED_COLLISION	4060
017	BUMP	SOUND_PED_PED_COLLISION	4061
018	BUMP	SOUND_PED_PED_COLLISION	4062
019	BUMP	SOUND_PED_PED_COLLISION	4052
020	BUMP	SOUND_PED_PED_COLLISION	4053
021	BUMP	SOUND_PED_PED_COLLISION	4054
022	BUMP	SOUND_PED_PED_COLLISION	4055
023	CHAT	SOUND_PED_CHAT	4063
024	CHAT	SOUND_PED_CHAT	4064
025	CHAT	SOUND_PED_CHAT	4065
026	CHAT	SOUND_PED_CHAT	4066
027	CHAT	SOUND_PED_CHAT	4067
028	CHAT	SOUND_PED_CHAT	4068
029	CHAT	SOUND_PED_CHAT	4069
030	CHAT	SOUND_PED_CHAT	4070
031	CHAT	SOUND_PED_CHAT	4071
032	CHAT	SOUND_PED_CHAT	4072
033	CHAT	SOUND_PED_CHAT	4073
034	CHAT	SOUND_PED_CHAT	4074
035	CHAT	SOUND_PED_CHAT	4075
036	CHAT	SOUND_PED_CHAT	4076
037	CHAT	SOUND_PED_CHAT	4063
038	CONV_DISL_PHYS	-	silence
039	CONV_DISL_PHYS	-	silence
040	CONV_DISL_PHYS	-	silence
041	CONV_DISL_PHYS	-	silence
042	CONV_DISL_PHYS	-	silence
043	CONV_LIKE_PHYS	-	silence
044	CONV_LIKE_PHYS	-	silence
045	CONV_LIKE_PHYS	-	silence
046	CONV_LIKE_PHYS	-	silence
047	CRIMINAL_PLEAD	-	silence
048	CRIMINAL_PLEAD	-	silence
049	CRIMINAL_PLEAD	-	silence
050	CRIMINAL_PLEAD	-	silence
051	CRIMINAL_PLEAD	-	silence
052	DODGE	SOUND_PED_EVADE	4077
053	DODGE	SOUND_PED_EVADE	4078
054	DODGE	SOUND_PED_EVADE	4079
055	DODGE	SOUND_PED_EVADE	4080
056	DODGE	SOUND_PED_EVADE	4081
057	DODGE	SOUND_PED_EVADE	4082
058	DODGE	SOUND_PED_EVADE	4083
059	DODGE	SOUND_PED_EVADE	4084
060	DODGE	SOUND_PED_EVADE	4085
061	DODGE	SOUND_PED_EVADE	4086
062	DODGE	SOUND_PED_EVADE	4077
063	DRUGS_BUY	-	silence
064	DRUGS_BUY	-	silence
065	DRUGS_BUY	-	silence
066	DRUGS_BUY	-	silence
067	DRUGS_BUY	-	silence
068	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
069	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
070	FIGHT	SOUND_PED_ATTACK	4087
071	FIGHT	SOUND_PED_ATTACK	4088
072	FIGHT	SOUND_PED_ATTACK	4089
073	FIGHT	SOUND_PED_ATTACK	4090
074	FIGHT	SOUND_PED_ATTACK	4091
075	FIGHT	SOUND_PED_ATTACK	4092
076	FIGHT	SOUND_PED_ATTACK	4093
077	FIGHT	SOUND_PED_ATTACK	4094
078	FIGHT	SOUND_PED_ATTACK	4095
079	GIVING_HEAD	-	silence
080	GIVING_HEAD	-	silence
081	GIVING_HEAD	-	silence
082	GIVING_HEAD	-	silence
083	GIVING_HEAD	-	silence
084	HAVING_SEX	-	silence
085	HAVING_SEX	-	silence
086	HAVING_SEX	-	silence
087	HAVING_SEX	-	silence
088	HAVING_SEX	-	silence
089	HAVING_SEX	-	silence
090	HAVING_SEX	-	silence
091	HAVING_SEX	-	silence
092	HAVING_SEX	-	silence
093	HAVING_SEX	-	silence
094	HAVING_SEX	-	silence
095	HAVING_SEX	-	silence
096	HAVING_SEX	-	silence
097	HAVING_SEX	-	silence
098	HAVING_SEX	-	silence
099	HAVING_SEX	-	silence
100	MUGGED	SOUND_PED_ROBBED	4107
101	MUGGED	SOUND_PED_ROBBED	4108
102	MUGGED	SOUND_PED_ROBBED	4107
103	MUGGED	SOUND_PED_ROBBED	4108
104	PCONV_AGREE_BAD	-	silence
105	PCONV_AGREE_BAD	-	silence
106	PCONV_AGREE_BAD	-	silence
107	PCONV_AGREE_BAD	-	silence
108	PCONV_AGREE_BAD	-	silence
109	PCONV_AGREE_GOOD	-	silence
110	PCONV_AGREE_GOOD	-	silence
111	PCONV_AGREE_GOOD	-	silence
112	PCONV_AGREE_GOOD	-	silence
113	PCONV_ANS_NO	-	silence
114	PCONV_ANS_NO	-	silence
115	PCONV_ANS_NO	-	silence
116	PCONV_ANS_NO	-	silence
117	PCONV_DISMISS	-	silence
118	PCONV_DISMISS	-	silence
119	PCONV_DISMISS	-	silence
120	PCONV_PART_FEM	-	silence
121	PCONV_PART_FEM	-	silence
122	PCONV_PART_FEM	-	silence
123	PCONV_PART_FEM	-	silence
124	PCONV_PART_FEM	-	silence
125	PCONV_PART_MALE	-	silence
126	PCONV_PART_MALE	-	silence
127	PCONV_PART_MALE	-	silence
128	PCONV_QUESTION	-	silence
129	PCONV_QUESTION	-	silence
130	PCONV_QUESTION	-	silence
131	PCONV_QUESTION	-	silence
132	PCONV_QUESTION	-	silence
133	SAVED	-	silence
134	SAVED	-	silence
135	SAVED	-	silence
136	SAVED	-	silence
137	SAVED	-	silence
138	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4109
139	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4109
140	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4109
141	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4109
142	SHOCKED	SOUND_PED_ACCIDENTREACTION1	4109
143	SHOP_BROWSE	-	silence
144	SHOP_BROWSE	-	silence
145	SHOP_BROWSE	-	silence
146	SHOP_BROWSE	-	silence
147	SHOP_BROWSE	-	silence
148	SHOP_BUY	-	silence
