GEN WFYRI <- VC WFYRI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5253
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5254
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5255
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5256
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5257
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5258
007	BUMP	SOUND_PED_PED_COLLISION	5261
008	BUMP	SOUND_PED_PED_COLLISION	5262
009	BUMP	SOUND_PED_PED_COLLISION	5263
010	BUMP	SOUND_PED_PED_COLLISION	5264
011	BUMP	SOUND_PED_PED_COLLISION	5265
012	BUMP	SOUND_PED_PED_COLLISION	5266
013	BUMP	SOUND_PED_PED_COLLISION	5267
014	BUMP	SOUND_PED_PED_COLLISION	5268
015	BUMP	SOUND_PED_PED_COLLISION	5269
016	BUMP	SOUND_PED_PED_COLLISION	5270
017	BUMP	SOUND_PED_PED_COLLISION	5261
018	BUMP	SOUND_PED_PED_COLLISION	5262
019	BUMP	SOUND_PED_PED_COLLISION	5263
020	CHAT	SOUND_PED_CHAT	silence
021	CHAT	SOUND_PED_CHAT	silence
022	CHAT	SOUND_PED_CHAT	silence
023	CHAT	SOUND_PED_CHAT	silence
024	CHAT	SOUND_PED_CHAT	silence
025	CHAT	SOUND_PED_CHAT	silence
026	CONV_DISL_CAR	-	silence
027	CONV_DISL_CAR	-	silence
028	CONV_DISL_CLOTHES	-	silence
029	CONV_DISL_CLOTHES	-	silence
030	CONV_DISL_CLOTHES	-	silence
031	CONV_DISL_CLOTHES	-	silence
032	CONV_DISL_HAIR	-	silence
033	CONV_DISL_HAIR	-	silence
034	CONV_DISL_HAIR	-	silence
035	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5311
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5312
037	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5311
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5312
039	CONV_LIKE_CAR	-	silence
040	CONV_LIKE_CAR	-	silence
041	CONV_LIKE_CAR	-	silence
042	CONV_LIKE_CAR	-	silence
043	CONV_LIKE_CLOTHES	-	silence
044	CONV_LIKE_CLOTHES	-	silence
045	CONV_LIKE_CLOTHES	-	silence
046	CONV_LIKE_CLOTHES	-	silence
047	CONV_LIKE_CLOTHES	-	silence
048	CONV_LIKE_HAIR	-	silence
049	CONV_LIKE_HAIR	-	silence
050	CONV_LIKE_HAIR	-	silence
051	CONV_LIKE_HAIR	-	silence
052	CRASH_CAR	SOUND_PED_CRASH_CAR	5271
053	CRASH_CAR	SOUND_PED_CRASH_CAR	5272
054	CRASH_CAR	SOUND_PED_CRASH_CAR	5273
055	CRASH_CAR	SOUND_PED_CRASH_CAR	5274
056	CRASH_CAR	SOUND_PED_CRASH_CAR	5275
057	DODGE	SOUND_PED_EVADE	5280
058	DODGE	SOUND_PED_EVADE	5281
059	DODGE	SOUND_PED_EVADE	5282
060	DODGE	SOUND_PED_EVADE	5283
061	DODGE	SOUND_PED_EVADE	5284
062	DODGE	SOUND_PED_EVADE	5285
063	DODGE	SOUND_PED_EVADE	5286
064	DODGE	SOUND_PED_EVADE	5287
065	DODGE	SOUND_PED_EVADE	5288
066	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
067	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
068	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
069	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
070	GAMB_BJ_HIT	-	silence
071	GAMB_BJ_HIT	-	silence
072	GAMB_BJ_HIT	-	silence
073	GAMB_BJ_HIT	-	silence
074	GAMB_BJ_HIT	-	silence
075	GAMB_BJ_HIT	-	silence
076	GAMB_BJ_HIT	-	silence
077	GAMB_BJ_LOSE	-	silence
078	GAMB_BJ_LOSE	-	silence
079	GAMB_BJ_LOSE	-	silence
080	GAMB_BJ_LOSE	-	silence
081	GAMB_BJ_LOSE	-	silence
082	GAMB_BJ_STAY	-	silence
083	GAMB_BJ_STAY	-	silence
084	GAMB_BJ_STAY	-	silence
085	GAMB_BJ_STAY	-	silence
086	GAMB_BJ_STAY	-	silence
087	GAMB_BJ_STAY	-	silence
088	GAMB_BJ_STAY	-	silence
089	GAMB_BJ_STAY	-	silence
090	GAMB_BJ_WIN	-	silence
091	GAMB_BJ_WIN	-	silence
092	GAMB_BJ_WIN	-	silence
093	GAMB_BJ_WIN	-	silence
094	GAMB_CONGRATS	-	silence
095	GAMB_CONGRATS	-	silence
096	GAMB_CONGRATS	-	silence
097	GAMB_CONGRATS	-	silence
098	GAMB_CONGRATS	-	silence
099	GAMB_ROUL_CHAT	-	silence
100	GAMB_ROUL_CHAT	-	silence
101	GAMB_ROUL_CHAT	-	silence
102	GAMB_ROUL_CHAT	-	silence
103	GAMB_SLOT_WIN	-	silence
104	GAMB_SLOT_WIN	-	silence
105	GAMB_SLOT_WIN	-	silence
106	GAMB_SLOT_WIN	-	silence
107	GAMB_SLOT_WIN	-	silence
108	GUN_RUN	SOUND_PED_FLEE_RUN	5315
109	GUN_RUN	SOUND_PED_FLEE_RUN	5316
110	GUN_RUN	SOUND_PED_FLEE_RUN	5317
111	GUN_RUN	SOUND_PED_FLEE_RUN	5318
112	GUN_RUN	SOUND_PED_FLEE_RUN	5319
113	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5304
114	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5305
115	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5306
116	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5307
117	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5308
118	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5309
119	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5310
120	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5304
121	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5305
122	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5306
123	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	5307
124	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5304
125	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5305
126	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5306
127	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5307
128	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5308
129	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5309
130	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5310
131	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5304
132	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	5305
133	LIKE_DISMISS_REPLY	-	silence
134	LIKE_DISMISS_REPLY	-	silence
135	LIKE_DISMISS_REPLY	-	silence
136	LIKE_DISMISS_REPLY	-	silence
137	LIKE_DISMISS_REPLY	-	silence
138	LIKE_DISMISS_REPLY	-	silence
139	MUGGED	SOUND_PED_ROBBED	5313
140	MUGGED	SOUND_PED_ROBBED	5314
141	MUGGED	SOUND_PED_ROBBED	5313
142	PCONV_AGREE_BAD	-	silence
143	PCONV_AGREE_BAD	-	silence
144	PCONV_AGREE_BAD	-	silence
145	PCONV_AGREE_BAD	-	silence
146	PCONV_AGREE_BAD	-	silence
147	PCONV_AGREE_GOOD	-	silence
148	PCONV_AGREE_GOOD	-	silence
149	PCONV_AGREE_GOOD	-	silence
150	PCONV_ANS_NO	-	silence
151	PCONV_ANS_NO	-	silence
152	PCONV_ANS_NO	-	silence
153	PCONV_DISMISS	-	silence
154	PCONV_DISMISS	-	silence
155	PCONV_DISMISS	-	silence
156	PCONV_DISMISS	-	silence
157	PCONV_GREET_FEM	-	silence
158	PCONV_GREET_FEM	-	silence
159	PCONV_GREET_FEM	-	silence
160	PCONV_GREET_FEM	-	silence
161	PCONV_GREET_MALE	-	silence
162	PCONV_GREET_MALE	-	silence
163	PCONV_GREET_MALE	-	silence
164	PCONV_GREET_MALE	-	silence
165	PCONV_PART_FEM	-	silence
166	PCONV_PART_FEM	-	silence
167	PCONV_PART_FEM	-	silence
168	PCONV_PART_MALE	-	silence
169	PCONV_PART_MALE	-	silence
170	PCONV_PART_MALE	-	silence
171	PCONV_QUESTION	-	silence
172	PCONV_QUESTION	-	silence
173	PCONV_STATE_BAD	-	silence
174	PCONV_STATE_BAD	-	silence
175	PCONV_STATE_BAD	-	silence
176	PCONV_STATE_BAD	-	silence
177	PCONV_STATE_GOOD	-	silence
178	PCONV_STATE_GOOD	-	silence
179	PCONV_STATE_GOOD	-	silence
180	PCONV_STATE_GOOD	-	silence
181	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5315
182	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5316
183	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5317
184	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5318
185	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5319
186	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5315
187	SAVED	-	silence
188	SAVED	-	silence
189	SAVED	-	silence
190	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5320
191	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5320
