GEN WFYST <- VC WFYST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8386
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8387
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8388
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8389
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8390
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8391
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8386
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8387
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	8388
010	BUMP	SOUND_PED_PED_COLLISION	8392
011	BUMP	SOUND_PED_PED_COLLISION	8393
012	BUMP	SOUND_PED_PED_COLLISION	8394
013	BUMP	SOUND_PED_PED_COLLISION	8395
014	BUMP	SOUND_PED_PED_COLLISION	8396
015	BUMP	SOUND_PED_PED_COLLISION	8397
016	BUMP	SOUND_PED_PED_COLLISION	8398
017	BUMP	SOUND_PED_PED_COLLISION	8399
018	CHAT	SOUND_PED_CHAT	8410
019	CHAT	SOUND_PED_CHAT	8411
020	CHAT	SOUND_PED_CHAT	8412
021	CHAT	SOUND_PED_CHAT	8413
022	CHAT	SOUND_PED_CHAT	8414
023	CHAT	SOUND_PED_CHAT	8415
024	CHAT	SOUND_PED_CHAT	8416
025	CHAT	SOUND_PED_CHAT	8417
026	CHAT	SOUND_PED_CHAT	8418
027	CHAT	SOUND_PED_CHAT	8419
028	CONV_DISL_PHYS	-	silence
029	CONV_DISL_PHYS	-	silence
030	CONV_DISL_SMELL	-	silence
031	CONV_DISL_SMELL	-	silence
032	CONV_DISL_SMELL	-	silence
033	CONV_DISL_TATTOO	-	silence
034	CONV_DISL_TATTOO	-	silence
035	CONV_DISL_TATTOO	-	silence
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8460
037	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8460
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8460
039	CONV_LIKE_PHYS	-	silence
040	CONV_LIKE_PHYS	-	silence
041	CONV_LIKE_SMELL	-	silence
042	CONV_LIKE_SMELL	-	silence
043	CONV_LIKE_SMELL	-	silence
044	CONV_LIKE_TATTOO	-	silence
045	CONV_LIKE_TATTOO	-	silence
046	CONV_LIKE_TATTOO	-	silence
047	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	8437
048	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	8438
049	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	8439
050	CRASH_BIKE	SOUND_PED_CRASH_VEHICLE	8440
051	CRASH_CAR	SOUND_PED_CRASH_CAR	8402
052	CRASH_CAR	SOUND_PED_CRASH_CAR	8403
053	CRASH_CAR	SOUND_PED_CRASH_CAR	8404
054	CRASH_CAR	SOUND_PED_CRASH_CAR	8405
055	CRASH_CAR	SOUND_PED_CRASH_CAR	8406
056	CRASH_CAR	SOUND_PED_CRASH_CAR	8407
057	CRASH_CAR	SOUND_PED_CRASH_CAR	8408
058	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	8437
059	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	8438
060	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	8439
061	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	8440
062	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	8441
063	CRASH_GENERIC	SOUND_PED_CRASH_VEHICLE	8442
064	DODGE	SOUND_PED_EVADE	8420
065	DODGE	SOUND_PED_EVADE	8421
066	DODGE	SOUND_PED_EVADE	8422
067	DODGE	SOUND_PED_EVADE	8423
068	DRUGS_BUY	-	silence
069	DRUGS_BUY	-	silence
070	DRUGS_BUY	-	silence
071	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
072	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
073	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
074	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
075	EYEING_PLAYER	SOUND_PED_CHAT_SEXY	silence
076	FIGHT	SOUND_PED_ATTACK	8430
077	FIGHT	SOUND_PED_ATTACK	8431
078	FIGHT	SOUND_PED_ATTACK	8432
079	FIGHT	SOUND_PED_ATTACK	8433
080	FIGHT	SOUND_PED_ATTACK	8434
081	FIGHT	SOUND_PED_ATTACK	8435
082	GAMB_BJ_HIT	-	silence
083	GAMB_BJ_HIT	-	silence
084	GAMB_BJ_HIT	-	silence
085	GAMB_BJ_LOSE	-	silence
086	GAMB_BJ_LOSE	-	silence
087	GAMB_BJ_LOSE	-	silence
088	GAMB_BJ_STAY	-	silence
089	GAMB_BJ_STAY	-	silence
090	GAMB_BJ_STAY	-	silence
091	GAMB_BJ_WIN	-	silence
092	GAMB_BJ_WIN	-	silence
093	GAMB_BJ_WIN	-	silence
094	GAMB_BJ_WIN	-	silence
095	GAMB_CONGRATS	-	silence
096	GAMB_CONGRATS	-	silence
097	GAMB_CONGRATS	-	silence
098	GAMB_CONGRATS	-	silence
099	GAMB_ROUL_CHAT	-	silence
100	GAMB_ROUL_CHAT	-	silence
101	GAMB_ROUL_CHAT	-	silence
102	GAMB_ROUL_CHAT	-	silence
103	GAMB_SLOT_WIN	-	silence
104	GAMB_SLOT_WIN	-	silence
105	GUN_COOL	SOUND_PED_HANDS_UP	8445
106	GUN_COOL	SOUND_PED_HANDS_UP	8446
107	GUN_COOL	SOUND_PED_HANDS_UP	8447
108	GUN_COOL	SOUND_PED_HANDS_UP	8448
109	GUN_COOL	SOUND_PED_HANDS_UP	8449
110	GUN_COOL	SOUND_PED_HANDS_UP	8445
111	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8450
112	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8451
113	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8452
114	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8453
115	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8454
116	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8455
117	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8450
118	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8451
119	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8452
120	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	8453
121	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8450
122	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8451
123	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8452
124	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8453
125	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8454
126	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8455
127	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8450
128	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8451
129	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	8452
130	LIKE_DISMISS_REPLY	-	silence
131	LIKE_DISMISS_REPLY	-	silence
132	LIKE_DISMISS_REPLY	-	silence
133	LIKE_DISMISS_REPLY	-	silence
134	MUGGED	SOUND_PED_ROBBED	8461
135	MUGGED	SOUND_PED_ROBBED	8462
136	PCONV_AGREE_BAD	-	silence
137	PCONV_AGREE_BAD	-	silence
138	PCONV_AGREE_BAD	-	silence
139	PCONV_AGREE_GOOD	-	silence
140	PCONV_AGREE_GOOD	-	silence
141	PCONV_AGREE_GOOD	-	silence
142	PCONV_ANS_NO	-	silence
143	PCONV_ANS_NO	-	silence
144	PCONV_ANS_NO	-	silence
145	PCONV_DISMISS	-	silence
146	PCONV_DISMISS	-	silence
147	PCONV_DISMISS	-	silence
148	PCONV_GREET_FEM	-	silence
149	PCONV_GREET_FEM	-	silence
150	PCONV_GREET_FEM	-	silence
151	PCONV_GREET_MALE	-	silence
152	PCONV_GREET_MALE	-	silence
153	PCONV_GREET_MALE	-	silence
154	PCONV_PART_FEM	-	silence
155	PCONV_PART_FEM	-	silence
156	PCONV_PART_FEM	-	silence
157	PCONV_PART_MALE	-	silence
158	PCONV_PART_MALE	-	silence
159	PCONV_PART_MALE	-	silence
160	PCONV_QUESTION	-	silence
161	PCONV_QUESTION	-	silence
162	PCONV_QUESTION	-	silence
163	PCONV_STATE_BAD	-	silence
164	PCONV_STATE_BAD	-	silence
165	PCONV_STATE_BAD	-	silence
166	PCONV_STATE_GOOD	-	silence
167	PCONV_STATE_GOOD	-	silence
168	PCONV_STATE_GOOD	-	silence
169	SHOCKED	SOUND_PED_ACCIDENTREACTION1	8467
170	SHOCKED	SOUND_PED_ACCIDENTREACTION1	8467
171	SHOP_BROWSE	-	silence
172	SHOP_BROWSE	-	silence
173	SHOP_BROWSE	-	silence
174	SHOP_BROWSE	-	silence
175	SHOP_BUY	-	silence
176	SHOP_BUY	-	silence
177	SHOP_BUY	-	silence
178	TAXI_BAIL	-	silence
179	TAXI_BAIL	-	silence
180	TAXI_HAIL	SOUND_PED_TAXI_WAIT	8468
181	TAXI_HAIL	SOUND_PED_TAXI_WAIT	8468
182	TAXI_HAIL	SOUND_PED_TAXI_WAIT	8468
183	TAXI_HIT_PED	-	silence
184	TAXI_HIT_PED	-	silence
185	TAXI_HIT_PED	-	silence
186	TAXI_HIT_PED	-	silence
187	TAXI_HIT_PED	-	silence
188	TAXI_HIT_PED	-	silence
189	TAXI_START	-	silence
190	TAXI_START	-	silence
191	TAXI_START	-	silence
192	TAXI_SUCCESS	-	silence
193	TAXI_SUCCESS	-	silence
194	TAXI_SUCCESS	-	silence
195	TAXI_SUCCESS	-	silence
196	TAXI_TIP	-	silence
197	TAXI_TIP	-	silence
198	TAXI_TIP	-	silence
199	TRAPPED	SOUND_PED_HANDS_COWER	silence
200	TRAPPED	SOUND_PED_HANDS_COWER	silence
201	TRAPPED	SOUND_PED_HANDS_COWER	silence
202	TRAPPED	SOUND_PED_HANDS_COWER	silence
203	TRAPPED	SOUND_PED_HANDS_COWER	silence
204	TRAPPED	SOUND_PED_HANDS_COWER	silence
205	TRAPPED	SOUND_PED_HANDS_COWER	silence
206	TRAPPED	SOUND_PED_HANDS_COWER	silence
