GEN WMORI <- VC WMORI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6617
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6618
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6619
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6620
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	6621
006	BUMP	SOUND_PED_PED_COLLISION	6627
007	BUMP	SOUND_PED_PED_COLLISION	6628
008	BUMP	SOUND_PED_PED_COLLISION	6629
009	BUMP	SOUND_PED_PED_COLLISION	6630
010	BUMP	SOUND_PED_PED_COLLISION	6631
011	BUMP	SOUND_PED_PED_COLLISION	6632
012	BUMP	SOUND_PED_PED_COLLISION	6633
013	BUMP	SOUND_PED_PED_COLLISION	6634
014	BUMP	SOUND_PED_PED_COLLISION	6635
015	CHAT	SOUND_PED_CHAT	silence
016	CHAT	SOUND_PED_CHAT	silence
017	CONV_DISL_CAR	-	silence
018	CONV_DISL_CAR	-	silence
019	CONV_DISL_HAIR	-	silence
020	CONV_DISL_HAIR	-	silence
021	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6683
022	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6684
023	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	6683
024	CONV_LIKE_CAR	-	silence
025	CONV_LIKE_CAR	-	silence
026	CONV_LIKE_CAR	-	silence
027	CONV_LIKE_HAIR	-	silence
028	CONV_LIKE_HAIR	-	silence
029	CONV_LIKE_HAIR	-	silence
030	CRASH_CAR	SOUND_PED_CRASH_CAR	6641
031	CRASH_CAR	SOUND_PED_CRASH_CAR	6642
032	CRASH_CAR	SOUND_PED_CRASH_CAR	6643
033	CRASH_CAR	SOUND_PED_CRASH_CAR	6644
034	CRASH_CAR	SOUND_PED_CRASH_CAR	6645
035	CRASH_CAR	SOUND_PED_CRASH_CAR	6646
036	CRASH_CAR	SOUND_PED_CRASH_CAR	6641
037	DODGE	SOUND_PED_EVADE	6647
038	DODGE	SOUND_PED_EVADE	6648
039	DODGE	SOUND_PED_EVADE	6649
040	DODGE	SOUND_PED_EVADE	6650
041	DODGE	SOUND_PED_EVADE	6651
042	DODGE	SOUND_PED_EVADE	6652
043	DODGE	SOUND_PED_EVADE	6653
044	DODGE	SOUND_PED_EVADE	6654
045	EYEING_PED	SOUND_PED_CHAT_SEXY	6657
046	EYEING_PED	SOUND_PED_CHAT_SEXY	6658
047	FIGHT	SOUND_PED_ATTACK	silence
048	FIGHT	SOUND_PED_ATTACK	silence
049	FIGHT	SOUND_PED_ATTACK	silence
050	FIGHT	SOUND_PED_ATTACK	silence
051	FIGHT	SOUND_PED_ATTACK	silence
052	FIGHT	SOUND_PED_ATTACK	silence
053	FIGHT	SOUND_PED_ATTACK	silence
054	GAMB_BJ_HIT	-	silence
055	GAMB_BJ_HIT	-	silence
056	GAMB_BJ_HIT	-	silence
057	GAMB_BJ_HIT	-	silence
058	GAMB_BJ_HIT	-	silence
059	GAMB_BJ_HIT	-	silence
060	GAMB_BJ_LOSE	-	silence
061	GAMB_BJ_LOSE	-	silence
062	GAMB_BJ_LOSE	-	silence
063	GAMB_BJ_LOSE	-	silence
064	GAMB_BJ_LOSE	-	silence
065	GAMB_BJ_STAY	-	silence
066	GAMB_BJ_STAY	-	silence
067	GAMB_BJ_STAY	-	silence
068	GAMB_BJ_STAY	-	silence
069	GAMB_BJ_STAY	-	silence
070	GAMB_BJ_WIN	-	silence
071	GAMB_BJ_WIN	-	silence
