GEN WMOST <- VC WMOST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5111
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5112
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5113
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5114
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5115
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5116
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5117
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	5118
009	BUMP	SOUND_PED_PED_COLLISION	5119
010	BUMP	SOUND_PED_PED_COLLISION	5120
011	BUMP	SOUND_PED_PED_COLLISION	5121
012	BUMP	SOUND_PED_PED_COLLISION	5122
013	BUMP	SOUND_PED_PED_COLLISION	5123
014	BUMP	SOUND_PED_PED_COLLISION	5124
015	BUMP	SOUND_PED_PED_COLLISION	5125
016	BUMP	SOUND_PED_PED_COLLISION	5126
017	BUMP	SOUND_PED_PED_COLLISION	5127
018	BUMP	SOUND_PED_PED_COLLISION	5128
019	BUMP	SOUND_PED_PED_COLLISION	5119
020	CHAT	SOUND_PED_CHAT	5136
021	CHAT	SOUND_PED_CHAT	5137
022	CHAT	SOUND_PED_CHAT	5138
023	CHAT	SOUND_PED_CHAT	5139
024	CHAT	SOUND_PED_CHAT	5140
025	CHAT	SOUND_PED_CHAT	5141
026	CHAT	SOUND_PED_CHAT	5142
027	CHAT	SOUND_PED_CHAT	5143
028	CHAT	SOUND_PED_CHAT	5144
029	CHAT	SOUND_PED_CHAT	5136
030	CHAT	SOUND_PED_CHAT	5137
031	CHAT	SOUND_PED_CHAT	5138
032	CHAT	SOUND_PED_CHAT	5139
033	CONV_DISL_SMELL	-	silence
034	CONV_DISL_SMELL	-	silence
035	CONV_DISL_SMELL	-	silence
036	CONV_DISL_SMELL	-	silence
037	CONV_DISL_TATTOO	-	silence
038	CONV_DISL_TATTOO	-	silence
039	CONV_DISL_TATTOO	-	silence
040	CONV_DISL_TATTOO	-	silence
041	CONV_DISL_WEATHER	-	silence
042	CONV_DISL_WEATHER	-	silence
043	CONV_DISL_WEATHER	-	silence
044	CONV_DISL_WEATHER	-	silence
045	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5186
046	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5187
047	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5186
048	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5187
049	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	5186
050	CONV_LIKE_SMELL	-	silence
051	CONV_LIKE_SMELL	-	silence
052	CONV_LIKE_SMELL	-	silence
053	CONV_LIKE_SMELL	-	silence
054	CONV_LIKE_TATTOO	-	silence
055	CONV_LIKE_TATTOO	-	silence
056	CONV_LIKE_TATTOO	-	silence
057	CONV_LIKE_TATTOO	-	silence
058	CONV_LIKE_WEATHER	-	silence
059	CONV_LIKE_WEATHER	-	silence
060	CONV_LIKE_WEATHER	-	silence
061	CONV_LIKE_WEATHER	-	silence
