GEN WMOTR1 <- VC WMOTR voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	7504
002	BAR_CHAT	SOUND_PED_CHAT	7505
003	BAR_CHAT	SOUND_PED_CHAT	7506
004	BAR_CHAT	SOUND_PED_CHAT	7507
005	BAR_CHAT	SOUND_PED_CHAT	7508
006	BAR_CHAT	SOUND_PED_CHAT	7509
007	BAR_CHAT	SOUND_PED_CHAT	7510
008	BAR_CHAT	SOUND_PED_CHAT	7511
009	BUM_BACK_OFF	-	silence
010	BUM_BACK_OFF	-	silence
011	BUM_BACK_OFF	-	silence
012	BUM_BACK_OFF	-	silence
013	BUM_BACK_OFF	-	silence
014	BUM_BACK_OFF	-	silence
015	BUM_BACK_OFF_2	-	silence
016	BUM_BACK_OFF_2	-	silence
017	BUM_BACK_OFF_2	-	silence
018	BUM_BACK_OFF_2	-	silence
019	BUM_BACK_OFF_2	-	silence
020	BUM_BACK_OFF_2	-	silence
021	BUM_LATCH	-	silence
022	BUM_LATCH	-	silence
023	BUM_LATCH	-	silence
024	BUM_LATCH	-	silence
025	BUM_LATCH	-	silence
026	BUM_LATCH	-	silence
027	BUM_LATCH	-	silence
028	BUM_LATCH	-	silence
029	BUMP	SOUND_PED_PED_COLLISION	7494
030	BUMP	SOUND_PED_PED_COLLISION	7495
031	BUMP	SOUND_PED_PED_COLLISION	7496
032	BUMP	SOUND_PED_PED_COLLISION	7497
033	BUMP	SOUND_PED_PED_COLLISION	7498
034	BUMP	SOUND_PED_PED_COLLISION	7499
035	BUMP	SOUND_PED_PED_COLLISION	7500
036	BUMP	SOUND_PED_PED_COLLISION	7501
037	BUMP	SOUND_PED_PED_COLLISION	7502
038	CHAT	SOUND_PED_CHAT	7504
039	CHAT	SOUND_PED_CHAT	7505
040	CHAT	SOUND_PED_CHAT	7506
041	CHAT	SOUND_PED_CHAT	7507
042	CHAT	SOUND_PED_CHAT	7508
043	CHAT	SOUND_PED_CHAT	7509
044	CHAT	SOUND_PED_CHAT	7510
045	CHAT	SOUND_PED_CHAT	7511
046	CHAT	SOUND_PED_CHAT	7512
047	CHAT	SOUND_PED_CHAT	7513
048	CONV_DISL_CAR	-	silence
049	CONV_DISL_CAR	-	silence
050	CONV_DISL_CAR	-	silence
051	CONV_DISL_CLOTHES	-	silence
052	CONV_DISL_CLOTHES	-	silence
053	CONV_DISL_CLOTHES	-	silence
054	CONV_DISL_SHOES	-	silence
055	CONV_DISL_SHOES	-	silence
056	CONV_DISL_SHOES	-	silence
057	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
058	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
059	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
060	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
061	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
062	CONV_LIKE_CAR	-	silence
063	CONV_LIKE_CAR	-	silence
064	CONV_LIKE_CAR	-	silence
065	CONV_LIKE_CLOTHES	-	silence
066	CONV_LIKE_CLOTHES	-	silence
067	CONV_LIKE_CLOTHES	-	silence
068	CONV_LIKE_SHOES	-	silence
069	CONV_LIKE_SHOES	-	silence
070	CONV_LIKE_SHOES	-	silence
071	DODGE	SOUND_PED_EVADE	7517
072	DODGE	SOUND_PED_EVADE	7518
073	DODGE	SOUND_PED_EVADE	7519
074	DODGE	SOUND_PED_EVADE	7520
075	DODGE	SOUND_PED_EVADE	7521
076	DODGE	SOUND_PED_EVADE	7522
077	DODGE	SOUND_PED_EVADE	7523
078	DODGE	SOUND_PED_EVADE	7524
079	DODGE	SOUND_PED_EVADE	7525
080	DODGE	SOUND_PED_EVADE	7526
081	DODGE	SOUND_PED_EVADE	7527
082	FIGHT	SOUND_PED_ATTACK	7536
083	FIGHT	SOUND_PED_ATTACK	7537
084	FIGHT	SOUND_PED_ATTACK	7538
085	FIGHT	SOUND_PED_ATTACK	7539
086	FIGHT	SOUND_PED_ATTACK	7540
087	FIGHT	SOUND_PED_ATTACK	7541
088	FIGHT	SOUND_PED_ATTACK	7536
089	FIGHT	SOUND_PED_ATTACK	7537
090	FIGHT	SOUND_PED_ATTACK	7538
091	FIGHT	SOUND_PED_ATTACK	7539
092	GUN_RUN	SOUND_PED_FLEE_RUN	silence
093	GUN_RUN	SOUND_PED_FLEE_RUN	silence
094	GUN_RUN	SOUND_PED_FLEE_RUN	silence
095	GUN_RUN	SOUND_PED_FLEE_RUN	silence
096	GUN_RUN	SOUND_PED_FLEE_RUN	silence
097	GUN_RUN	SOUND_PED_FLEE_RUN	silence
098	GUN_RUN	SOUND_PED_FLEE_RUN	silence
099	GUN_RUN	SOUND_PED_FLEE_RUN	silence
100	GUN_RUN	SOUND_PED_FLEE_RUN	silence
101	LIKE_DISMISS_REPLY	-	silence
102	LIKE_DISMISS_REPLY	-	silence
103	LIKE_DISMISS_REPLY	-	silence
104	LIKE_DISMISS_REPLY	-	silence
105	LIKE_DISMISS_REPLY	-	silence
106	LIKE_DISMISS_REPLY	-	silence
107	MUGGED	SOUND_PED_ROBBED	silence
108	MUGGED	SOUND_PED_ROBBED	silence
109	MUGGED	SOUND_PED_ROBBED	silence
110	PCONV_AGREE_BAD	-	silence
111	PCONV_AGREE_BAD	-	silence
112	PCONV_AGREE_BAD	-	silence
113	PCONV_AGREE_BAD	-	silence
114	PCONV_AGREE_BAD	-	silence
115	PCONV_AGREE_GOOD	-	silence
116	PCONV_AGREE_GOOD	-	silence
117	PCONV_AGREE_GOOD	-	silence
118	PCONV_AGREE_GOOD	-	silence
119	PCONV_AGREE_GOOD	-	silence
120	PCONV_ANS_NO	-	silence
121	PCONV_ANS_NO	-	silence
122	PCONV_ANS_NO	-	silence
123	PCONV_ANS_NO	-	silence
124	PCONV_DISMISS	-	silence
125	PCONV_DISMISS	-	silence
126	PCONV_DISMISS	-	silence
127	PCONV_DISMISS	-	silence
128	PCONV_GREET_FEM	-	silence
129	PCONV_GREET_FEM	-	silence
130	PCONV_GREET_FEM	-	silence
131	PCONV_GREET_FEM	-	silence
132	PCONV_GREET_MALE	-	silence
133	PCONV_GREET_MALE	-	silence
134	PCONV_GREET_MALE	-	silence
135	PCONV_PART_FEM	-	silence
136	PCONV_PART_FEM	-	silence
137	PCONV_PART_FEM	-	silence
138	PCONV_PART_MALE	-	silence
139	PCONV_PART_MALE	-	silence
140	PCONV_PART_MALE	-	silence
141	PCONV_PART_MALE	-	silence
142	PCONV_QUESTION	-	silence
143	PCONV_QUESTION	-	silence
144	PCONV_QUESTION	-	silence
145	PCONV_QUESTION	-	silence
146	PCONV_QUESTION	-	silence
147	PCONV_STATE_BAD	-	silence
148	PCONV_STATE_BAD	-	silence
149	PCONV_STATE_BAD	-	silence
150	PCONV_STATE_BAD	-	silence
151	PCONV_STATE_GOOD	-	silence
152	PCONV_STATE_GOOD	-	silence
153	PCONV_STATE_GOOD	-	silence
154	PCONV_STATE_GOOD	-	silence
155	SAVED	-	silence
156	SAVED	-	silence
157	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7547
158	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7547
159	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7547
160	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7547
161	SHOCKED	SOUND_PED_ACCIDENTREACTION1	7547
162	SOLICIT	SOUND_PED_SOLICIT	7551
163	SOLICIT	SOUND_PED_SOLICIT	7552
164	SOLICIT	SOUND_PED_SOLICIT	7553
165	SOLICIT	SOUND_PED_SOLICIT	7554
166	SOLICIT	SOUND_PED_SOLICIT	7555
167	SOLICIT	SOUND_PED_SOLICIT	7556
168	SOLICIT_THANKS	-	silence
169	SOLICIT_THANKS	-	silence
170	SOLICIT_THANKS	-	silence
171	SOLICIT_THANKS	-	silence
172	SOLICIT_UNREASONABLE	-	silence
173	SOLICIT_UNREASONABLE	-	silence
174	SOLICIT_UNREASONABLE	-	silence
175	SOLICIT_UNREASONABLE	-	silence
