GEN WMYBE <- VC WMYBE voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	8072
002	BUMP	SOUND_PED_PED_COLLISION	8073
003	BUMP	SOUND_PED_PED_COLLISION	8074
004	BUMP	SOUND_PED_PED_COLLISION	8075
005	BUMP	SOUND_PED_PED_COLLISION	8076
006	BUMP	SOUND_PED_PED_COLLISION	8077
007	BUMP	SOUND_PED_PED_COLLISION	8078
008	BUMP	SOUND_PED_PED_COLLISION	8079
009	BUMP	SOUND_PED_PED_COLLISION	8080
010	BUMP	SOUND_PED_PED_COLLISION	8081
011	CHAT	SOUND_PED_CHAT	8094
012	CHAT	SOUND_PED_CHAT	8095
013	CHAT	SOUND_PED_CHAT	8096
014	CHAT	SOUND_PED_CHAT	8097
015	CHAT	SOUND_PED_CHAT	8098
016	CHAT	SOUND_PED_CHAT	8099
017	CHAT	SOUND_PED_CHAT	8100
018	CONV_DISL_HAIR	-	silence
019	CONV_DISL_HAIR	-	silence
020	CONV_DISL_HAIR	-	silence
021	CONV_DISL_PHYS	-	silence
022	CONV_DISL_PHYS	-	silence
023	CONV_DISL_PHYS	-	silence
024	CONV_DISL_WEATHER	-	silence
025	CONV_DISL_WEATHER	-	silence
026	CONV_DISL_WEATHER	-	silence
027	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8152
028	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8153
029	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8154
030	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	8152
031	CONV_LIKE_HAIR	-	silence
032	CONV_LIKE_HAIR	-	silence
033	CONV_LIKE_HAIR	-	silence
034	CONV_LIKE_PHYS	-	silence
035	CONV_LIKE_PHYS	-	silence
036	CONV_LIKE_PHYS	-	silence
037	CONV_LIKE_WEATHER	-	silence
038	CONV_LIKE_WEATHER	-	silence
039	CONV_LIKE_WEATHER	-	silence
040	DODGE	SOUND_PED_EVADE	8105
041	DODGE	SOUND_PED_EVADE	8106
042	DODGE	SOUND_PED_EVADE	8107
043	DODGE	SOUND_PED_EVADE	8108
044	DODGE	SOUND_PED_EVADE	8109
045	DODGE	SOUND_PED_EVADE	8110
046	DODGE	SOUND_PED_EVADE	8111
047	DODGE	SOUND_PED_EVADE	8112
048	DODGE	SOUND_PED_EVADE	8113
049	EYEING_PED	SOUND_PED_CHAT_SEXY	8117
050	EYEING_PED	SOUND_PED_CHAT_SEXY	8118
051	EYEING_PED	SOUND_PED_CHAT_SEXY	8117
052	EYEING_PED	SOUND_PED_CHAT_SEXY	8118
053	EYEING_PED	SOUND_PED_CHAT_SEXY	8117
054	FIGHT	SOUND_PED_ATTACK	silence
055	FIGHT	SOUND_PED_ATTACK	silence
056	FIGHT	SOUND_PED_ATTACK	silence
057	FIGHT	SOUND_PED_ATTACK	silence
058	FIGHT	SOUND_PED_ATTACK	silence
059	FIGHT	SOUND_PED_ATTACK	silence
060	FIGHT	SOUND_PED_ATTACK	silence
061	FIGHT	SOUND_PED_ATTACK	silence
062	GUN_RUN	SOUND_PED_FLEE_RUN	8155
063	GUN_RUN	SOUND_PED_FLEE_RUN	8156
064	GUN_RUN	SOUND_PED_FLEE_RUN	8157
065	GUN_RUN	SOUND_PED_FLEE_RUN	8158
066	GUN_RUN	SOUND_PED_FLEE_RUN	8159
067	GUN_RUN	SOUND_PED_FLEE_RUN	8155
068	LIKE_DISMISS_REPLY	-	silence
069	LIKE_DISMISS_REPLY	-	silence
070	LIKE_DISMISS_REPLY	-	silence
071	LIKE_DISMISS_REPLY	-	silence
072	LIKE_DISMISS_REPLY	-	silence
073	PCONV_AGREE_BAD	-	silence
074	PCONV_AGREE_BAD	-	silence
075	PCONV_AGREE_BAD	-	silence
076	PCONV_AGREE_GOOD	-	silence
077	PCONV_AGREE_GOOD	-	silence
078	PCONV_AGREE_GOOD	-	silence
079	PCONV_ANS_NO	-	silence
080	PCONV_ANS_NO	-	silence
081	PCONV_ANS_NO	-	silence
082	PCONV_DISMISS	-	silence
083	PCONV_DISMISS	-	silence
084	PCONV_DISMISS	-	silence
085	PCONV_GREET_FEM	-	silence
086	PCONV_GREET_FEM	-	silence
087	PCONV_GREET_FEM	-	silence
088	PCONV_GREET_MALE	-	silence
089	PCONV_GREET_MALE	-	silence
090	PCONV_PART_FEM	-	silence
091	PCONV_PART_FEM	-	silence
092	PCONV_PART_MALE	-	silence
093	PCONV_PART_MALE	-	silence
094	PCONV_QUESTION	-	silence
095	PCONV_QUESTION	-	silence
096	PCONV_QUESTION	-	silence
097	PCONV_STATE_BAD	-	silence
098	PCONV_STATE_BAD	-	silence
099	PCONV_STATE_GOOD	-	silence
100	PCONV_STATE_GOOD	-	silence
101	SAVED	-	silence
102	SAVED	-	silence
103	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
104	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
105	SHOCKED	SOUND_PED_ACCIDENTREACTION1	silence
