GEN WMYBU <- VC WMYBU voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BAR_CHAT	SOUND_PED_CHAT	3835
002	BAR_CHAT	SOUND_PED_CHAT	3836
003	BAR_CHAT	SOUND_PED_CHAT	3837
004	BAR_CHAT	SOUND_PED_CHAT	3838
005	BAR_CHAT	SOUND_PED_CHAT	3839
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3706
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3707
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3708
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3709
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3710
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3711
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3706
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3707
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3708
015	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3709
016	BUMP	SOUND_PED_PED_COLLISION	3815
017	BUMP	SOUND_PED_PED_COLLISION	3816
018	BUMP	SOUND_PED_PED_COLLISION	3817
019	BUMP	SOUND_PED_PED_COLLISION	3818
020	BUMP	SOUND_PED_PED_COLLISION	3819
021	BUMP	SOUND_PED_PED_COLLISION	3820
022	BUMP	SOUND_PED_PED_COLLISION	3821
023	BUMP	SOUND_PED_PED_COLLISION	3822
024	BUMP	SOUND_PED_PED_COLLISION	3823
025	BUMP	SOUND_PED_PED_COLLISION	3824
026	BUMP	SOUND_PED_PED_COLLISION	3825
027	BUMP	SOUND_PED_PED_COLLISION	3815
028	CHAT	SOUND_PED_CHAT	3835
029	CHAT	SOUND_PED_CHAT	3836
030	CHAT	SOUND_PED_CHAT	3837
031	CHAT	SOUND_PED_CHAT	3838
032	CHAT	SOUND_PED_CHAT	3839
033	CHAT	SOUND_PED_CHAT	3840
034	CHAT	SOUND_PED_CHAT	3841
035	CHAT	SOUND_PED_CHAT	3842
036	CHAT	SOUND_PED_CHAT	3843
037	CHAT	SOUND_PED_CHAT	3844
038	CHAT	SOUND_PED_CHAT	3835
039	CONV_DISL_CAR	-	silence
040	CONV_DISL_CAR	-	silence
041	CONV_DISL_CAR	-	silence
042	CONV_DISL_SHOES	-	silence
043	CONV_DISL_SHOES	-	silence
044	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	3875
045	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	3876
046	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	3877
047	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	3878
048	CONV_LIKE_CAR	-	silence
049	CONV_LIKE_CAR	-	silence
050	CONV_LIKE_CAR	-	silence
051	CONV_LIKE_SHOES	-	silence
052	CONV_LIKE_SHOES	-	silence
053	CONV_LIKE_SHOES	-	silence
054	CONV_LIKE_SHOES	-	silence
055	CRASH_CAR	SOUND_PED_CRASH_CAR	3826
056	CRASH_CAR	SOUND_PED_CRASH_CAR	3827
057	CRASH_CAR	SOUND_PED_CRASH_CAR	3828
058	CRASH_CAR	SOUND_PED_CRASH_CAR	3829
059	CRASH_CAR	SOUND_PED_CRASH_CAR	3830
060	CRASH_CAR	SOUND_PED_CRASH_CAR	3831
061	CRASH_CAR	SOUND_PED_CRASH_CAR	3832
062	CRASH_CAR	SOUND_PED_CRASH_CAR	3833
063	CRASH_CAR	SOUND_PED_CRASH_CAR	3834
064	DODGE	SOUND_PED_EVADE	3845
065	DODGE	SOUND_PED_EVADE	3846
066	DODGE	SOUND_PED_EVADE	3847
067	DODGE	SOUND_PED_EVADE	3848
068	DODGE	SOUND_PED_EVADE	3849
069	DODGE	SOUND_PED_EVADE	3850
070	DODGE	SOUND_PED_EVADE	3851
071	DODGE	SOUND_PED_EVADE	3852
072	DODGE	SOUND_PED_EVADE	3853
073	DODGE	SOUND_PED_EVADE	3854
074	GAMB_BJ_HIT	-	silence
075	GAMB_BJ_HIT	-	silence
076	GAMB_BJ_HIT	-	silence
077	GAMB_BJ_LOSE	-	silence
078	GAMB_BJ_LOSE	-	silence
079	GAMB_BJ_LOSE	-	silence
080	GAMB_BJ_STAY	-	silence
081	GAMB_BJ_STAY	-	silence
082	GAMB_BJ_STAY	-	silence
083	GAMB_BJ_WIN	-	silence
084	GAMB_BJ_WIN	-	silence
085	GAMB_BJ_WIN	-	silence
086	GAMB_CONGRATS	-	silence
087	GAMB_CONGRATS	-	silence
088	GAMB_ROUL_CHAT	-	silence
089	GAMB_ROUL_CHAT	-	silence
090	GAMB_ROUL_CHAT	-	silence
091	GAMB_ROUL_CHAT	-	silence
092	GAMB_ROUL_CHAT	-	silence
093	GAMB_ROUL_CHAT	-	silence
094	GAMB_SLOT_WIN	-	silence
095	GAMB_SLOT_WIN	-	silence
096	GUN_RUN	SOUND_PED_FLEE_RUN	3881
097	GUN_RUN	SOUND_PED_FLEE_RUN	3882
098	GUN_RUN	SOUND_PED_FLEE_RUN	3883
099	GUN_RUN	SOUND_PED_FLEE_RUN	3881
100	GUN_RUN	SOUND_PED_FLEE_RUN	3882
101	GUN_RUN	SOUND_PED_FLEE_RUN	3883
102	GUN_RUN	SOUND_PED_FLEE_RUN	3881
103	GUN_RUN	SOUND_PED_FLEE_RUN	3882
104	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3870
105	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3871
106	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3872
107	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3873
108	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3874
109	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3870
110	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3871
111	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3872
112	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3873
113	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3874
114	JACKED_IN_CAR	SOUND_PED_CAR_JACKED	3870
115	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3870
116	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3871
117	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3872
118	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3873
119	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3874
120	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3870
121	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3871
122	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3872
123	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3873
124	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3874
125	JACKED_ON_STREET	SOUND_PED_CAR_JACKED	3870
126	LIKE_DISMISS_REPLY	-	silence
127	LIKE_DISMISS_REPLY	-	silence
128	LIKE_DISMISS_REPLY	-	silence
129	LIKE_DISMISS_REPLY	-	silence
130	LIKE_DISMISS_REPLY	-	silence
131	LIKE_DISMISS_REPLY	-	silence
132	MUGGED	SOUND_PED_ROBBED	3880
133	MUGGED	SOUND_PED_ROBBED	3880
134	MUGGED	SOUND_PED_ROBBED	3880
135	MUGGED	SOUND_PED_ROBBED	3880
136	PCONV_AGREE_BAD	-	silence
137	PCONV_AGREE_BAD	-	silence
138	PCONV_AGREE_BAD	-	silence
139	PCONV_AGREE_GOOD	-	silence
140	PCONV_AGREE_GOOD	-	silence
141	PCONV_AGREE_GOOD	-	silence
142	PCONV_ANS_NO	-	silence
143	PCONV_ANS_NO	-	silence
144	PCONV_ANS_NO	-	silence
145	PCONV_DISMISS	-	silence
146	PCONV_DISMISS	-	silence
147	PCONV_DISMISS	-	silence
148	PCONV_GREET_FEM	-	silence
149	PCONV_GREET_FEM	-	silence
150	PCONV_GREET_FEM	-	silence
151	PCONV_GREET_MALE	-	silence
152	PCONV_GREET_MALE	-	silence
153	PCONV_GREET_MALE	-	silence
154	PCONV_PART_FEM	-	silence
155	PCONV_PART_FEM	-	silence
156	PCONV_PART_FEM	-	silence
157	PCONV_PART_MALE	-	silence
158	PCONV_PART_MALE	-	silence
159	PCONV_PART_MALE	-	silence
160	PCONV_QUESTION	-	silence
161	PCONV_QUESTION	-	silence
162	PCONV_QUESTION	-	silence
163	PCONV_STATE_BAD	-	silence
164	PCONV_STATE_BAD	-	silence
165	PCONV_STATE_BAD	-	silence
166	PCONV_STATE_GOOD	-	silence
167	PCONV_STATE_GOOD	-	silence
168	PCONV_STATE_GOOD	-	silence
169	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	3881
170	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	3882
171	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	3883
172	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	3881
173	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	3882
174	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	3883
175	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	3881
176	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	3882
177	SAVED	-	silence
178	SAVED	-	silence
179	SAVED	-	silence
180	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3884
181	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3885
182	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3884
183	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3885
184	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3884
185	TAXI_BAIL	-	silence
186	TAXI_BAIL	-	silence
187	TAXI_BAIL	-	silence
188	TAXI_HAIL	SOUND_PED_TAXI_WAIT	3891
189	TAXI_HAIL	SOUND_PED_TAXI_WAIT	3892
190	TAXI_HIT_PED	-	silence
191	TAXI_HIT_PED	-	silence
192	TAXI_HIT_PED	-	silence
193	TAXI_HIT_PED	-	silence
194	TAXI_START	-	silence
195	TAXI_START	-	silence
196	TAXI_START	-	silence
197	TAXI_SUCCESS	-	silence
198	TAXI_SUCCESS	-	silence
199	TAXI_SUCCESS	-	silence
200	TAXI_SUCCESS	-	silence
201	TAXI_TIP	-	silence
202	TAXI_TIP	-	silence
203	TRAPPED	SOUND_PED_HANDS_COWER	3862
204	TRAPPED	SOUND_PED_HANDS_COWER	3863
205	TRAPPED	SOUND_PED_HANDS_COWER	3864
206	TRAPPED	SOUND_PED_HANDS_COWER	3865
207	TRAPPED	SOUND_PED_HANDS_COWER	3866
208	TRAPPED	SOUND_PED_HANDS_COWER	3867
209	TRAPPED	SOUND_PED_HANDS_COWER	3862
