GEN WMYCR <- VC WMYCR voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	ARRESTED	-	silence
002	ARRESTED	-	silence
003	ARRESTED	-	silence
004	ARRESTED	-	silence
005	ARRESTED	-	silence
006	ARRESTED	-	silence
007	ARRESTED	-	silence
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
011	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
012	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
013	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
014	BLOCKED	SOUND_PED_ANNOYED_DRIVER	silence
015	BUMP	SOUND_PED_PED_COLLISION	5003
016	BUMP	SOUND_PED_PED_COLLISION	5004
017	BUMP	SOUND_PED_PED_COLLISION	5005
018	BUMP	SOUND_PED_PED_COLLISION	5006
019	BUMP	SOUND_PED_PED_COLLISION	5007
020	BUMP	SOUND_PED_PED_COLLISION	5008
021	BUMP	SOUND_PED_PED_COLLISION	5009
022	BUMP	SOUND_PED_PED_COLLISION	5010
023	BUMP	SOUND_PED_PED_COLLISION	5011
024	BUMP	SOUND_PED_PED_COLLISION	5012
025	CHAT	SOUND_PED_CHAT	silence
026	CHAT	SOUND_PED_CHAT	silence
027	CHAT	SOUND_PED_CHAT	silence
028	CHAT	SOUND_PED_CHAT	silence
029	CHAT	SOUND_PED_CHAT	silence
030	CHAT	SOUND_PED_CHAT	silence
031	CONV_DISL_CAR	-	silence
032	CONV_DISL_CAR	-	silence
033	CONV_DISL_CAR	-	silence
034	CONV_DISL_TATTOO	-	silence
035	CONV_DISL_TATTOO	-	silence
036	CONV_DISL_TATTOO	-	silence
037	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
038	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
039	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
040	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
041	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	silence
042	CONV_LIKE_CAR	-	silence
043	CONV_LIKE_CAR	-	silence
044	CONV_LIKE_CAR	-	silence
045	CONV_LIKE_TATTOO	-	silence
046	CONV_LIKE_TATTOO	-	silence
047	CONV_LIKE_TATTOO	-	silence
048	CONV_LIKE_TATTOO	-	silence
