GEN WMYJG <- VC WMYJG voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	5086
002	BUMP	SOUND_PED_PED_COLLISION	5087
003	BUMP	SOUND_PED_PED_COLLISION	5088
004	BUMP	SOUND_PED_PED_COLLISION	5089
005	BUMP	SOUND_PED_PED_COLLISION	5090
006	BUMP	SOUND_PED_PED_COLLISION	5091
007	BUMP	SOUND_PED_PED_COLLISION	5092
008	BUMP	SOUND_PED_PED_COLLISION	5093
009	BUMP	SOUND_PED_PED_COLLISION	5094
010	BUMP	SOUND_PED_PED_COLLISION	5095
011	CHAT	SOUND_PED_CHAT	silence
012	CHAT	SOUND_PED_CHAT	silence
013	CHAT	SOUND_PED_CHAT	silence
014	CHAT	SOUND_PED_CHAT	silence
015	CHAT	SOUND_PED_CHAT	silence
016	CHAT	SOUND_PED_CHAT	silence
017	CHAT	SOUND_PED_CHAT	silence
018	CHAT	SOUND_PED_CHAT	silence
019	CHAT	SOUND_PED_CHAT	silence
020	CHAT	SOUND_PED_CHAT	silence
021	CHAT	SOUND_PED_CHAT	silence
022	CHAT	SOUND_PED_CHAT	silence
023	CHAT	SOUND_PED_CHAT	silence
024	CONV_DISL_HAIR	-	silence
025	CONV_DISL_HAIR	-	silence
026	CONV_DISL_HAIR	-	silence
027	CONV_DISL_HAIR	-	silence
028	CONV_DISL_PHYS	-	silence
029	CONV_DISL_PHYS	-	silence
030	CONV_DISL_PHYS	-	silence
031	CONV_DISL_TATTOO	-	silence
032	CONV_DISL_TATTOO	-	silence
033	CONV_DISL_TATTOO	-	silence
034	CONV_LIKE_HAIR	-	silence
035	CONV_LIKE_HAIR	-	silence
036	CONV_LIKE_HAIR	-	silence
037	CONV_LIKE_HAIR	-	silence
038	CONV_LIKE_PHYS	-	silence
039	CONV_LIKE_PHYS	-	silence
040	CONV_LIKE_PHYS	-	silence
041	CONV_LIKE_PHYS	-	silence
042	CONV_LIKE_TATTOO	-	silence
043	CONV_LIKE_TATTOO	-	silence
044	CONV_LIKE_TATTOO	-	silence
045	CONV_LIKE_TATTOO	-	silence
046	DODGE	SOUND_PED_EVADE	silence
047	DODGE	SOUND_PED_EVADE	silence
048	DODGE	SOUND_PED_EVADE	silence
049	DODGE	SOUND_PED_EVADE	silence
050	DODGE	SOUND_PED_EVADE	silence
051	DODGE	SOUND_PED_EVADE	silence
052	DODGE	SOUND_PED_EVADE	silence
053	DODGE	SOUND_PED_EVADE	silence
054	DODGE	SOUND_PED_EVADE	silence
055	EYEING_PED	SOUND_PED_CHAT_SEXY	5096
056	EYEING_PED	SOUND_PED_CHAT_SEXY	5097
057	EYEING_PED	SOUND_PED_CHAT_SEXY	5096
058	EYEING_PED	SOUND_PED_CHAT_SEXY	5097
059	GUN_RUN	SOUND_PED_FLEE_RUN	5104
060	GUN_RUN	SOUND_PED_FLEE_RUN	5105
061	GUN_RUN	SOUND_PED_FLEE_RUN	5106
062	GUN_RUN	SOUND_PED_FLEE_RUN	5107
063	GUN_RUN	SOUND_PED_FLEE_RUN	5108
064	GUN_RUN	SOUND_PED_FLEE_RUN	5104
065	MUGGED	SOUND_PED_ROBBED	5102
066	MUGGED	SOUND_PED_ROBBED	5103
067	MUGGED	SOUND_PED_ROBBED	5102
068	MUGGED	SOUND_PED_ROBBED	5103
069	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5104
070	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5105
071	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5106
072	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5107
073	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5108
074	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5104
075	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5105
076	RUN_FROM_FIGHT	SOUND_PED_FLEE_RUN	5106
077	SAVED	-	silence
078	SAVED	-	silence
079	SAVED	-	silence
080	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5109
081	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5109
082	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5109
083	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5109
084	SHOCKED	SOUND_PED_ACCIDENTREACTION1	5109
