GEN WMYLG <- VC WMYLG voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BUMP	SOUND_PED_PED_COLLISION	3662
002	BUMP	SOUND_PED_PED_COLLISION	3663
003	BUMP	SOUND_PED_PED_COLLISION	3664
004	BUMP	SOUND_PED_PED_COLLISION	3665
005	BUMP	SOUND_PED_PED_COLLISION	3666
006	BUMP	SOUND_PED_PED_COLLISION	3667
007	BUMP	SOUND_PED_PED_COLLISION	3668
008	DODGE	SOUND_PED_EVADE	3682
009	DODGE	SOUND_PED_EVADE	3683
010	DODGE	SOUND_PED_EVADE	3684
011	DODGE	SOUND_PED_EVADE	3685
012	DODGE	SOUND_PED_EVADE	3686
013	DODGE	SOUND_PED_EVADE	3687
014	DODGE	SOUND_PED_EVADE	3688
015	DODGE	SOUND_PED_EVADE	3689
016	DODGE	SOUND_PED_EVADE	3690
017	FIGHT	SOUND_PED_ATTACK	3691
018	FIGHT	SOUND_PED_ATTACK	3692
019	FIGHT	SOUND_PED_ATTACK	3693
020	FIGHT	SOUND_PED_ATTACK	3694
021	FIGHT	SOUND_PED_ATTACK	3695
022	FIGHT	SOUND_PED_ATTACK	3696
023	GUN_COOL	SOUND_PED_HANDS_UP	3698
024	GUN_COOL	SOUND_PED_HANDS_UP	3699
025	GUN_COOL	SOUND_PED_HANDS_UP	3700
026	GUN_COOL	SOUND_PED_HANDS_UP	3701
027	GUN_COOL	SOUND_PED_HANDS_UP	3702
028	SAVED	-	silence
029	SAVED	-	silence
030	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3704
031	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3704
032	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3704
033	SHOCKED	SOUND_PED_ACCIDENTREACTION1	3704
