GEN WMYRI <- VC WMYRI voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4126
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4127
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4128
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4129
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4130
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4131
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	4132
008	BUMP	SOUND_PED_PED_COLLISION	4136
009	BUMP	SOUND_PED_PED_COLLISION	4137
010	BUMP	SOUND_PED_PED_COLLISION	4138
011	BUMP	SOUND_PED_PED_COLLISION	4139
012	BUMP	SOUND_PED_PED_COLLISION	4140
013	BUMP	SOUND_PED_PED_COLLISION	4141
014	BUMP	SOUND_PED_PED_COLLISION	4142
015	BUMP	SOUND_PED_PED_COLLISION	4143
016	CHAT	SOUND_PED_CHAT	silence
017	CHAT	SOUND_PED_CHAT	silence
018	CHAT	SOUND_PED_CHAT	silence
019	CHAT	SOUND_PED_CHAT	silence
020	CHAT	SOUND_PED_CHAT	silence
021	CHAT	SOUND_PED_CHAT	silence
022	CHAT	SOUND_PED_CHAT	silence
023	CHAT	SOUND_PED_CHAT	silence
024	CHAT	SOUND_PED_CHAT	silence
025	CONV_DISL_CAR	-	silence
026	CONV_DISL_CAR	-	silence
027	CONV_DISL_CAR	-	silence
028	CONV_DISL_CLOTHES	-	silence
029	CONV_DISL_CLOTHES	-	silence
030	CONV_DISL_CLOTHES	-	silence
031	CONV_DISL_HAIR	-	silence
032	CONV_DISL_HAIR	-	silence
033	CONV_DISL_HAIR	-	silence
034	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4202
035	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4202
036	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	4202
