GEN WMYST <- VC WMYST voice 1/1 (tools/ped_speech_map.py --extract)
sound	SA context	VC event	sfx.SDT
001	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3893
002	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3894
003	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3895
004	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3896
005	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3897
006	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3898
007	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3899
008	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3900
009	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3893
010	BLOCKED	SOUND_PED_ANNOYED_DRIVER	3894
011	BUMP	SOUND_PED_PED_COLLISION	3901
012	BUMP	SOUND_PED_PED_COLLISION	3902
013	BUMP	SOUND_PED_PED_COLLISION	3903
014	BUMP	SOUND_PED_PED_COLLISION	3904
015	BUMP	SOUND_PED_PED_COLLISION	3905
016	BUMP	SOUND_PED_PED_COLLISION	3906
017	BUMP	SOUND_PED_PED_COLLISION	3907
018	BUMP	SOUND_PED_PED_COLLISION	3908
019	BUMP	SOUND_PED_PED_COLLISION	3909
020	CHAT	SOUND_PED_CHAT	3920
021	CHAT	SOUND_PED_CHAT	3921
022	CHAT	SOUND_PED_CHAT	3922
023	CHAT	SOUND_PED_CHAT	3923
024	CHAT	SOUND_PED_CHAT	3924
025	CHAT	SOUND_PED_CHAT	3925
026	CHAT	SOUND_PED_CHAT	3926
027	CHAT	SOUND_PED_CHAT	3927
028	CHAT	SOUND_PED_CHAT	3928
029	CONV_DISL_CLOTHES	-	silence
030	CONV_DISL_CLOTHES	-	silence
031	CONV_DISL_CLOTHES	-	silence
032	CONV_DISL_CLOTHES	-	silence
033	CONV_DISL_PHYS	-	silence
034	CONV_DISL_PHYS	-	silence
035	CONV_DISL_PHYS	-	silence
036	CONV_DISL_PHYS	-	silence
037	CONV_DISL_SMELL	-	silence
038	CONV_DISL_SMELL	-	silence
039	CONV_DISL_SMELL	-	silence
040	CONV_DISL_SMELL	-	silence
041	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	3960
042	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	3961
043	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	3960
044	CONV_IGNORED	SOUND_PED_WAIT_DOUBLEBACK	3961
045	CONV_LIKE_CLOTHES	-	silence
046	CONV_LIKE_CLOTHES	-	silence
